"Roundsinthe60s_RANKTHISWEEK_2006","Roundsinthe60s_RANKLASTWEEK_2006","Roundsinthe60s_PLAYERNAME_2006","Roundsinthe60s_EVENTS_2006","Roundsinthe60s_TOTALRNDS_2006","stat_name","year"
1,1,"Fred Funk",29,47,"Roundsinthe60s",2006
2,2,"Jim Furyk",24,45,"Roundsinthe60s",2006
3,3,"Brett Quigley",33,44,"Roundsinthe60s",2006
4,4,"Daniel Chopra",33,43,"Roundsinthe60s",2006
5,5,"Brian Gay",31,42,"Roundsinthe60s",2006
5,5,"Lucas Glover",31,42,"Roundsinthe60s",2006
5,5,"Tom Pernice Jr",33,42,"Roundsinthe60s",2006
8,8,"Trevor Immelman",24,41,"Roundsinthe60s",2006
8,8,"Jerry Kelly",31,41,"Roundsinthe60s",2006
10,10,"Woody Austin",31,40,"Roundsinthe60s",2006
10,10,"Steve Flesch",33,40,"Roundsinthe60s",2006
12,12,"Hunter Mahan",29,39,"Roundsinthe60s",2006
12,12,"Vijay Singh",27,39,"Roundsinthe60s",2006
14,14,"David Branshaw",29,38,"Roundsinthe60s",2006
14,14,"KJ Choi",26,38,"Roundsinthe60s",2006
14,14,"Joe Durant",28,38,"Roundsinthe60s",2006
17,17,"Stewart Cink",26,37,"Roundsinthe60s",2006
17,17,"Frank Lickliter II",29,37,"Roundsinthe60s",2006
17,17,"Brett Wetterich",25,37,"Roundsinthe60s",2006
20,20,"Harrison Frazar",29,36,"Roundsinthe60s",2006
21,21,"Arron Oberholser",23,35,"Roundsinthe60s",2006
21,21,"Jeff Sluman",29,35,"Roundsinthe60s",2006
23,23,"Olin Browne",30,34,"Roundsinthe60s",2006
23,23,"Charley Hoffman",29,34,"Roundsinthe60s",2006
23,23,"Ryuji Imada",31,34,"Roundsinthe60s",2006
23,23,"Richard Johnson",29,34,"Roundsinthe60s",2006
23,23,"Kent Jones",32,34,"Roundsinthe60s",2006
23,23,"Bo Van Pelt",28,34,"Roundsinthe60s",2006
23,23,"Scott Verplank",25,34,"Roundsinthe60s",2006
23,23,"Dean Wilson",34,34,"Roundsinthe60s",2006
31,31,"Jason Bohn",29,33,"Roundsinthe60s",2006
31,31,"Nathan Green",30,33,"Roundsinthe60s",2006
31,31,"Davis Love III",23,33,"Roundsinthe60s",2006
31,31,"Steve Lowery",31,33,"Roundsinthe60s",2006
31,31,"Jeff Overton",28,33,"Roundsinthe60s",2006
