"SandSavePercentage_RANKTHISWEEK_2015","SandSavePercentage_RANKLASTWEEK_2015","SandSavePercentage_PLAYERNAME_2015","SandSavePercentage_ROUNDS_2015","SandSavePercentage_Pct_2015","SandSavePercentage_SAVES_2015","SandSavePercentage_BUNKERS_2015","SandSavePercentage_TOTALOUPAR_2015","stat_name","year"
1,1,"Kevin Na",98,63.19,91,144,37,"SandSavePercentage",2015
2,2,"SJ Park",79,63.08,82,130,35,"SandSavePercentage",2015
2,2,"Will Wilcox",58,63.08,41,65,13,"SandSavePercentage",2015
4,4,"David Toms",62,63.04,58,92,20,"SandSavePercentage",2015
5,5,"Chad Collins",79,62.81,76,121,18,"SandSavePercentage",2015
6,6,"Brendon Todd",96,61.9,91,147,42,"SandSavePercentage",2015
7,7,"Danny Lee",120,61.54,104,169,47,"SandSavePercentage",2015
8,8,"Matt Kuchar",97,61.49,91,148,35,"SandSavePercentage",2015
9,9,"Luke Donald",71,61.17,63,103,31,"SandSavePercentage",2015
10,10,"Jason Day",75,61.11,66,108,11,"SandSavePercentage",2015
11,11,"Louis Oosthuizen",68,60.82,59,97,7,"SandSavePercentage",2015
12,12,"Justin Rose",69,60.75,65,107,23,"SandSavePercentage",2015
13,13,"Chris Kirk",76,60.47,78,129,35,"SandSavePercentage",2015
14,14,"Heath Slocum",57,60.44,55,91,20,"SandSavePercentage",2015
15,15,"Zac Blair",108,60.39,93,154,36,"SandSavePercentage",2015
16,16,"Padraig Harrington",60,59.79,58,97,27,"SandSavePercentage",2015
17,17,"Jonathan Byrd",69,59.6,59,99,19,"SandSavePercentage",2015
18,18,"Steven Bowditch",103,59.39,98,165,39,"SandSavePercentage",2015
19,19,"Webb Simpson",81,59.2,74,125,21,"SandSavePercentage",2015
20,20,"Aaron Baddeley",76,59.13,68,115,37,"SandSavePercentage",2015
21,21,"Brandt Snedeker",98,59.04,98,166,39,"SandSavePercentage",2015
21,21,"Lee Westwood",56,59.04,49,83,24,"SandSavePercentage",2015
23,23,"Jamie Donaldson",50,58.97,46,78,26,"SandSavePercentage",2015
24,24,"Jordan Spieth",91,58.14,75,129,23,"SandSavePercentage",2015
25,25,"Scott Langley",94,57.94,73,126,42,"SandSavePercentage",2015
26,26,"KJ Choi",66,57.29,55,96,20,"SandSavePercentage",2015
27,27,"Jon Curran",83,57.14,72,126,43,"SandSavePercentage",2015
28,28,"Bill Lunde",50,56.9,33,58,11,"SandSavePercentage",2015
29,29,"Jonas Blixt",78,56.64,64,113,36,"SandSavePercentage",2015
29,29,"Sam Saunders",83,56.64,81,143,40,"SandSavePercentage",2015
31,31,"Michael Putnam",87,56.56,69,122,30,"SandSavePercentage",2015
