"LeftTendency_RANKTHISWEEK_2009","LeftTendency_RANKLASTWEEK_2009","LeftTendency_PLAYERNAME_2009","LeftTendency_EVENTS_2009","LeftTendency_Pct_2009","LeftTendency_NUMBEROFTIMES_2009","LeftTendency_ATTEMPTS_2009","LeftTendency_AVGRTPSCORE_2009","stat_name","year"
1,1,"Marc Leishman",28,34.5,143,415,1.96,"LeftTendency",2009
1,1,"Parker McLachlin",25,34.5,133,386,1.65,"LeftTendency",2009
3,3,"Rory Sabbatini",25,35.5,130,366,1.77,"LeftTendency",2009
4,4,"Aaron Baddeley",23,36.2,113,312,1.15,"LeftTendency",2009
5,5,"Bryce Molder",21,37.1,85,229,2.82,"LeftTendency",2009
6,6,"Tiger Woods",17,37.2,81,218,0.62,"LeftTendency",2009
7,7,"Scott Piercy",28,37.4,156,417,1.09,"LeftTendency",2009
8,8,"Chad Campbell",26,37.6,124,330,1.69,"LeftTendency",2009
9,9,"Billy Mayfair",28,37.8,105,278,2.57,"LeftTendency",2009
10,10,"Mark Wilson",28,37.9,132,348,1.59,"LeftTendency",2009
11,11,"James Nitties",27,38.1,143,375,2.59,"LeftTendency",2009
12,12,"Kent Jones",24,38.5,92,239,2.07,"LeftTendency",2009
13,13,"John Merrick",28,38.9,133,342,1.95,"LeftTendency",2009
13,13,"Kirk Triplett",20,38.9,72,185,0.56,"LeftTendency",2009
15,15,"Bo Van Pelt",30,39.2,149,380,1.61,"LeftTendency",2009
16,16,"Troy Matteson",30,39.3,173,440,1.45,"LeftTendency",2009
17,17,"Ken Duke",29,39.9,142,356,1.41,"LeftTendency",2009
17,17,"Colt Knost",24,39.9,85,213,2.59,"LeftTendency",2009
17,17,"Chris Riley",22,39.9,95,238,1.79,"LeftTendency",2009
20,20,"Aron Price",27,40.3,147,365,1.7,"LeftTendency",2009
21,21,"Scott Verplank",24,40.4,118,292,2.29,"LeftTendency",2009
22,22,"Todd Hamilton",29,40.5,120,296,3.08,"LeftTendency",2009
23,23,"Hunter Mahan",25,40.6,147,362,2.52,"LeftTendency",2009
24,24,"Greg Chalmers",26,40.9,131,320,1.53,"LeftTendency",2009
24,24,"Brendon de Jonge",29,40.9,155,379,2.26,"LeftTendency",2009
24,24,"Robert Garrigus",25,40.9,150,367,1.2,"LeftTendency",2009
27,27,"Bill Lunde",27,41.2,139,337,2.01,"LeftTendency",2009
28,28,"Corey Pavin",23,41.3,85,206,2,"LeftTendency",2009
28,28,"Mike Weir",24,41.3,140,339,1.79,"LeftTendency",2009
30,30,"Martin Laird",24,41.4,121,292,2.73,"LeftTendency",2009
31,31,"Casey Wittenberg",25,41.8,100,239,1.8,"LeftTendency",2009
32,32,"Brian Gay",27,41.9,126,301,1.83,"LeftTendency",2009
33,33,"Mark Brooks",17,42.1,59,140,0.85,"LeftTendency",2009
34,34,"Chris DiMarco",29,42.3,162,383,1.36,"LeftTendency",2009
35,35,"Charles Howell III",29,42.4,179,422,0.67,"LeftTendency",2009
36,36,"Jimmy Walker",24,42.5,148,348,1.62,"LeftTendency",2009
37,37,"Matt Jones",17,42.6,98,230,0.82,"LeftTendency",2009
37,37,"Heath Slocum",30,42.6,130,305,2.69,"LeftTendency",2009
39,39,"Ian Poulter",17,42.8,86,201,1.16,"LeftTendency",2009
40,40,"Kevin Streelman",29,43,178,414,0.73,"LeftTendency",2009
41,41,"Steve Lowery",27,43.1,151,350,2.19,"LeftTendency",2009
42,42,"Stewart Cink",22,43.5,137,315,1.82,"LeftTendency",2009
43,43,"Derek Fathauer",25,43.6,123,282,1.38,"LeftTendency",2009
44,44,"Joe Durant",20,43.7,69,158,1.74,"LeftTendency",2009
45,45,"George McNeill",26,44,169,384,1.3,"LeftTendency",2009
45,45,"Greg Owen",30,44,146,332,1.3,"LeftTendency",2009
47,47,"Mark Calcavecchia",23,44.2,141,319,1.91,"LeftTendency",2009
48,48,"Darron Stiles",20,44.4,63,142,3.65,"LeftTendency",2009
49,49,"Lucas Glover",26,44.9,164,365,1.52,"LeftTendency",2009
50,50,"Harrison Frazar",28,45,227,505,2.33,"LeftTendency",2009
50,50,"Zach Johnson",26,45,130,289,1.31,"LeftTendency",2009
52,52,"Justin Rose",22,45.2,122,270,1.23,"LeftTendency",2009
53,53,"Bob Estes",23,45.5,135,297,2.81,"LeftTendency",2009
54,54,"Anthony Kim",22,45.6,152,333,0.99,"LeftTendency",2009
55,55,"Scott McCarron",27,45.7,127,278,2.05,"LeftTendency",2009
55,55,"Rocco Mediate",22,45.7,144,315,0.69,"LeftTendency",2009
57,57,"Paul Goydos",25,45.8,114,249,2.46,"LeftTendency",2009
57,57,"Camilo Villegas",21,45.8,121,264,1.57,"LeftTendency",2009
59,59,"Scott Sterling",16,45.9,84,183,1.19,"LeftTendency",2009
60,60,"Alex Cejka",25,46,134,291,1.87,"LeftTendency",2009
60,60,"Ernie Els",19,46,109,237,1.93,"LeftTendency",2009
60,60,"Jarrod Lyle",21,46,120,261,1.25,"LeftTendency",2009
63,63,"Bart Bryant",17,46.1,88,191,3.86,"LeftTendency",2009
63,63,"Will Ma Kenzie",24,46.1,119,258,2.86,"LeftTendency",2009
63,63,"Geoff Ogilvy",20,46.1,136,295,0.44,"LeftTendency",2009
66,66,"Brian Vranesh",20,46.2,91,197,2.64,"LeftTendency",2009
67,67,"Brad Adamonis",25,46.3,157,339,1.97,"LeftTendency",2009
67,67,"Tag Ridings",16,46.3,100,216,1.6,"LeftTendency",2009
67,67,"Brandt Snedeker",26,46.3,112,242,1.16,"LeftTendency",2009
67,67,"David Toms",27,46.3,132,285,1.67,"LeftTendency",2009
71,71,"Greg Kraft",21,46.8,87,186,2.87,"LeftTendency",2009
71,71,"Peter Lonard",30,46.8,153,327,2.81,"LeftTendency",2009
71,71,"DA Points",29,46.8,170,363,1.94,"LeftTendency",2009
71,71,"Chris Stroud",28,46.8,163,348,2.27,"LeftTendency",2009
75,75,"Steve Marino",29,46.9,184,392,0.11,"LeftTendency",2009
76,76,"Jay Williamson",22,47,102,217,2.84,"LeftTendency",2009
77,77,"Marc Turnesa",30,47.1,137,291,2.85,"LeftTendency",2009
78,78,"David Mathis",27,47.3,158,334,1.84,"LeftTendency",2009
79,79,"Ben Crane",27,47.5,161,339,1.06,"LeftTendency",2009
79,79,"Jeff Klauk",29,47.5,162,341,1.6,"LeftTendency",2009
79,79,"Ryan Moore",27,47.5,145,305,1.66,"LeftTendency",2009
82,82,"Kris Blanks",20,47.7,93,195,2.37,"LeftTendency",2009
82,82,"Charley Hoffman",27,47.7,215,451,0.84,"LeftTendency",2009
84,84,"Stephen Ames",23,48,118,246,2.37,"LeftTendency",2009
84,84,"Kevin Stadler",20,48,120,250,2,"LeftTendency",2009
86,86,"Ricky Barnes",23,48.1,126,262,1.98,"LeftTendency",2009
86,86,"Tom Lehman",16,48.1,65,135,2,"LeftTendency",2009
88,88,"Jason Dufner",26,48.3,160,331,1.88,"LeftTendency",2009
88,88,"Tom Pernice Jr",26,48.3,174,360,1.09,"LeftTendency",2009
