"TotalDriving_RANKTHISWEEK_2005","TotalDriving_RANKLASTWEEK_2005","TotalDriving_PLAYERNAME_2005","TotalDriving_EVENTS_2005","TotalDriving_TOTAL_2005","TotalDriving_DISTANCERANK_2005","TotalDriving_ACCURACYRANK_2005","stat_name","year"
1,1,"David Hearn",24,72,45,27,"TotalDriving",2005
2,2,"Kenny Perry",23,98,9,89,"TotalDriving",2005
3,3,"Harrison Frazar",31,104,17,87,"TotalDriving",2005
4,4,"Joe Durant",25,105,92,13,"TotalDriving",2005
5,5,"Charles Warren",31,106,27,79,"TotalDriving",2005
6,6,"Mathias Gronberg",19,108,15,93,"TotalDriving",2005
7,7,"Bradley Hughes",20,113,75,38,"TotalDriving",2005
8,8,"Joey Snyder III",31,118,68,50,"TotalDriving",2005
9,9,"Billy Mayfair",31,125,103,22,"TotalDriving",2005
10,10,"John Senden",29,131,77,54,"TotalDriving",2005
11,11,"Will Ma Kenzie",25,132,20,112,"TotalDriving",2005
12,12,"Zach Johnson",30,133,86,47,"TotalDriving",2005
12,12,"Michael Long",26,133,29,104,"TotalDriving",2005
12,12,"John Rollins",30,133,49,84,"TotalDriving",2005
15,15,"Jeff Brehaut",23,134,114,20,"TotalDriving",2005
16,16,"DJ Brigman",26,136,42,94,"TotalDriving",2005
16,16,"Ted Purdy",34,136,45,91,"TotalDriving",2005
16,16,"Justin Rose",28,136,51,85,"TotalDriving",2005
19,19,"Roland Thatcher",26,137,67,70,"TotalDriving",2005
20,20,"Mark Calcavecchia",27,140,91,49,"TotalDriving",2005
21,21,"Robert Allenby",31,142,33,109,"TotalDriving",2005
22,22,"Briny Baird",33,143,100,43,"TotalDriving",2005
23,23,"Joey Sindelar",29,144,113,31,"TotalDriving",2005
24,24,"Richard Johnson",16,145,117,28,"TotalDriving",2005
24,24,"Jonathan Kaye",24,145,80,65,"TotalDriving",2005
26,26,"Sean OHair",29,150,23,127,"TotalDriving",2005
27,27,"Lucas Glover",28,151,12,139,"TotalDriving",2005
27,27,"JL Lewis",30,151,71,80,"TotalDriving",2005
27,27,"Jeff Maggert",25,151,135,16,"TotalDriving",2005
30,30,"Bart Bryant",26,153,147,6,"TotalDriving",2005
30,30,"Alex Cejka",31,153,114,39,"TotalDriving",2005
32,32,"Bo Van Pelt",33,157,59,98,"TotalDriving",2005
33,33,"Craig Barlow",26,159,88,71,"TotalDriving",2005
33,33,"DJ Trahan",28,159,41,118,"TotalDriving",2005
35,35,"John Huston",31,161,56,105,"TotalDriving",2005
36,36,"Vaughn Taylor",32,162,84,78,"TotalDriving",2005
36,36,"David Toms",25,162,107,55,"TotalDriving",2005
38,38,"Brian Davis",23,163,155,8,"TotalDriving",2005
38,38,"Marco Dawson",23,163,63,100,"TotalDriving",2005
38,38,"Sergio Garcia",20,163,10,153,"TotalDriving",2005
38,38,"Kent Jones",32,163,102,61,"TotalDriving",2005
42,42,"Vijay Singh",30,164,16,148,"TotalDriving",2005
42,42,"Lee Westwood",15,164,38,126,"TotalDriving",2005
44,44,"Tommy Armour III",29,165,112,53,"TotalDriving",2005
44,44,"KJ Choi",24,165,98,67,"TotalDriving",2005
44,44,"Paul Claxton",29,165,153,12,"TotalDriving",2005
44,44,"JJ Henry",32,165,34,131,"TotalDriving",2005
44,44,"Chris Smith",32,165,18,147,"TotalDriving",2005
44,44,"Darron Stiles",26,165,142,23,"TotalDriving",2005
50,50,"Rocco Mediate",24,168,108,60,"TotalDriving",2005
50,50,"DA Points",33,168,82,86,"TotalDriving",2005
50,50,"Kevin Stadler",33,168,23,145,"TotalDriving",2005
50,50,"Scott Verplank",25,168,159,9,"TotalDriving",2005
54,54,"Scott Gutschewski",27,169,4,165,"TotalDriving",2005
54,54,"Jay Williamson",16,169,155,14,"TotalDriving",2005
56,56,"Geoff Ogilvy",26,170,31,139,"TotalDriving",2005
56,56,"Heath Slocum",29,170,159,11,"TotalDriving",2005
58,58,"Duffy Waldorf",28,172,149,23,"TotalDriving",2005
59,59,"Stuart Appleby",25,174,19,155,"TotalDriving",2005
59,59,"Davis Love III",24,174,8,166,"TotalDriving",2005
61,61,"Jason Bohn",28,175,62,113,"TotalDriving",2005
62,62,"Chad Campbell",27,176,52,124,"TotalDriving",2005
62,62,"Kevin Sutherland",26,176,108,68,"TotalDriving",2005
64,64,"Olin Browne",29,177,173,4,"TotalDriving",2005
65,65,"Tom Pernice Jr",32,179,80,99,"TotalDriving",2005
65,65,"Hidemichi Tanaka",34,179,150,29,"TotalDriving",2005
67,67,"Arjun Atwal",17,180,50,130,"TotalDriving",2005
68,68,"Nick Watney",31,182,28,154,"TotalDriving",2005
69,69,"Cameron Beckman",31,183,120,63,"TotalDriving",2005
69,69,"Steve Lowery",32,183,77,106,"TotalDriving",2005
69,69,"Hunter Mahan",34,183,55,128,"TotalDriving",2005
72,72,"Mark Hensby",21,185,83,102,"TotalDriving",2005
72,72,"Brett Wetterich",28,185,3,182,"TotalDriving",2005
74,74,"Rod Pampling",26,186,40,146,"TotalDriving",2005
74,74,"Mario Tiziani",23,186,122,64,"TotalDriving",2005
76,76,"Brian Bateman",32,187,76,111,"TotalDriving",2005
76,76,"Tim Herron",28,187,65,122,"TotalDriving",2005
76,76,"Phil Mickelson",21,187,26,161,"TotalDriving",2005
76,76,"Greg Owen",24,187,71,116,"TotalDriving",2005
80,80,"Jonathan Byrd",31,188,37,151,"TotalDriving",2005
80,80,"Jerry Kelly",31,188,155,33,"TotalDriving",2005
82,82,"Brandt Jobe",27,189,11,178,"TotalDriving",2005
83,83,"Tjaart van der Walt",19,190,140,50,"TotalDriving",2005
84,84,"Jose Coceres",22,191,184,7,"TotalDriving",2005
