"LongestPutts_RANKTHISWEEK_2007","LongestPutts_RANKLASTWEEK_2007","LongestPutts_PLAYERNAME_2007","LongestPutts_ROUNDS_2007","LongestPutts_DISTANCE_2007","LongestPutts_YEARTOURN_2007","LongestPutts_ROUND_2007","LongestPutts_HOLE_2007","stat_name","year"
1,1,"Ben Curtis",80,NA,NA,1,14,"LongestPutts",2007
2,2,"Jarrod Lyle",77,NA,NA,1,2,"LongestPutts",2007
3,3,"Mark Hensby",81,NA,NA,2,11,"LongestPutts",2007
4,4,"Tim Petrovic",106,NA,NA,2,2,"LongestPutts",2007
5,5,"Jason Bohn",57,NA,NA,2,17,"LongestPutts",2007
6,6,"Frank Lickliter II",95,NA,NA,2,7,"LongestPutts",2007
7,8,"Jim Rutledge",59,NA,NA,1,3,"LongestPutts",2007
7,7,"Sergio Garcia",68,NA,NA,3,15,"LongestPutts",2007
9,9,"Steve Elkington",87,NA,NA,1,12,"LongestPutts",2007
10,10,"Lee Janzen",66,NA,NA,2,9,"LongestPutts",2007
11,11,"Stephen Leaney",82,NA,NA,4,14,"LongestPutts",2007
12,12,"Rich Barcelo",80,NA,NA,4,6,"LongestPutts",2007
12,13,"Steve Wheatcroft",73,NA,NA,2,9,"LongestPutts",2007
14,14,"Paul Stankowski",52,NA,NA,2,6,"LongestPutts",2007
15,15,"Tiger Woods",63,NA,NA,2,9,"LongestPutts",2007
16,16,"Brett Wetterich",88,NA,NA,2,16,"LongestPutts",2007
17,17,"Doug LaBelle II",104,NA,NA,2,11,"LongestPutts",2007
18,18,"Paul Casey",38,NA,NA,1,5,"LongestPutts",2007
19,19,"Hunter Mahan",91,NA,NA,4,16,"LongestPutts",2007
20,20,"Rod Pampling",92,NA,NA,1,3,"LongestPutts",2007
21,21,"Lucas Glover",98,NA,NA,3,15,"LongestPutts",2007
22,22,"Luke Donald",69,NA,NA,4,5,"LongestPutts",2007
23,23,"Jose Maria Olazabal",52,NA,NA,3,1,"LongestPutts",2007
24,24,"Ernie Els",59,NA,NA,4,12,"LongestPutts",2007
25,25,"Shigeki Maruyama",84,NA,NA,1,5,"LongestPutts",2007
26,26,"Jeff Gove",103,NA,NA,4,16,"LongestPutts",2007
27,27,"Daisuke Maruyama",86,NA,NA,4,13,"LongestPutts",2007
28,28,"Steve Marino",106,NA,NA,1,9,"LongestPutts",2007
29,29,"Paul Gow",70,NA,NA,3,9,"LongestPutts",2007
30,30,"Mike Weir",82,NA,NA,1,7,"LongestPutts",2007
31,31,"Parker McLachlin",83,NA,NA,2,12,"LongestPutts",2007
32,32,"Bob Estes",88,NA,NA,1,18,"LongestPutts",2007
34,34,"Robert Garrigus",95,NA,NA,4,16,"LongestPutts",2007
35,35,"Bart Bryant",87,NA,NA,1,14,"LongestPutts",2007
36,36,"Kevin Na",84,NA,NA,3,1,"LongestPutts",2007
37,37,"Heath Slocum",101,NA,NA,3,5,"LongestPutts",2007
38,38,"Arron Oberholser",69,NA,NA,1,14,"LongestPutts",2007
39,39,"Billy Andrade",88,NA,NA,4,13,"LongestPutts",2007
40,40,"Brad Faxon",46,NA,NA,2,6,"LongestPutts",2007
42,42,"Mark Wilson",87,NA,NA,1,9,"LongestPutts",2007
42,43,"Bill Haas",93,NA,NA,1,13,"LongestPutts",2007
44,44,"Jeff Brehaut",59,NA,NA,2,6,"LongestPutts",2007
45,45,"Marco Dawson",73,NA,NA,4,18,"LongestPutts",2007
46,46,"Bernhard Langer",47,NA,NA,3,17,"LongestPutts",2007
46,47,"Dicky Pride",71,NA,NA,4,17,"LongestPutts",2007
48,50,"Michael Bradley",22,NA,NA,2,8,"LongestPutts",2007
48,48,"Troy Matteson",87,NA,NA,4,15,"LongestPutts",2007
