"LateRound2ScoringAverage_RANKTHISWEEK_2006","LateRound2ScoringAverage_RANKLASTWEEK_2006","LateRound2ScoringAverage_PLAYERNAME_2006","LateRound2ScoringAverage__2006","LateRound2ScoringAverage_AVG_2006","LateRound2ScoringAverage_TOTALSTROKES_2006","LateRound2ScoringAverage_TOTALROUNDS_2006","stat_name","year"
1,1,"Ernie Els",NA,68.4,342,5,"LateRound2ScoringAverage",2006
2,2,"Tim Clark",NA,69.27,762,11,"LateRound2ScoringAverage",2006
2,2,"Kenny Perry",NA,69.27,762,11,"LateRound2ScoringAverage",2006
4,4,"Luke Donald",NA,69.4,694,10,"LateRound2ScoringAverage",2006
5,5,"Padraig Harrington",NA,69.5,556,8,"LateRound2ScoringAverage",2006
5,5,"Scott Verplank",NA,69.5,834,12,"LateRound2ScoringAverage",2006
7,7,"Stewart Cink",NA,69.55,765,11,"LateRound2ScoringAverage",2006
8,8,"Frank Lickliter II",NA,69.57,974,14,"LateRound2ScoringAverage",2006
9,9,"David Howell",NA,69.63,557,8,"LateRound2ScoringAverage",2006
10,10,"Tiger Woods",NA,69.67,418,6,"LateRound2ScoringAverage",2006
11,11,"Arron Oberholser",NA,69.73,1046,15,"LateRound2ScoringAverage",2006
12,12,"Camilo Villegas",NA,69.77,907,13,"LateRound2ScoringAverage",2006
13,13,"Stephen Ames",NA,69.78,628,9,"LateRound2ScoringAverage",2006
14,14,"Joe Durant",NA,69.8,1047,15,"LateRound2ScoringAverage",2006
15,15,"Ryuji Imada",NA,69.92,909,13,"LateRound2ScoringAverage",2006
15,15,"Sean OHair",NA,69.92,839,12,"LateRound2ScoringAverage",2006
17,17,"Kris Cox",NA,69.93,979,14,"LateRound2ScoringAverage",2006
17,17,"Brett Quigley",NA,69.93,979,14,"LateRound2ScoringAverage",2006
19,19,"Bernhard Langer",NA,70,630,9,"LateRound2ScoringAverage",2006
19,19,"Bob May",NA,70,700,10,"LateRound2ScoringAverage",2006
21,21,"Jeff Gove",NA,70.07,981,14,"LateRound2ScoringAverage",2006
22,22,"Freddie Jacobson",NA,70.1,701,10,"LateRound2ScoringAverage",2006
23,23,"Steve Elkington",NA,70.11,631,9,"LateRound2ScoringAverage",2006
24,24,"Jeff Overton",NA,70.13,1052,15,"LateRound2ScoringAverage",2006
24,24,"Ryan Palmer",NA,70.13,1122,16,"LateRound2ScoringAverage",2006
26,26,"Bob Estes",NA,70.15,912,13,"LateRound2ScoringAverage",2006
27,27,"Steve Stricker",NA,70.17,421,6,"LateRound2ScoringAverage",2006
28,28,"Shane Bertsch",NA,70.24,1194,17,"LateRound2ScoringAverage",2006
29,29,"Jason Bohn",NA,70.27,1054,15,"LateRound2ScoringAverage",2006
30,30,"Stephen Leaney",NA,70.29,984,14,"LateRound2ScoringAverage",2006
31,31,"Chad Campbell",NA,70.3,703,10,"LateRound2ScoringAverage",2006
32,32,"Jim Furyk",NA,70.31,914,13,"LateRound2ScoringAverage",2006
33,33,"Shigeki Maruyama",NA,70.33,1055,15,"LateRound2ScoringAverage",2006
33,33,"Jose Maria Olazabal",NA,70.33,633,9,"LateRound2ScoringAverage",2006
33,33,"Chris Smith",NA,70.33,844,12,"LateRound2ScoringAverage",2006
