"FinalRoundPerformance_RANKTHISWEEK_2010","FinalRoundPerformance_RANKLASTWEEK_2010","FinalRoundPerformance_PLAYERNAME_2010","FinalRoundPerformance_EVENTS_2010","FinalRoundPerformance_Pct_2010","stat_name","year"
1,1,"Retief Goosen",19,94.12,"FinalRoundPerformance",2010
2,2,"Paul Casey",17,92.31,"FinalRoundPerformance",2010
3,3,"Ben Crane",24,88.89,"FinalRoundPerformance",2010
4,4,"James Driscoll",26,83.33,"FinalRoundPerformance",2010
4,4,"Chris Riley",24,83.33,"FinalRoundPerformance",2010
4,4,"DJ Trahan",27,83.33,"FinalRoundPerformance",2010
7,7,"Robert Allenby",22,82.35,"FinalRoundPerformance",2010
8,8,"Matt Kuchar",26,81.82,"FinalRoundPerformance",2010
9,9,"Ryan Palmer",27,78.57,"FinalRoundPerformance",2010
10,10,"Charles Howell III",28,78.26,"FinalRoundPerformance",2010
11,11,"Rich Barcelo",25,77.78,"FinalRoundPerformance",2010
11,11,"Jarrod Lyle",18,77.78,"FinalRoundPerformance",2010
11,11,"Steve Stricker",19,77.78,"FinalRoundPerformance",2010
11,11,"Dean Wilson",18,77.78,"FinalRoundPerformance",2010
15,15,"Jonathan Byrd",26,75,"FinalRoundPerformance",2010
15,15,"Freddie Jacobson",24,75,"FinalRoundPerformance",2010
15,15,"Michael Sim",20,75,"FinalRoundPerformance",2010
15,15,"Jimmy Walker",27,75,"FinalRoundPerformance",2010
19,19,"Josh Teater",31,73.68,"FinalRoundPerformance",2010
20,20,"Ryan Moore",24,73.33,"FinalRoundPerformance",2010
20,20,"Vijay Singh",24,73.33,"FinalRoundPerformance",2010
20,20,"Garrett Willis",24,73.33,"FinalRoundPerformance",2010
20,20,"Mark Wilson",28,73.33,"FinalRoundPerformance",2010
24,24,"Rory McIlroy",16,72.73,"FinalRoundPerformance",2010
24,24,"Charles Warren",21,72.73,"FinalRoundPerformance",2010
26,26,"Jason Dufner",25,72.22,"FinalRoundPerformance",2010
27,27,"Webb Simpson",31,70.59,"FinalRoundPerformance",2010
28,28,"Jeev Milkha Singh",19,70,"FinalRoundPerformance",2010
29,29,"Billy Mayfair",26,69.23,"FinalRoundPerformance",2010
29,29,"Rory Sabbatini",26,69.23,"FinalRoundPerformance",2010
31,31,"Ernie Els",20,68.75,"FinalRoundPerformance",2010
31,31,"Sean OHair",25,68.75,"FinalRoundPerformance",2010
31,31,"Jeff Quinney",29,68.75,"FinalRoundPerformance",2010
31,31,"Justin Rose",22,68.75,"FinalRoundPerformance",2010
31,31,"Chris Stroud",27,68.75,"FinalRoundPerformance",2010
36,36,"Kris Blanks",30,66.67,"FinalRoundPerformance",2010
36,36,"Luke Donald",20,66.67,"FinalRoundPerformance",2010
36,36,"Steve Elkington",22,66.67,"FinalRoundPerformance",2010
36,36,"Bob Estes",26,66.67,"FinalRoundPerformance",2010
36,36,"Martin Laird",26,66.67,"FinalRoundPerformance",2010
36,36,"David Toms",25,66.67,"FinalRoundPerformance",2010
36,36,"Scott Verplank",22,66.67,"FinalRoundPerformance",2010
36,36,"Steve Wheatcroft",27,66.67,"FinalRoundPerformance",2010
44,44,"Bo Van Pelt",28,65.22,"FinalRoundPerformance",2010
45,45,"Rickie Fowler",28,65,"FinalRoundPerformance",2010
46,46,"Marc Leishman",26,64.71,"FinalRoundPerformance",2010
46,46,"Kevin Streelman",28,64.71,"FinalRoundPerformance",2010
