"PuttsmadeDistance_RANKTHISWEEK_2015","PuttsmadeDistance_RANKLASTWEEK_2015","PuttsmadeDistance_PLAYERNAME_2015","PuttsmadeDistance_EVENTS_2015","PuttsmadeDistance_DISTANCEININCHES_2015","stat_name","year"
1,1,"Zac Blair",34,55,"PuttsmadeDistance",2015
1,1,"Russell Henley",24,55,"PuttsmadeDistance",2015
1,1,"Camilo Villegas",27,55,"PuttsmadeDistance",2015
1,1,"Jimmy Walker",24,55,"PuttsmadeDistance",2015
1,1,"Lee Westwood",15,55,"PuttsmadeDistance",2015
6,6,"Aaron Baddeley",25,54,"PuttsmadeDistance",2015
6,6,"Greg Chalmers",17,54,"PuttsmadeDistance",2015
6,6,"Stewart Cink",23,54,"PuttsmadeDistance",2015
6,6,"Jason Day",20,54,"PuttsmadeDistance",2015
6,6,"Billy Horschel",28,54,"PuttsmadeDistance",2015
6,6,"Matt Jones",25,54,"PuttsmadeDistance",2015
6,6,"Brooks Koepka",23,54,"PuttsmadeDistance",2015
6,6,"Sean OHair",26,54,"PuttsmadeDistance",2015
6,6,"Scott Pinckney",27,54,"PuttsmadeDistance",2015
6,6,"Brandt Snedeker",27,54,"PuttsmadeDistance",2015
6,6,"Jordan Spieth",25,54,"PuttsmadeDistance",2015
6,6,"Henrik Stenson",16,54,"PuttsmadeDistance",2015
6,6,"Steve Wheatcroft",28,54,"PuttsmadeDistance",2015
6,6,"Will Wilcox",17,54,"PuttsmadeDistance",2015
20,20,"Jamie Donaldson",16,53,"PuttsmadeDistance",2015
20,20,"Adam Hadwin",30,53,"PuttsmadeDistance",2015
20,20,"John Huh",31,53,"PuttsmadeDistance",2015
20,20,"Danny Lee",36,53,"PuttsmadeDistance",2015
20,20,"Ben Martin",27,53,"PuttsmadeDistance",2015
20,20,"Phil Mickelson",19,53,"PuttsmadeDistance",2015
20,20,"Pat Perez",26,53,"PuttsmadeDistance",2015
20,20,"Ian Poulter",19,53,"PuttsmadeDistance",2015
20,20,"Andrew Putnam",23,53,"PuttsmadeDistance",2015
20,20,"Andres Romero",24,53,"PuttsmadeDistance",2015
20,20,"Hudson Swafford",30,53,"PuttsmadeDistance",2015
31,31,"Sangmoon Bae",30,52,"PuttsmadeDistance",2015
31,31,"Paul Casey",24,52,"PuttsmadeDistance",2015
31,31,"Kevin Chappell",26,52,"PuttsmadeDistance",2015
31,31,"Brian Davis",31,52,"PuttsmadeDistance",2015
31,31,"Luke Donald",20,52,"PuttsmadeDistance",2015
31,31,"Harris English",29,52,"PuttsmadeDistance",2015
31,31,"Rickie Fowler",21,52,"PuttsmadeDistance",2015
31,31,"Fabian Gomez",26,52,"PuttsmadeDistance",2015
