"SandSavesfrom2030yards_RANKTHISWEEK_2013","SandSavesfrom2030yards_RANKLASTWEEK_2013","SandSavesfrom2030yards_PLAYERNAME_2013","SandSavesfrom2030yards_ROUNDS_2013","SandSavesfrom2030yards_Pct_2013","SandSavesfrom2030yards_OFSAVES_2013","SandSavesfrom2030yards_OFBUNKERS_2013","stat_name","year"
1,1,"Ben Crane",62,75,24,32,"SandSavesfrom2030yards",2013
2,2,"Steven Bowditch",67,74.07,20,27,"SandSavesfrom2030yards",2013
3,3,"KJ Choi",85,70.37,19,27,"SandSavesfrom2030yards",2013
4,4,"Rickie Fowler",75,66.67,14,21,"SandSavesfrom2030yards",2013
4,4,"Rod Pampling",46,66.67,6,9,"SandSavesfrom2030yards",2013
4,4,"David Toms",49,66.67,6,9,"SandSavesfrom2030yards",2013
7,7,"Phil Mickelson",78,65.38,17,26,"SandSavesfrom2030yards",2013
8,8,"Michael Thompson",66,65.22,15,23,"SandSavesfrom2030yards",2013
9,9,"Lee Westwood",70,64.29,9,14,"SandSavesfrom2030yards",2013
10,10,"Mike Weir",60,64,16,25,"SandSavesfrom2030yards",2013
10,10,"Mark Wilson",56,64,16,25,"SandSavesfrom2030yards",2013
12,12,"Tom Gillis",69,63.64,14,22,"SandSavesfrom2030yards",2013
12,12,"Luke List",65,63.64,14,22,"SandSavesfrom2030yards",2013
14,14,"Freddie Jacobson",63,63.16,12,19,"SandSavesfrom2030yards",2013
15,15,"Greg Chalmers",77,62.5,25,40,"SandSavesfrom2030yards",2013
15,15,"Graeme McDowell",53,62.5,10,16,"SandSavesfrom2030yards",2013
15,15,"Jin Park",52,62.5,15,24,"SandSavesfrom2030yards",2013
15,15,"Brandt Snedeker",79,62.5,15,24,"SandSavesfrom2030yards",2013
15,15,"Lee Williams",62,62.5,15,24,"SandSavesfrom2030yards",2013
20,20,"Chez Reavie",72,62.07,18,29,"SandSavesfrom2030yards",2013
21,21,"Trevor Immelman",73,61.9,13,21,"SandSavesfrom2030yards",2013
21,21,"Cameron Percy",68,61.9,13,21,"SandSavesfrom2030yards",2013
21,21,"Vaughn Taylor",50,61.9,13,21,"SandSavesfrom2030yards",2013
24,24,"Matt Kuchar",93,61.11,22,36,"SandSavesfrom2030yards",2013
25,25,"Darron Stiles",51,60.87,14,23,"SandSavesfrom2030yards",2013
26,26,"Bobby Gates",49,60,15,25,"SandSavesfrom2030yards",2013
26,26,"Lucas Glover",65,60,15,25,"SandSavesfrom2030yards",2013
26,26,"Bill Haas",85,60,15,25,"SandSavesfrom2030yards",2013
29,29,"Kevin Chappell",80,59.26,16,27,"SandSavesfrom2030yards",2013
30,30,"Stuart Appleby",88,58.82,20,34,"SandSavesfrom2030yards",2013
31,31,"Tim Clark",64,58.33,14,24,"SandSavesfrom2030yards",2013
31,31,"Jason Day",86,58.33,21,36,"SandSavesfrom2030yards",2013
31,31,"Luke Donald",60,58.33,14,24,"SandSavesfrom2030yards",2013
34,34,"Shawn Stefani",63,58.06,18,31,"SandSavesfrom2030yards",2013
35,35,"Doug LaBelle II",72,57.5,23,40,"SandSavesfrom2030yards",2013
36,36,"Colt Knost",69,56.52,13,23,"SandSavesfrom2030yards",2013
37,37,"George McNeill",68,56.25,18,32,"SandSavesfrom2030yards",2013
38,38,"Matt Jones",83,56,14,25,"SandSavesfrom2030yards",2013
38,38,"Casey Wittenberg",72,56,14,25,"SandSavesfrom2030yards",2013
40,40,"Brian Davis",91,55.88,19,34,"SandSavesfrom2030yards",2013
