"TenthTeeLateLowestRound_RANKTHISWEEK_2014","TenthTeeLateLowestRound_RANKLASTWEEK_2014","TenthTeeLateLowestRound_PLAYERNAME_2014","TenthTeeLateLowestRound_ROUNDS_2014","TenthTeeLateLowestRound_LOWRND_2014","stat_name","year"
1,1,"Chad Campbell",57,62,"TenthTeeLateLowestRound",2014
1,1,"Morgan Hoffmann",103,62,"TenthTeeLateLowestRound",2014
1,1,"Russell Knox",92,62,"TenthTeeLateLowestRound",2014
1,1,"George McNeill",79,62,"TenthTeeLateLowestRound",2014
5,5,"Tim Clark",75,63,"TenthTeeLateLowestRound",2014
5,5,"Ben Crane",81,63,"TenthTeeLateLowestRound",2014
5,5,"Brad Fritsch",50,63,"TenthTeeLateLowestRound",2014
5,5,"Martin Kaymer",65,63,"TenthTeeLateLowestRound",2014
5,5,"David Lingmerth",80,63,"TenthTeeLateLowestRound",2014
5,5,"Ryan Moore",86,63,"TenthTeeLateLowestRound",2014
5,5,"Ryan Palmer",85,63,"TenthTeeLateLowestRound",2014
5,5,"Patrick Reed",92,63,"TenthTeeLateLowestRound",2014
5,5,"Richard Sterne",24,63,"TenthTeeLateLowestRound",2014
5,5,"Camilo Villegas",95,63,"TenthTeeLateLowestRound",2014
15,15,"Eric Axley",32,64,"TenthTeeLateLowestRound",2014
15,15,"Roberto Castro",76,64,"TenthTeeLateLowestRound",2014
15,15,"John Daly",41,64,"TenthTeeLateLowestRound",2014
15,15,"Jason Day",54,64,"TenthTeeLateLowestRound",2014
15,15,"Brendon de Jonge",109,64,"TenthTeeLateLowestRound",2014
15,15,"Joe Durant",47,64,"TenthTeeLateLowestRound",2014
15,15,"Russell Henley",92,64,"TenthTeeLateLowestRound",2014
15,15,"Billy Horschel",92,64,"TenthTeeLateLowestRound",2014
15,15,"Kevin Kisner",85,64,"TenthTeeLateLowestRound",2014
15,15,"Marc Leishman",81,64,"TenthTeeLateLowestRound",2014
15,15,"Jeff Maggert",54,64,"TenthTeeLateLowestRound",2014
15,15,"Kevin Na",94,64,"TenthTeeLateLowestRound",2014
15,15,"Michael Putnam",106,64,"TenthTeeLateLowestRound",2014
15,15,"Shawn Stefani",60,64,"TenthTeeLateLowestRound",2014
15,15,"Daniel Summerhays",98,64,"TenthTeeLateLowestRound",2014
15,15,"Justin Thomas",21,64,"TenthTeeLateLowestRound",2014
31,31,"Stephen Ames",48,65,"TenthTeeLateLowestRound",2014
31,31,"Mark Anderson",22,65,"TenthTeeLateLowestRound",2014
31,31,"Stuart Appleby",92,65,"TenthTeeLateLowestRound",2014
31,31,"Josh Broadaway",4,65,"TenthTeeLateLowestRound",2014
31,31,"Scott Brown",100,65,"TenthTeeLateLowestRound",2014
31,31,"Chad Collins",78,65,"TenthTeeLateLowestRound",2014
31,31,"Austin Cook",4,65,"TenthTeeLateLowestRound",2014
31,31,"Brian Davis",93,65,"TenthTeeLateLowestRound",2014
31,31,"Jamie Donaldson",39,65,"TenthTeeLateLowestRound",2014
31,31,"Matt Every",85,65,"TenthTeeLateLowestRound",2014
31,31,"Tommy Gainey",73,65,"TenthTeeLateLowestRound",2014
31,31,"Robert Garrigus",80,65,"TenthTeeLateLowestRound",2014
31,31,"Bill Haas",107,65,"TenthTeeLateLowestRound",2014
31,31,"Chesson Hadley",84,65,"TenthTeeLateLowestRound",2014
31,31,"James Hahn",82,65,"TenthTeeLateLowestRound",2014
31,31,"Brian Harman",111,65,"TenthTeeLateLowestRound",2014
31,31,"Justin Hicks",103,65,"TenthTeeLateLowestRound",2014
31,31,"Charley Hoffman",93,65,"TenthTeeLateLowestRound",2014
31,31,"Charles Howell III",106,65,"TenthTeeLateLowestRound",2014
31,31,"Matt Jones",83,65,"TenthTeeLateLowestRound",2014
31,31,"Chris Kirk",105,65,"TenthTeeLateLowestRound",2014
31,31,"Jason Kokrak",65,65,"TenthTeeLateLowestRound",2014
31,31,"Scott Langley",95,65,"TenthTeeLateLowestRound",2014
31,31,"Danny Lee",84,65,"TenthTeeLateLowestRound",2014
31,31,"Justin Leonard",75,65,"TenthTeeLateLowestRound",2014
31,31,"Jamie Lovemark",64,65,"TenthTeeLateLowestRound",2014
31,31,"Will Ma Kenzie",82,65,"TenthTeeLateLowestRound",2014
31,31,"Hunter Mahan",88,65,"TenthTeeLateLowestRound",2014
31,31,"Steve Marino",40,65,"TenthTeeLateLowestRound",2014
31,31,"Rory McIlroy",66,65,"TenthTeeLateLowestRound",2014
31,31,"John Merrick",87,65,"TenthTeeLateLowestRound",2014
31,31,"Bryce Molder",77,65,"TenthTeeLateLowestRound",2014
31,31,"Seung Yul Noh",92,65,"TenthTeeLateLowestRound",2014
31,31,"Carl Pettersson",91,65,"TenthTeeLateLowestRound",2014
31,31,"Jim Renner",61,65,"TenthTeeLateLowestRound",2014
31,31,"Heath Slocum",71,65,"TenthTeeLateLowestRound",2014
31,31,"Brandt Snedeker",89,65,"TenthTeeLateLowestRound",2014
31,31,"Henrik Stenson",56,65,"TenthTeeLateLowestRound",2014
31,31,"Brian Stuard",91,65,"TenthTeeLateLowestRound",2014
31,31,"Brendon Todd",108,65,"TenthTeeLateLowestRound",2014
31,31,"Bo Van Pelt",83,65,"TenthTeeLateLowestRound",2014
31,31,"Jhonattan Vegas",77,65,"TenthTeeLateLowestRound",2014
31,31,"Johnson Wagner",69,65,"TenthTeeLateLowestRound",2014
31,31,"Bubba Watson",76,65,"TenthTeeLateLowestRound",2014
31,31,"Gary Woodland",93,65,"TenthTeeLateLowestRound",2014
76,76,"Robert Allenby",83,66,"TenthTeeLateLowestRound",2014
