"PGAChampionshipPoints_RANKTHISWEEK_2008","PGAChampionshipPoints_RANKLASTWEEK_2008","PGAChampionshipPoints_PLAYERNAME_2008","PGAChampionshipPoints_EVENTS_2008","PGAChampionshipPoints_POINTS_2008","stat_name","year"
1,1,"Vijay Singh",7,4018563,"PGAChampionshipPoints",2008
2,2,"Camilo Villegas",5,3256000,"PGAChampionshipPoints",2008
3,3,"Sergio Garcia",6,2437500,"PGAChampionshipPoints",2008
4,4,"Mike Weir",7,1537517,"PGAChampionshipPoints",2008
5,5,"Padraig Harrington",5,1436820,"PGAChampionshipPoints",2008
6,6,"Ben Curtis",5,1409233,"PGAChampionshipPoints",2008
7,7,"Kevin Sutherland",8,1385479,"PGAChampionshipPoints",2008
8,8,"Davis Love III",8,1328756,"PGAChampionshipPoints",2008
9,9,"Carl Pettersson",9,1280813,"PGAChampionshipPoints",2008
10,10,"Dustin Johnson",7,1168290,"PGAChampionshipPoints",2008
11,11,"Phil Mickelson",6,1153890,"PGAChampionshipPoints",2008
12,12,"Robert Allenby",9,1139558,"PGAChampionshipPoints",2008
13,13,"Jim Furyk",6,1098717,"PGAChampionshipPoints",2008
14,14,"Marc Turnesa",8,1091811,"PGAChampionshipPoints",2008
15,15,"Dudley Hart",5,1074654,"PGAChampionshipPoints",2008
16,16,"Stuart Appleby",6,1072540,"PGAChampionshipPoints",2008
17,17,"Cameron Beckman",9,1065242,"PGAChampionshipPoints",2008
18,18,"Anthony Kim",6,1060900,"PGAChampionshipPoints",2008
19,19,"Ryan Palmer",9,1059625,"PGAChampionshipPoints",2008
20,20,"Zach Johnson",8,1037488,"PGAChampionshipPoints",2008
21,21,"Ken Duke",10,1022925,"PGAChampionshipPoints",2008
22,22,"Mathew Goggin",9,932506,"PGAChampionshipPoints",2008
23,23,"Justin Leonard",7,892282,"PGAChampionshipPoints",2008
24,24,"Ernie Els",6,847825,"PGAChampionshipPoints",2008
25,25,"Kevin Streelman",10,784382,"PGAChampionshipPoints",2008
26,26,"Tim Clark",10,782238,"PGAChampionshipPoints",2008
27,27,"Mark Wilson",9,769609,"PGAChampionshipPoints",2008
28,28,"KJ Choi",6,747125,"PGAChampionshipPoints",2008
29,29,"JJ Henry",12,718792,"PGAChampionshipPoints",2008
30,30,"Brian Gay",11,718630,"PGAChampionshipPoints",2008
31,31,"Martin Laird",12,705177,"PGAChampionshipPoints",2008
32,32,"Chad Campbell",8,688655,"PGAChampionshipPoints",2008
33,33,"Will Ma Kenzie",6,675197,"PGAChampionshipPoints",2008
34,34,"Hunter Mahan",7,658859,"PGAChampionshipPoints",2008
35,35,"Tim Herron",9,649895,"PGAChampionshipPoints",2008
36,36,"Lee Westwood",2,635000,"PGAChampionshipPoints",2008
37,37,"Steve Marino",10,633877,"PGAChampionshipPoints",2008
38,38,"DJ Trahan",6,609775,"PGAChampionshipPoints",2008
39,39,"Ryuji Imada",8,605487,"PGAChampionshipPoints",2008
40,40,"Steve Stricker",6,597040,"PGAChampionshipPoints",2008
41,41,"Steve Allan",7,591489,"PGAChampionshipPoints",2008
42,42,"Charlie Wi",7,584526,"PGAChampionshipPoints",2008
43,43,"Scott McCarron",7,581313,"PGAChampionshipPoints",2008
44,44,"Nicholas Thompson",11,574666,"PGAChampionshipPoints",2008
45,45,"Parker McLachlin",8,570899,"PGAChampionshipPoints",2008
46,46,"Woody Austin",10,570154,"PGAChampionshipPoints",2008
47,47,"George McNeill",9,563416,"PGAChampionshipPoints",2008
48,48,"Scott Verplank",8,560884,"PGAChampionshipPoints",2008
49,49,"Vaughn Taylor",11,559048,"PGAChampionshipPoints",2008
50,50,"Pat Perez",7,533559,"PGAChampionshipPoints",2008
51,51,"Tommy Gainey",8,532020,"PGAChampionshipPoints",2008
52,52,"Paul Casey",5,513933,"PGAChampionshipPoints",2008
53,53,"Brian Davis",12,513423,"PGAChampionshipPoints",2008
54,54,"Steve Flesch",8,504987,"PGAChampionshipPoints",2008
55,55,"Michael Allen",10,503817,"PGAChampionshipPoints",2008
56,56,"Stephen Ames",8,494535,"PGAChampionshipPoints",2008
57,57,"Charles Howell III",10,492081,"PGAChampionshipPoints",2008
58,58,"Robert Garrigus",9,490335,"PGAChampionshipPoints",2008
59,59,"Jeff Overton",10,489536,"PGAChampionshipPoints",2008
60,60,"Rich Beem",11,474909,"PGAChampionshipPoints",2008
61,61,"Aaron Baddeley",6,474650,"PGAChampionshipPoints",2008
62,62,"Matt Kuchar",5,453150,"PGAChampionshipPoints",2008
63,63,"Tim Wilkinson",9,447954,"PGAChampionshipPoints",2008
64,64,"Michael Letzig",8,437992,"PGAChampionshipPoints",2008
65,65,"Andres Romero",6,436693,"PGAChampionshipPoints",2008
66,66,"Troy Matteson",8,419888,"PGAChampionshipPoints",2008
67,67,"Briny Baird",9,417804,"PGAChampionshipPoints",2008
68,68,"Peter Lonard",11,416127,"PGAChampionshipPoints",2008
69,69,"Henrik Stenson",2,412625,"PGAChampionshipPoints",2008
70,70,"Scott Sterling",9,412400,"PGAChampionshipPoints",2008
71,71,"Billy Mayfair",8,400089,"PGAChampionshipPoints",2008
72,72,"Trevor Immelman",6,393390,"PGAChampionshipPoints",2008
73,73,"Angel Cabrera",5,389223,"PGAChampionshipPoints",2008
74,74,"Rory Sabbatini",9,369563,"PGAChampionshipPoints",2008
75,75,"Retief Goosen",4,367000,"PGAChampionshipPoints",2008
76,76,"Chris Stroud",8,360552,"PGAChampionshipPoints",2008
77,77,"Bubba Watson",8,347430,"PGAChampionshipPoints",2008
78,78,"Tim Petrovic",10,345140,"PGAChampionshipPoints",2008
79,79,"Jason Gore",10,329578,"PGAChampionshipPoints",2008
80,80,"John Senden",8,327780,"PGAChampionshipPoints",2008
81,81,"Bob Estes",9,326563,"PGAChampionshipPoints",2008
82,82,"Harrison Frazar",8,325225,"PGAChampionshipPoints",2008
83,83,"John Mallinger",8,325134,"PGAChampionshipPoints",2008
84,84,"John Rollins",8,324660,"PGAChampionshipPoints",2008
