"GIRPuttingAvg3035_RANKTHISWEEK_2008","GIRPuttingAvg3035_RANKLASTWEEK_2008","GIRPuttingAvg3035_PLAYERNAME_2008","GIRPuttingAvg3035_ROUNDS_2008","GIRPuttingAvg3035_PctMADE_2008","GIRPuttingAvg3035_ATTEMPTS_2008","GIRPuttingAvg3035_PUTTSMADE_2008","stat_name","year"
1,1,"Ryuji Imada",80,1.6,50,8,"GIRPuttingAvg3035",2008
2,2,"Matt Kuchar",88,1.49,47,7,"GIRPuttingAvg3035",2008
3,3,"Mathias Gronberg",87,1.47,68,10,"GIRPuttingAvg3035",2008
4,4,"Corey Pavin",69,1.46,48,7,"GIRPuttingAvg3035",2008
5,5,"Ron Whittaker",54,1.33,30,4,"GIRPuttingAvg3035",2008
6,6,"Kevin Stadler",90,1.31,61,8,"GIRPuttingAvg3035",2008
7,7,"Rod Pampling",83,1.25,56,7,"GIRPuttingAvg3035",2008
8,8,"Daniel Chopra",84,1.23,57,7,"GIRPuttingAvg3035",2008
9,9,"Vijay Singh",82,1.22,41,5,"GIRPuttingAvg3035",2008
10,10,"Tim Petrovic",97,1.2,50,6,"GIRPuttingAvg3035",2008
11,11,"Shane Bertsch",96,1.19,59,7,"GIRPuttingAvg3035",2008
11,11,"Nick Flanagan",89,1.19,59,7,"GIRPuttingAvg3035",2008
11,11,"Bill Haas",99,1.19,84,10,"GIRPuttingAvg3035",2008
14,14,"Steve Elkington",84,1.16,69,8,"GIRPuttingAvg3035",2008
15,15,"Paul Casey",55,1.14,35,4,"GIRPuttingAvg3035",2008
16,16,"Jeff Quinney",87,1.11,54,6,"GIRPuttingAvg3035",2008
17,17,"Steve Lowery",74,1,60,6,"GIRPuttingAvg3035",2008
18,18,"Todd Hamilton",92,0.99,71,7,"GIRPuttingAvg3035",2008
19,19,"Nathan Green",95,0.98,61,6,"GIRPuttingAvg3035",2008
19,19,"Bob Tway",70,0.98,41,4,"GIRPuttingAvg3035",2008
21,21,"Dudley Hart",74,0.95,63,6,"GIRPuttingAvg3035",2008
22,22,"Woody Austin",109,0.94,64,6,"GIRPuttingAvg3035",2008
22,22,"Marc Turnesa",87,0.94,64,6,"GIRPuttingAvg3035",2008
22,22,"Johnson Wagner",83,0.94,53,5,"GIRPuttingAvg3035",2008
25,25,"Paul Goydos",78,0.93,54,5,"GIRPuttingAvg3035",2008
25,25,"Patrick Sheehan",124,0.93,75,7,"GIRPuttingAvg3035",2008
27,27,"Parker McLachlin",88,0.92,76,7,"GIRPuttingAvg3035",2008
27,27,"Tag Ridings",88,0.92,76,7,"GIRPuttingAvg3035",2008
27,27,"Nick Watney",96,0.92,65,6,"GIRPuttingAvg3035",2008
30,30,"Stewart Cink",87,0.91,55,5,"GIRPuttingAvg3035",2008
30,30,"Mark Hensby",71,0.91,55,5,"GIRPuttingAvg3035",2008
30,30,"Shigeki Maruyama",50,0.91,33,3,"GIRPuttingAvg3035",2008
30,30,"Bob Sowards",61,0.91,44,4,"GIRPuttingAvg3035",2008
30,30,"Kyle Thompson",70,0.91,55,5,"GIRPuttingAvg3035",2008
35,35,"Steve Flesch",95,0.9,67,6,"GIRPuttingAvg3035",2008
35,35,"Martin Laird",98,0.9,78,7,"GIRPuttingAvg3035",2008
37,37,"Robert Allenby",108,0.89,90,8,"GIRPuttingAvg3035",2008
38,38,"John Senden",93,0.88,80,7,"GIRPuttingAvg3035",2008
39,39,"Padraig Harrington",52,0.87,23,2,"GIRPuttingAvg3035",2008
39,39,"JB Holmes",86,0.87,46,4,"GIRPuttingAvg3035",2008
39,39,"Steve Marino",119,0.87,103,9,"GIRPuttingAvg3035",2008
39,39,"Andres Romero",69,0.87,46,4,"GIRPuttingAvg3035",2008
39,39,"Adam Scott",51,0.87,23,2,"GIRPuttingAvg3035",2008
44,44,"Rory Sabbatini",77,0.85,47,4,"GIRPuttingAvg3035",2008
44,44,"Chris Stroud",81,0.85,59,5,"GIRPuttingAvg3035",2008
46,46,"Mathew Goggin",91,0.83,72,6,"GIRPuttingAvg3035",2008
