"HangTime_RANKTHISWEEK_2007","HangTime_RANKLASTWEEK_2007","HangTime_PLAYERNAME_2007","HangTime_ROUNDS_2007","HangTime_AVG_2007","HangTime_TOTALACTUALHANGTIME_2007","HangTime_TOTALATTEMPTS_2007","HangTime_LONGESTACTHANGTIME_2007","HangTime_SHORTESTACTHANGTIME_2007","stat_name","year"
1,NA,"Anthony Kim",93,7.1,373.7,53,8.4,3.5,"HangTime",2007
1,NA,"Paul Stankowski",52,7.1,157.2,22,7.8,6.4,"HangTime",2007
3,NA,"Alex Cejka",80,6.9,315.5,46,7.8,4.7,"HangTime",2007
3,NA,"Padraig Harrington",64,6.9,233.3,34,7.6,5.9,"HangTime",2007
3,NA,"JB Holmes",71,6.9,234.7,34,7.8,4.1,"HangTime",2007
3,NA,"Geoff Ogilvy",84,6.9,323,47,8,5,"HangTime",2007
3,NA,"Charles Warren",101,6.9,429.1,62,7.6,5.5,"HangTime",2007
8,NA,"Billy Andrade",88,6.7,372.9,56,7.6,5,"HangTime",2007
8,NA,"Andrew Buckle",77,6.7,342.4,51,8,4.3,"HangTime",2007
8,NA,"Robert Garrigus",95,6.7,377.4,56,8,5.1,"HangTime",2007
8,NA,"Jason Gore",86,6.7,347.2,52,8.9,3.9,"HangTime",2007
8,NA,"Scott Gutschewski",67,6.7,174.1,26,7.6,5.6,"HangTime",2007
8,NA,"Bill Haas",93,6.7,340.2,51,7.6,4.4,"HangTime",2007
8,NA,"Charley Hoffman",97,6.7,402.8,60,7.8,4.2,"HangTime",2007
8,NA,"Davis Love III",66,6.7,276.4,41,8,3.8,"HangTime",2007
8,NA,"Rocco Mediate",72,6.7,348.3,52,8.2,5.2,"HangTime",2007
8,NA,"Pat Perez",84,6.7,241.5,36,8.6,5.1,"HangTime",2007
8,NA,"John Rollins",102,6.7,400.3,60,7.7,4.2,"HangTime",2007
8,NA,"Vijay Singh",102,6.7,435.5,65,7.9,4.6,"HangTime",2007
8,NA,"Darron Stiles",65,6.7,219.8,33,7.6,5.1,"HangTime",2007
8,NA,"Nick Watney",87,6.7,347.4,52,7.4,5,"HangTime",2007
22,NA,"Robert Allenby",90,6.6,350,53,7.6,4.1,"HangTime",2007
22,NA,"Jason Bohn",57,6.6,217,33,7.5,4.7,"HangTime",2007
22,NA,"Chris Couch",76,6.6,341.9,52,7.9,3.5,"HangTime",2007
22,NA,"Luke Donald",69,6.6,265.6,40,7.5,5,"HangTime",2007
22,NA,"Harrison Frazar",88,6.6,268.6,41,9,4.8,"HangTime",2007
22,NA,"Will Ma Kenzie",100,6.6,427.9,65,8,5.3,"HangTime",2007
22,NA,"Troy Matteson",87,6.6,322.4,49,8.1,4.5,"HangTime",2007
22,NA,"Brett Quigley",79,6.6,242.8,37,7.4,4.4,"HangTime",2007
22,NA,"John Senden",97,6.6,378.9,57,7.8,5,"HangTime",2007
22,NA,"Kevin Stadler",95,6.6,330.8,50,7.7,1.7,"HangTime",2007
22,NA,"Henrik Stenson",52,6.6,184.3,28,8.6,4.7,"HangTime",2007
22,NA,"Camilo Villegas",82,6.6,256.7,39,8.6,5.1,"HangTime",2007
