"Approach125150yardsRTPScore_RANKTHISWEEK_2005","Approach125150yardsRTPScore_RANKLASTWEEK_2005","Approach125150yardsRTPScore_PLAYERNAME_2005","Approach125150yardsRTPScore_ROUNDS_2005","Approach125150yardsRTPScore_AVGRTP_2005","stat_name","year"
1,1,"Luke Donald",67,-0.233,"Approach125150yardsRTPScore",2005
2,2,"Adam Scott",72,-0.224,"Approach125150yardsRTPScore",2005
3,3,"Aaron Baddeley",84,-0.211,"Approach125150yardsRTPScore",2005
4,4,"Brad Faxon",75,-0.202,"Approach125150yardsRTPScore",2005
4,4,"Jim Furyk",94,-0.202,"Approach125150yardsRTPScore",2005
6,6,"Bob Tway",87,-0.193,"Approach125150yardsRTPScore",2005
7,7,"Ian Poulter",62,-0.192,"Approach125150yardsRTPScore",2005
8,8,"David Toms",87,-0.191,"Approach125150yardsRTPScore",2005
9,9,"Phil Mickelson",81,-0.188,"Approach125150yardsRTPScore",2005
9,9,"Geoff Ogilvy",97,-0.188,"Approach125150yardsRTPScore",2005
11,11,"John Cook",72,-0.178,"Approach125150yardsRTPScore",2005
12,12,"Chris DiMarco",83,-0.171,"Approach125150yardsRTPScore",2005
12,12,"Todd Hamilton",94,-0.171,"Approach125150yardsRTPScore",2005
14,14,"Dan Forsman",52,-0.17,"Approach125150yardsRTPScore",2005
15,15,"Scott Verplank",87,-0.168,"Approach125150yardsRTPScore",2005
16,16,"Shigeki Maruyama",99,-0.167,"Approach125150yardsRTPScore",2005
17,17,"Ben Crane",78,-0.165,"Approach125150yardsRTPScore",2005
18,18,"Jay Haas",54,-0.163,"Approach125150yardsRTPScore",2005
18,18,"Tim Herron",100,-0.163,"Approach125150yardsRTPScore",2005
20,20,"Stewart Cink",98,-0.162,"Approach125150yardsRTPScore",2005
21,21,"Mark Wilson",74,-0.153,"Approach125150yardsRTPScore",2005
22,22,"Justin Leonard",78,-0.151,"Approach125150yardsRTPScore",2005
23,23,"Danny Briggs",70,-0.15,"Approach125150yardsRTPScore",2005
23,23,"Paul Gow",78,-0.15,"Approach125150yardsRTPScore",2005
25,25,"Richard Johnson",50,-0.145,"Approach125150yardsRTPScore",2005
26,26,"Robert Allenby",95,-0.143,"Approach125150yardsRTPScore",2005
27,27,"Steve Stricker",62,-0.141,"Approach125150yardsRTPScore",2005
28,28,"Tim Clark",92,-0.138,"Approach125150yardsRTPScore",2005
28,28,"Jose Maria Olazabal",55,-0.138,"Approach125150yardsRTPScore",2005
30,30,"Vaughn Taylor",99,-0.134,"Approach125150yardsRTPScore",2005
31,31,"Tommy Armour III",103,-0.133,"Approach125150yardsRTPScore",2005
31,31,"Gavin Coles",70,-0.133,"Approach125150yardsRTPScore",2005
33,33,"Matt Kuchar",60,-0.132,"Approach125150yardsRTPScore",2005
34,34,"Brett Quigley",96,-0.13,"Approach125150yardsRTPScore",2005
35,35,"Hidemichi Tanaka",106,-0.127,"Approach125150yardsRTPScore",2005
36,36,"Sean OHair",103,-0.124,"Approach125150yardsRTPScore",2005
37,37,"Kevin Sutherland",89,-0.12,"Approach125150yardsRTPScore",2005
38,38,"Paul Azinger",66,-0.119,"Approach125150yardsRTPScore",2005
38,38,"Steve Elkington",67,-0.119,"Approach125150yardsRTPScore",2005
38,38,"Tom Lehman",69,-0.119,"Approach125150yardsRTPScore",2005
38,38,"Tim Petrovic",97,-0.119,"Approach125150yardsRTPScore",2005
38,38,"Rory Sabbatini",81,-0.119,"Approach125150yardsRTPScore",2005
43,43,"KJ Choi",78,-0.118,"Approach125150yardsRTPScore",2005
43,43,"Jerry Kelly",101,-0.118,"Approach125150yardsRTPScore",2005
45,45,"Billy Andrade",83,-0.117,"Approach125150yardsRTPScore",2005
45,45,"Franklin Langham",91,-0.117,"Approach125150yardsRTPScore",2005
47,47,"Pat Perez",89,-0.115,"Approach125150yardsRTPScore",2005
48,48,"Darron Stiles",78,-0.114,"Approach125150yardsRTPScore",2005
49,49,"Corey Pavin",77,-0.112,"Approach125150yardsRTPScore",2005
49,49,"Tom Pernice Jr",111,-0.112,"Approach125150yardsRTPScore",2005
51,51,"Harrison Frazar",105,-0.111,"Approach125150yardsRTPScore",2005
52,52,"Vijay Singh",111,-0.11,"Approach125150yardsRTPScore",2005
53,53,"Mathias Gronberg",60,-0.109,"Approach125150yardsRTPScore",2005
53,53,"JJ Henry",102,-0.109,"Approach125150yardsRTPScore",2005
53,53,"Brett Wetterich",76,-0.109,"Approach125150yardsRTPScore",2005
56,56,"Cameron Beckman",96,-0.108,"Approach125150yardsRTPScore",2005
56,56,"Justin Bolli",65,-0.108,"Approach125150yardsRTPScore",2005
56,56,"Ted Purdy",122,-0.108,"Approach125150yardsRTPScore",2005
59,59,"Scott Gutschewski",86,-0.107,"Approach125150yardsRTPScore",2005
60,60,"Zach Johnson",96,-0.106,"Approach125150yardsRTPScore",2005
60,60,"Duffy Waldorf",86,-0.106,"Approach125150yardsRTPScore",2005
62,62,"Robert Gamez",91,-0.104,"Approach125150yardsRTPScore",2005
62,62,"Chris Smith",93,-0.104,"Approach125150yardsRTPScore",2005
64,64,"Jim Carter",62,-0.103,"Approach125150yardsRTPScore",2005
65,65,"JL Lewis",98,-0.102,"Approach125150yardsRTPScore",2005
65,65,"Brenden Pappas",51,-0.102,"Approach125150yardsRTPScore",2005
65,65,"Tjaart van der Walt",56,-0.102,"Approach125150yardsRTPScore",2005
68,68,"Padraig Harrington",50,-0.101,"Approach125150yardsRTPScore",2005
68,68,"Charles Howell III",95,-0.101,"Approach125150yardsRTPScore",2005
70,70,"Mark Brooks",72,-0.096,"Approach125150yardsRTPScore",2005
71,71,"Jonathan Kaye",77,-0.095,"Approach125150yardsRTPScore",2005
72,72,"Tom Byrum",83,-0.092,"Approach125150yardsRTPScore",2005
72,72,"Glen Day",80,-0.092,"Approach125150yardsRTPScore",2005
72,72,"Kent Jones",99,-0.092,"Approach125150yardsRTPScore",2005
75,75,"Retief Goosen",71,-0.091,"Approach125150yardsRTPScore",2005
76,76,"Doug Barron",70,-0.09,"Approach125150yardsRTPScore",2005
76,76,"Kenny Perry",82,-0.09,"Approach125150yardsRTPScore",2005
78,78,"Jesper Parnevik",84,-0.089,"Approach125150yardsRTPScore",2005
79,79,"Brandt Jobe",96,-0.083,"Approach125150yardsRTPScore",2005
79,79,"Bernhard Langer",67,-0.083,"Approach125150yardsRTPScore",2005
79,79,"Frank Lickliter II",100,-0.083,"Approach125150yardsRTPScore",2005
82,82,"Dudley Hart",84,-0.082,"Approach125150yardsRTPScore",2005
82,82,"Larry Mize",54,-0.082,"Approach125150yardsRTPScore",2005
84,84,"Davis Love III",80,-0.081,"Approach125150yardsRTPScore",2005
85,85,"Fred Couples",72,-0.08,"Approach125150yardsRTPScore",2005
85,85,"Jeff Hart",63,-0.08,"Approach125150yardsRTPScore",2005
87,87,"Stephen Ames",82,-0.079,"Approach125150yardsRTPScore",2005
87,87,"Bo Van Pelt",112,-0.079,"Approach125150yardsRTPScore",2005
89,89,"Mario Tiziani",67,-0.078,"Approach125150yardsRTPScore",2005
89,89,"DJ Trahan",81,-0.078,"Approach125150yardsRTPScore",2005
89,89,"Omar Uresti",84,-0.078,"Approach125150yardsRTPScore",2005
92,92,"Billy Mayfair",114,-0.077,"Approach125150yardsRTPScore",2005
92,92,"Carl Pettersson",109,-0.077,"Approach125150yardsRTPScore",2005
94,94,"Matt Gogel",78,-0.076,"Approach125150yardsRTPScore",2005
95,95,"Chad Campbell",95,-0.075,"Approach125150yardsRTPScore",2005
95,95,"Hank Kuehne",84,-0.075,"Approach125150yardsRTPScore",2005
95,95,"Steve Lowery",100,-0.075,"Approach125150yardsRTPScore",2005
98,98,"Stuart Appleby",84,-0.074,"Approach125150yardsRTPScore",2005
98,98,"Arron Oberholser",65,-0.074,"Approach125150yardsRTPScore",2005
100,100,"Steve Allan",102,-0.073,"Approach125150yardsRTPScore",2005
100,100,"Jonathan Byrd",103,-0.073,"Approach125150yardsRTPScore",2005
100,100,"Marco Dawson",82,-0.073,"Approach125150yardsRTPScore",2005
100,100,"Loren Roberts",54,-0.073,"Approach125150yardsRTPScore",2005
104,104,"Sergio Garcia",73,-0.071,"Approach125150yardsRTPScore",2005
105,105,"Freddie Jacobson",72,-0.07,"Approach125150yardsRTPScore",2005
106,106,"Olin Browne",99,-0.069,"Approach125150yardsRTPScore",2005
106,106,"John Huston",90,-0.069,"Approach125150yardsRTPScore",2005
106,106,"Tiger Woods",76,-0.069,"Approach125150yardsRTPScore",2005
109,109,"Fred Funk",102,-0.067,"Approach125150yardsRTPScore",2005
110,110,"James Driscoll",73,-0.065,"Approach125150yardsRTPScore",2005
110,110,"Joey Sindelar",104,-0.065,"Approach125150yardsRTPScore",2005
112,112,"Jose Coceres",56,-0.064,"Approach125150yardsRTPScore",2005
112,112,"Stephen Leaney",89,-0.064,"Approach125150yardsRTPScore",2005
114,114,"Brian Bateman",98,-0.063,"Approach125150yardsRTPScore",2005
114,114,"Hideto Tanihara",50,-0.063,"Approach125150yardsRTPScore",2005
116,116,"Joe Durant",81,-0.062,"Approach125150yardsRTPScore",2005
116,116,"Bob Heintz",67,-0.062,"Approach125150yardsRTPScore",2005
116,116,"Scott McCarron",78,-0.062,"Approach125150yardsRTPScore",2005
119,119,"Jeff Brehaut",71,-0.061,"Approach125150yardsRTPScore",2005
120,120,"Mark Hensby",70,-0.06,"Approach125150yardsRTPScore",2005
120,120,"John Senden",101,-0.06,"Approach125150yardsRTPScore",2005
122,122,"Joey Snyder III",102,-0.059,"Approach125150yardsRTPScore",2005
123,123,"Todd Fischer",99,-0.058,"Approach125150yardsRTPScore",2005
123,123,"Patrick Sheehan",114,-0.058,"Approach125150yardsRTPScore",2005
125,125,"Rich Beem",66,-0.057,"Approach125150yardsRTPScore",2005
125,125,"Steve Jones",56,-0.057,"Approach125150yardsRTPScore",2005
127,127,"Paul Claxton",79,-0.055,"Approach125150yardsRTPScore",2005
127,127,"Lee Janzen",75,-0.055,"Approach125150yardsRTPScore",2005
129,129,"David Hearn",68,-0.054,"Approach125150yardsRTPScore",2005
129,129,"Ryuji Imada",78,-0.054,"Approach125150yardsRTPScore",2005
129,129,"Michael Long",72,-0.054,"Approach125150yardsRTPScore",2005
129,129,"Kevin Na",88,-0.054,"Approach125150yardsRTPScore",2005
133,133,"Shaun Micheel",81,-0.053,"Approach125150yardsRTPScore",2005
134,134,"Dean Wilson",86,-0.051,"Approach125150yardsRTPScore",2005
135,135,"Brian Gay",101,-0.05,"Approach125150yardsRTPScore",2005
136,136,"Craig Barlow",81,-0.049,"Approach125150yardsRTPScore",2005
136,136,"JP Hayes",63,-0.049,"Approach125150yardsRTPScore",2005
138,138,"Len Mattiace",86,-0.045,"Approach125150yardsRTPScore",2005
139,139,"Bob Estes",92,-0.044,"Approach125150yardsRTPScore",2005
140,140,"Arjun Atwal",65,-0.043,"Approach125150yardsRTPScore",2005
140,140,"Peter Lonard",85,-0.043,"Approach125150yardsRTPScore",2005
142,142,"Jay Williamson",53,-0.042,"Approach125150yardsRTPScore",2005
143,143,"Thomas Levet",54,-0.041,"Approach125150yardsRTPScore",2005
143,143,"Hunter Mahan",103,-0.041,"Approach125150yardsRTPScore",2005
145,145,"Ben Curtis",65,-0.04,"Approach125150yardsRTPScore",2005
146,146,"Matt Davidson",53,-0.038,"Approach125150yardsRTPScore",2005
146,146,"Ryan Palmer",101,-0.038,"Approach125150yardsRTPScore",2005
148,148,"Joe Ogilvie",103,-0.037,"Approach125150yardsRTPScore",2005
148,148,"DA Points",94,-0.037,"Approach125150yardsRTPScore",2005
148,148,"Jeff Sluman",94,-0.037,"Approach125150yardsRTPScore",2005
151,151,"Alex Cejka",84,-0.036,"Approach125150yardsRTPScore",2005
151,151,"Justin Rose",99,-0.036,"Approach125150yardsRTPScore",2005
153,153,"Michael Allen",90,-0.035,"Approach125150yardsRTPScore",2005
153,153,"Rob Rashell",65,-0.035,"Approach125150yardsRTPScore",2005
155,155,"Bart Bryant",91,-0.034,"Approach125150yardsRTPScore",2005
156,156,"Tag Ridings",93,-0.033,"Approach125150yardsRTPScore",2005
157,157,"Mark Calcavecchia",92,-0.032,"Approach125150yardsRTPScore",2005
158,158,"Woody Austin",100,-0.031,"Approach125150yardsRTPScore",2005
158,158,"Carlos Franco",78,-0.031,"Approach125150yardsRTPScore",2005
158,158,"Tom Gillis",77,-0.031,"Approach125150yardsRTPScore",2005
161,161,"Lucas Glover",88,-0.03,"Approach125150yardsRTPScore",2005
161,161,"John Rollins",97,-0.03,"Approach125150yardsRTPScore",2005
163,163,"Greg Owen",84,-0.029,"Approach125150yardsRTPScore",2005
164,164,"Jason Bohn",91,-0.028,"Approach125150yardsRTPScore",2005
164,164,"Charles Warren",89,-0.028,"Approach125150yardsRTPScore",2005
166,166,"Jason Allred",75,-0.027,"Approach125150yardsRTPScore",2005
167,167,"Bill Glasson",54,-0.026,"Approach125150yardsRTPScore",2005
168,168,"Nick Watney",91,-0.024,"Approach125150yardsRTPScore",2005
169,169,"Rocco Mediate",73,-0.022,"Approach125150yardsRTPScore",2005
170,170,"Briny Baird",98,-0.02,"Approach125150yardsRTPScore",2005
170,170,"Hunter Haas",83,-0.02,"Approach125150yardsRTPScore",2005
170,170,"Skip Kendall",80,-0.02,"Approach125150yardsRTPScore",2005
173,173,"Neal Lancaster",95,-0.019,"Approach125150yardsRTPScore",2005
174,174,"Charlie Wi",67,-0.016,"Approach125150yardsRTPScore",2005
175,175,"John Elliott",58,-0.015,"Approach125150yardsRTPScore",2005
175,175,"Jeff Maggert",79,-0.015,"Approach125150yardsRTPScore",2005
177,177,"Phillip Price",77,-0.013,"Approach125150yardsRTPScore",2005
177,177,"Mike Weir",71,-0.013,"Approach125150yardsRTPScore",2005
179,179,"Kirk Triplett",55,-0.011,"Approach125150yardsRTPScore",2005
180,180,"Steve Flesch",90,-0.009,"Approach125150yardsRTPScore",2005
181,181,"Rod Pampling",89,-0.008,"Approach125150yardsRTPScore",2005
181,181,"Roland Thatcher",75,-0.008,"Approach125150yardsRTPScore",2005
183,183,"DJ Brigman",76,-0.007,"Approach125150yardsRTPScore",2005
184,184,"Will Ma Kenzie",75,-0.006,"Approach125150yardsRTPScore",2005
185,185,"Heath Slocum",103,-0.005,"Approach125150yardsRTPScore",2005
186,186,"Bradley Hughes",52,0,"Approach125150yardsRTPScore",2005
186,186,"Andrew Magee",82,0,"Approach125150yardsRTPScore",2005
186,186,"Mark OMeara",66,0,"Approach125150yardsRTPScore",2005
189,189,"Daniel Chopra",108,0.006,"Approach125150yardsRTPScore",2005
189,189,"Robert Damron",89,0.006,"Approach125150yardsRTPScore",2005
191,191,"Brent Geiberger",61,0.009,"Approach125150yardsRTPScore",2005
