"ApexHeight_RANKTHISWEEK_2008","ApexHeight_RANKLASTWEEK_2008","ApexHeight_PLAYERNAME_2008","ApexHeight_ROUNDS_2008","ApexHeight_AVG_2008","ApexHeight_TOTALAPEXHEIGHT_2008","ApexHeight_TOTALATTEMPTS_2008","ApexHeight_HIGHESTAPEXPOINT_2008","ApexHeight_LOWESTAPEXPOINT_2008","stat_name","year"
1,NA,"Robert Garrigus",90,NA,NA,64,NA,NA,"ApexHeight",2008
2,NA,"JB Holmes",86,NA,NA,40,NA,NA,"ApexHeight",2008
3,NA,"Nicholas Thompson",113,NA,NA,87,NA,NA,"ApexHeight",2008
4,NA,"Padraig Harrington",52,NA,NA,24,NA,NA,"ApexHeight",2008
5,NA,"Stewart Cink",87,NA,NA,55,NA,NA,"ApexHeight",2008
6,NA,"Vijay Singh",82,NA,NA,59,NA,NA,"ApexHeight",2008
7,NA,"Geoff Ogilvy",65,NA,NA,46,NA,NA,"ApexHeight",2008
8,NA,"Charley Hoffman",94,NA,NA,86,NA,NA,"ApexHeight",2008
9,NA,"Jason Allred",63,NA,NA,43,NA,NA,"ApexHeight",2008
10,NA,"Anthony Kim",81,NA,NA,65,NA,NA,"ApexHeight",2008
11,NA,"Ryan Palmer",69,NA,NA,41,NA,NA,"ApexHeight",2008
12,NA,"Harrison Frazar",73,NA,NA,47,NA,NA,"ApexHeight",2008
13,NA,"Paul Casey",55,NA,NA,30,NA,NA,"ApexHeight",2008
14,NA,"Mark Wilson",107,NA,NA,104,NA,NA,"ApexHeight",2008
15,NA,"Brenden Pappas",66,NA,NA,40,NA,NA,"ApexHeight",2008
16,NA,"Jimmy Walker",73,NA,NA,48,NA,NA,"ApexHeight",2008
17,NA,"Dustin Johnson",92,NA,NA,63,NA,NA,"ApexHeight",2008
17,NA,"Kevin Sutherland",98,NA,NA,81,NA,NA,"ApexHeight",2008
19,NA,"Fred Couples",60,NA,NA,34,NA,NA,"ApexHeight",2008
20,NA,"Charles Warren",79,NA,NA,66,NA,NA,"ApexHeight",2008
21,NA,"Alex Cejka",75,NA,NA,52,NA,NA,"ApexHeight",2008
22,NA,"Justin Bolli",87,NA,NA,68,NA,NA,"ApexHeight",2008
22,NA,"Pat Perez",93,NA,NA,72,NA,NA,"ApexHeight",2008
24,NA,"Angel Cabrera",55,NA,NA,31,NA,NA,"ApexHeight",2008
25,NA,"Andres Romero",69,NA,NA,41,NA,NA,"ApexHeight",2008
26,NA,"John Rollins",94,NA,NA,73,NA,NA,"ApexHeight",2008
27,NA,"Jason Gore",94,NA,NA,55,NA,NA,"ApexHeight",2008
28,NA,"John Huston",56,NA,NA,44,NA,NA,"ApexHeight",2008
28,NA,"Davis Love III",78,NA,NA,54,NA,NA,"ApexHeight",2008
30,NA,"Travis Perkins",53,NA,NA,25,NA,NA,"ApexHeight",2008
31,NA,"Kevin Stadler",90,NA,NA,56,NA,NA,"ApexHeight",2008
32,NA,"Troy Matteson",94,NA,NA,84,NA,NA,"ApexHeight",2008
33,NA,"Rocco Mediate",87,NA,NA,65,NA,NA,"ApexHeight",2008
34,NA,"Robert Allenby",108,NA,NA,76,NA,NA,"ApexHeight",2008
34,NA,"Martin Laird",98,NA,NA,73,NA,NA,"ApexHeight",2008
36,NA,"Steve Marino",119,NA,NA,86,NA,NA,"ApexHeight",2008
37,NA,"Bo Van Pelt",101,NA,NA,76,NA,NA,"ApexHeight",2008
38,NA,"Lucas Glover",91,NA,NA,77,NA,NA,"ApexHeight",2008
39,NA,"George McNeill",97,NA,NA,85,NA,NA,"ApexHeight",2008
40,NA,"Jason Day",81,NA,NA,71,NA,NA,"ApexHeight",2008
41,NA,"Richard Johnson",77,NA,NA,59,NA,NA,"ApexHeight",2008
42,NA,"Bill Haas",99,NA,NA,86,NA,NA,"ApexHeight",2008
42,NA,"Kenny Perry",97,NA,NA,83,NA,NA,"ApexHeight",2008
44,NA,"Woody Austin",109,NA,NA,87,NA,NA,"ApexHeight",2008
45,NA,"Tommy Gainey",60,NA,NA,39,NA,NA,"ApexHeight",2008
46,NA,"Jonathan Byrd",88,NA,NA,77,NA,NA,"ApexHeight",2008
46,NA,"Frank Lickliter II",107,NA,NA,89,NA,NA,"ApexHeight",2008
46,NA,"Steve Stricker",75,NA,NA,53,NA,NA,"ApexHeight",2008
49,NA,"Brett Quigley",80,NA,NA,60,NA,NA,"ApexHeight",2008
50,NA,"Brad Elder",67,NA,NA,47,NA,NA,"ApexHeight",2008
51,NA,"Billy Mayfair",103,NA,NA,88,NA,NA,"ApexHeight",2008
52,NA,"Carl Pettersson",110,NA,NA,91,NA,NA,"ApexHeight",2008
53,NA,"John Senden",93,NA,NA,69,NA,NA,"ApexHeight",2008
54,NA,"Ted Purdy",68,NA,NA,43,NA,NA,"ApexHeight",2008
55,NA,"Joe Ogilvie",100,NA,NA,80,NA,NA,"ApexHeight",2008
56,NA,"Tim Herron",97,NA,NA,75,NA,NA,"ApexHeight",2008
56,NA,"Kent Jones",68,NA,NA,49,NA,NA,"ApexHeight",2008
58,NA,"Brandt Snedeker",85,NA,NA,69,NA,NA,"ApexHeight",2008
59,NA,"Sergio Garcia",72,NA,NA,48,NA,NA,"ApexHeight",2008
59,NA,"Chez Reavie",102,NA,NA,90,NA,NA,"ApexHeight",2008
61,NA,"Hunter Mahan",87,NA,NA,69,NA,NA,"ApexHeight",2008
62,NA,"Billy Andrade",71,NA,NA,49,NA,NA,"ApexHeight",2008
63,NA,"Jeff Gove",50,NA,NA,38,NA,NA,"ApexHeight",2008
64,NA,"Jeff Maggert",86,NA,NA,77,NA,NA,"ApexHeight",2008
65,NA,"KJ Choi",74,NA,NA,61,NA,NA,"ApexHeight",2008
66,NA,"Johnson Wagner",83,NA,NA,64,NA,NA,"ApexHeight",2008
67,NA,"Ben Crane",86,NA,NA,72,NA,NA,"ApexHeight",2008
67,NA,"Stephen Leaney",53,NA,NA,39,NA,NA,"ApexHeight",2008
69,NA,"Matt Jones",95,NA,NA,70,NA,NA,"ApexHeight",2008
70,NA,"Tommy Armour III",77,NA,NA,57,NA,NA,"ApexHeight",2008
71,NA,"Nick Flanagan",89,NA,NA,72,NA,NA,"ApexHeight",2008
72,NA,"Mathias Gronberg",87,NA,NA,62,NA,NA,"ApexHeight",2008
73,NA,"Daniel Chopra",84,NA,NA,63,NA,NA,"ApexHeight",2008
74,NA,"Ryan Armour",87,NA,NA,65,NA,NA,"ApexHeight",2008
75,NA,"Jesper Parnevik",88,NA,NA,71,NA,NA,"ApexHeight",2008
76,NA,"Brian Davis",108,NA,NA,96,NA,NA,"ApexHeight",2008
77,NA,"Adam Scott",51,NA,NA,34,NA,NA,"ApexHeight",2008
78,NA,"Kyle Thompson",70,NA,NA,55,NA,NA,"ApexHeight",2008
79,NA,"Rich Beem",90,NA,NA,72,NA,NA,"ApexHeight",2008
80,NA,"Cliff Kresge",84,NA,NA,68,NA,NA,"ApexHeight",2008
81,NA,"Sean OHair",81,NA,NA,61,NA,NA,"ApexHeight",2008
82,NA,"Ernie Els",51,NA,NA,38,NA,NA,"ApexHeight",2008
83,NA,"Steve Allan",58,NA,NA,41,NA,NA,"ApexHeight",2008
83,NA,"Tom Pernice Jr",104,NA,NA,96,NA,NA,"ApexHeight",2008
83,NA,"Bubba Watson",97,NA,NA,62,NA,NA,"ApexHeight",2008
86,NA,"Heath Slocum",104,NA,NA,88,NA,NA,"ApexHeight",2008
87,NA,"Tag Ridings",88,NA,NA,67,NA,NA,"ApexHeight",2008
88,NA,"Tim Clark",90,NA,NA,66,NA,NA,"ApexHeight",2008
89,NA,"David Lutterus",59,NA,NA,43,NA,NA,"ApexHeight",2008
90,NA,"Retief Goosen",59,NA,NA,37,NA,NA,"ApexHeight",2008
91,NA,"Todd Hamilton",92,NA,NA,44,NA,NA,"ApexHeight",2008
92,NA,"Mathew Goggin",91,NA,NA,66,NA,NA,"ApexHeight",2008
93,NA,"Vaughn Taylor",103,NA,NA,85,NA,NA,"ApexHeight",2008
94,NA,"Nick Watney",96,NA,NA,72,NA,NA,"ApexHeight",2008
95,NA,"Chris DiMarco",87,NA,NA,72,NA,NA,"ApexHeight",2008
95,NA,"Jim Furyk",95,NA,NA,82,NA,NA,"ApexHeight",2008
97,NA,"John Merrick",98,NA,NA,69,NA,NA,"ApexHeight",2008
97,NA,"David Toms",70,NA,NA,53,NA,NA,"ApexHeight",2008
99,NA,"Ben Curtis",80,NA,NA,65,NA,NA,"ApexHeight",2008
99,NA,"Michael Letzig",88,NA,NA,67,NA,NA,"ApexHeight",2008
101,NA,"Dean Wilson",109,NA,NA,84,NA,NA,"ApexHeight",2008
102,NA,"Cameron Beckman",87,NA,NA,60,NA,NA,"ApexHeight",2008
103,NA,"Greg Kraft",63,NA,NA,44,NA,NA,"ApexHeight",2008
103,NA,"Doug LaBelle II",65,NA,NA,41,NA,NA,"ApexHeight",2008
105,NA,"Marc Turnesa",87,NA,NA,67,NA,NA,"ApexHeight",2008
106,NA,"Stuart Appleby",87,NA,NA,62,NA,NA,"ApexHeight",2008
107,NA,"Dudley Hart",74,NA,NA,63,NA,NA,"ApexHeight",2008
108,NA,"Lee Janzen",89,NA,NA,67,NA,NA,"ApexHeight",2008
109,NA,"Omar Uresti",74,NA,NA,54,NA,NA,"ApexHeight",2008
110,NA,"DJ Trahan",94,NA,NA,71,NA,NA,"ApexHeight",2008
110,NA,"Jay Williamson",96,NA,NA,67,NA,NA,"ApexHeight",2008
112,NA,"James Driscoll",85,NA,NA,64,NA,NA,"ApexHeight",2008
112,NA,"Kevin Streelman",114,NA,NA,86,NA,NA,"ApexHeight",2008
114,NA,"Cody Freeman",66,NA,NA,47,NA,NA,"ApexHeight",2008
114,NA,"Jeff Overton",103,NA,NA,73,NA,NA,"ApexHeight",2008
116,NA,"Camilo Villegas",79,NA,NA,57,NA,NA,"ApexHeight",2008
117,NA,"Brandt Jobe",52,NA,NA,38,NA,NA,"ApexHeight",2008
118,NA,"Steve Lowery",74,NA,NA,62,NA,NA,"ApexHeight",2008
118,NA,"Ron Whittaker",54,NA,NA,37,NA,NA,"ApexHeight",2008
120,NA,"Mark Hensby",71,NA,NA,54,NA,NA,"ApexHeight",2008
120,NA,"Matt Kuchar",88,NA,NA,64,NA,NA,"ApexHeight",2008
122,NA,"Brad Adamonis",87,NA,NA,68,NA,NA,"ApexHeight",2008
122,NA,"Brett Rumford",72,NA,NA,55,NA,NA,"ApexHeight",2008
124,NA,"Eric Axley",113,NA,NA,84,NA,NA,"ApexHeight",2008
125,NA,"Mark Calcavecchia",67,NA,NA,46,NA,NA,"ApexHeight",2008
126,NA,"Chris Stroud",81,NA,NA,63,NA,NA,"ApexHeight",2008
127,NA,"Ryuji Imada",80,NA,NA,63,NA,NA,"ApexHeight",2008
127,NA,"Scott McCarron",63,NA,NA,50,NA,NA,"ApexHeight",2008
129,NA,"Will Ma Kenzie",62,NA,NA,55,NA,NA,"ApexHeight",2008
129,NA,"Bob Sowards",61,NA,NA,42,NA,NA,"ApexHeight",2008
131,NA,"Briny Baird",113,NA,NA,85,NA,NA,"ApexHeight",2008
132,NA,"Phil Mickelson",80,NA,NA,50,NA,NA,"ApexHeight",2008
133,NA,"Chad Campbell",94,NA,NA,88,NA,NA,"ApexHeight",2008
133,NA,"Peter Lonard",92,NA,NA,77,NA,NA,"ApexHeight",2008
135,NA,"Robert Gamez",79,NA,NA,64,NA,NA,"ApexHeight",2008
136,NA,"Jerry Kelly",89,NA,NA,73,NA,NA,"ApexHeight",2008
137,NA,"JP Hayes",67,NA,NA,60,NA,NA,"ApexHeight",2008
138,NA,"Glen Day",64,NA,NA,47,NA,NA,"ApexHeight",2008
139,NA,"Zach Johnson",85,NA,NA,73,NA,NA,"ApexHeight",2008
140,NA,"Paul Claxton",63,NA,NA,45,NA,NA,"ApexHeight",2008
140,NA,"Patrick Sheehan",124,NA,NA,93,NA,NA,"ApexHeight",2008
142,NA,"Tom Lehman",51,NA,NA,37,NA,NA,"ApexHeight",2008
142,NA,"Ryan Moore",72,NA,NA,54,NA,NA,"ApexHeight",2008
144,NA,"Brian Gay",102,NA,NA,84,NA,NA,"ApexHeight",2008
145,NA,"Alejandro Canizares",52,NA,NA,40,NA,NA,"ApexHeight",2008
145,NA,"John Riegger",73,NA,NA,54,NA,NA,"ApexHeight",2008
147,NA,"Marco Dawson",64,NA,NA,44,NA,NA,"ApexHeight",2008
148,NA,"Joe Durant",92,NA,NA,74,NA,NA,"ApexHeight",2008
149,NA,"Jon Mills",95,NA,NA,54,NA,NA,"ApexHeight",2008
150,NA,"Justin Leonard",101,NA,NA,77,NA,NA,"ApexHeight",2008
