"Front9Par3ScoringAverage_RANKTHISWEEK_2005","Front9Par3ScoringAverage_RANKLASTWEEK_2005","Front9Par3ScoringAverage_PLAYERNAME_2005","Front9Par3ScoringAverage_ROUNDS_2005","Front9Par3ScoringAverage_AVG_2005","Front9Par3ScoringAverage_TOTALSTROKES_2005","Front9Par3ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Bill Glasson",54,2.94,317,108,"Front9Par3ScoringAverage",2005
2,2,"Jeff Brehaut",71,2.96,409,138,"Front9Par3ScoringAverage",2005
2,2,"Chad Campbell",95,2.96,557,188,"Front9Par3ScoringAverage",2005
2,2,"Ben Crane",78,2.96,450,152,"Front9Par3ScoringAverage",2005
5,5,"Stewart Cink",98,2.97,529,178,"Front9Par3ScoringAverage",2005
5,5,"Luke Donald",67,2.97,345,116,"Front9Par3ScoringAverage",2005
5,5,"Jim Furyk",94,2.97,547,184,"Front9Par3ScoringAverage",2005
5,5,"Lee Janzen",75,2.97,446,150,"Front9Par3ScoringAverage",2005
5,5,"Corey Pavin",77,2.97,440,148,"Front9Par3ScoringAverage",2005
10,10,"Woody Austin",100,2.98,602,202,"Front9Par3ScoringAverage",2005
10,10,"Steve Elkington",67,2.98,423,142,"Front9Par3ScoringAverage",2005
10,10,"Jeff Hart",63,2.98,382,128,"Front9Par3ScoringAverage",2005
10,10,"Mark Wilson",74,2.98,429,144,"Front9Par3ScoringAverage",2005
14,14,"Bob Estes",92,2.99,574,192,"Front9Par3ScoringAverage",2005
14,14,"Brad Faxon",75,2.99,431,144,"Front9Par3ScoringAverage",2005
14,14,"Kenny Perry",82,2.99,479,160,"Front9Par3ScoringAverage",2005
14,14,"Kirk Triplett",55,2.99,311,104,"Front9Par3ScoringAverage",2005
18,18,"Kent Jones",99,3,607,202,"Front9Par3ScoringAverage",2005
18,18,"Phil Mickelson",81,3,432,144,"Front9Par3ScoringAverage",2005
18,18,"Carl Pettersson",109,3,641,214,"Front9Par3ScoringAverage",2005
21,21,"Tommy Armour III",103,3.01,645,214,"Front9Par3ScoringAverage",2005
21,21,"Briny Baird",98,3.01,601,200,"Front9Par3ScoringAverage",2005
21,21,"Gavin Coles",70,3.01,434,144,"Front9Par3ScoringAverage",2005
21,21,"Thomas Levet",54,3.01,319,106,"Front9Par3ScoringAverage",2005
21,21,"Larry Mize",54,3.01,307,102,"Front9Par3ScoringAverage",2005
21,21,"Phillip Price",77,3.01,458,152,"Front9Par3ScoringAverage",2005
21,21,"Loren Roberts",54,3.01,325,108,"Front9Par3ScoringAverage",2005
21,21,"Hidemichi Tanaka",106,3.01,626,208,"Front9Par3ScoringAverage",2005
29,29,"Stephen Ames",82,3.02,483,160,"Front9Par3ScoringAverage",2005
29,29,"Doug Barron",70,3.02,441,146,"Front9Par3ScoringAverage",2005
29,29,"Jason Bohn",91,3.02,568,188,"Front9Par3ScoringAverage",2005
29,29,"Bart Bryant",91,3.02,543,180,"Front9Par3ScoringAverage",2005
29,29,"Tom Byrum",83,3.02,514,170,"Front9Par3ScoringAverage",2005
29,29,"Lucas Glover",88,3.02,531,176,"Front9Par3ScoringAverage",2005
29,29,"JP Hayes",63,3.02,392,130,"Front9Par3ScoringAverage",2005
29,29,"Richard Johnson",50,3.02,314,104,"Front9Par3ScoringAverage",2005
29,29,"Matt Kuchar",60,3.02,381,126,"Front9Par3ScoringAverage",2005
29,29,"Billy Mayfair",114,3.02,677,224,"Front9Par3ScoringAverage",2005
29,29,"Arron Oberholser",65,3.02,392,130,"Front9Par3ScoringAverage",2005
29,29,"Geoff Ogilvy",97,3.02,562,186,"Front9Par3ScoringAverage",2005
29,29,"Justin Rose",99,3.02,573,190,"Front9Par3ScoringAverage",2005
29,29,"Vijay Singh",111,3.02,659,218,"Front9Par3ScoringAverage",2005
29,29,"Heath Slocum",103,3.02,610,202,"Front9Par3ScoringAverage",2005
29,29,"Duffy Waldorf",86,3.02,483,160,"Front9Par3ScoringAverage",2005
45,45,"Chris Anderson",66,3.03,388,128,"Front9Par3ScoringAverage",2005
45,45,"Carlos Franco",78,3.03,479,158,"Front9Par3ScoringAverage",2005
45,45,"Robert Gamez",91,3.03,564,186,"Front9Par3ScoringAverage",2005
45,45,"Hunter Haas",83,3.03,491,162,"Front9Par3ScoringAverage",2005
45,45,"Tim Herron",100,3.03,612,202,"Front9Par3ScoringAverage",2005
45,45,"Jerry Kelly",101,3.03,619,204,"Front9Par3ScoringAverage",2005
45,45,"Shigeki Maruyama",99,3.03,587,194,"Front9Par3ScoringAverage",2005
45,45,"DA Points",94,3.03,558,184,"Front9Par3ScoringAverage",2005
45,45,"Brett Wetterich",76,3.03,466,154,"Front9Par3ScoringAverage",2005
45,45,"Jay Williamson",53,3.03,327,108,"Front9Par3ScoringAverage",2005
55,55,"Mark Calcavecchia",92,3.04,559,184,"Front9Par3ScoringAverage",2005
55,55,"Sergio Garcia",73,3.04,401,132,"Front9Par3ScoringAverage",2005
55,55,"Paul Gow",78,3.04,468,154,"Front9Par3ScoringAverage",2005
55,55,"Mathias Gronberg",60,3.04,377,124,"Front9Par3ScoringAverage",2005
55,55,"Bob Heintz",67,3.04,420,138,"Front9Par3ScoringAverage",2005
55,55,"JL Lewis",98,3.04,621,204,"Front9Par3ScoringAverage",2005
55,55,"Mark OMeara",66,3.04,395,130,"Front9Par3ScoringAverage",2005
55,55,"Rod Pampling",89,3.04,510,168,"Front9Par3ScoringAverage",2005
55,55,"Patrick Sheehan",114,3.04,690,227,"Front9Par3ScoringAverage",2005
55,55,"Darron Stiles",78,3.04,475,156,"Front9Par3ScoringAverage",2005
55,55,"David Toms",87,3.04,481,158,"Front9Par3ScoringAverage",2005
