"ConsecutiveFairwaysHit_RANKTHISWEEK_2010","ConsecutiveFairwaysHit_RANKLASTWEEK_2010","ConsecutiveFairwaysHit_PLAYERNAME_2010","ConsecutiveFairwaysHit_EVENTS_2010","ConsecutiveFairwaysHit_BESTSTREAK_2010","ConsecutiveFairwaysHit_CURRENTSTREAK_2010","stat_name","year"
1,1,"Nick OHern",11,34,10,"ConsecutiveFairwaysHit",2010
2,2,"Brian Gay",30,33,7,"ConsecutiveFairwaysHit",2010
3,3,"Benjamin Fox",3,32,1,"ConsecutiveFairwaysHit",2010
4,4,"Kent Jones",9,31,NA,"ConsecutiveFairwaysHit",2010
4,4,"Jeff Quinney",29,31,1,"ConsecutiveFairwaysHit",2010
4,4,"Nicholas Thompson",29,31,1,"ConsecutiveFairwaysHit",2010
7,7,"Mark Hensby",12,29,1,"ConsecutiveFairwaysHit",2010
8,8,"Bob Heintz",3,28,1,"ConsecutiveFairwaysHit",2010
8,8,"Scott Verplank",22,28,NA,"ConsecutiveFairwaysHit",2010
10,10,"Yuta Ikeda",11,27,NA,"ConsecutiveFairwaysHit",2010
11,11,"Todd Fischer",1,26,6,"ConsecutiveFairwaysHit",2010
11,11,"John Mallinger",29,26,6,"ConsecutiveFairwaysHit",2010
13,13,"Chris DiMarco",25,25,3,"ConsecutiveFairwaysHit",2010
13,13,"Richard Johnson",27,25,9,"ConsecutiveFairwaysHit",2010
13,13,"John Merrick",31,25,12,"ConsecutiveFairwaysHit",2010
13,13,"John Senden",30,25,3,"ConsecutiveFairwaysHit",2010
13,13,"Heath Slocum",25,25,6,"ConsecutiveFairwaysHit",2010
13,13,"Tiger Woods",12,25,NA,"ConsecutiveFairwaysHit",2010
19,19,"Woody Austin",29,24,1,"ConsecutiveFairwaysHit",2010
19,19,"Chad Campbell",28,24,1,"ConsecutiveFairwaysHit",2010
19,19,"Rocco Mediate",25,24,NA,"ConsecutiveFairwaysHit",2010
19,19,"Louis Oosthuizen",5,24,1,"ConsecutiveFairwaysHit",2010
19,19,"Steve Stricker",19,24,NA,"ConsecutiveFairwaysHit",2010
19,19,"Charles Warren",21,24,1,"ConsecutiveFairwaysHit",2010
25,25,"Joe Durant",19,23,2,"ConsecutiveFairwaysHit",2010
25,25,"JJ Henry",27,23,3,"ConsecutiveFairwaysHit",2010
25,25,"John Morse",5,23,NA,"ConsecutiveFairwaysHit",2010
