"ProximitytoHolefromOtherLocations_RANKTHISWEEK_2005","ProximitytoHolefromOtherLocations_RANKLASTWEEK_2005","ProximitytoHolefromOtherLocations_PLAYERNAME_2005","ProximitytoHolefromOtherLocations_ROUNDS_2005","ProximitytoHolefromOtherLocations_AVGDTP_2005","ProximitytoHolefromOtherLocations_TOTALDISTANCEFEET_2005","ProximitytoHolefromOtherLocations_OFSHOTS_2005","ProximitytoHolefromOtherLocations_SCRAMBLINGRANK_2005","stat_name","year"
1,1,"Justin Leonard",78,NA,5.078,74,64,"ProximitytoHolefromOtherLocations",2005
2,2,"Ben Curtis",65,NA,5.112,73,176,"ProximitytoHolefromOtherLocations",2005
3,3,"Mike Weir",71,NA,4.556,64,81,"ProximitytoHolefromOtherLocations",2005
4,4,"Jose Maria Olazabal",55,NA,4.433,61,5,"ProximitytoHolefromOtherLocations",2005
5,5,"Luke Donald",67,NA,3.117,42,42,"ProximitytoHolefromOtherLocations",2005
6,6,"Brian Davis",75,NA,7.695,101,17,"ProximitytoHolefromOtherLocations",2005
6,6,"Loren Roberts",54,NA,3.788,50,7,"ProximitytoHolefromOtherLocations",2005
8,8,"Justin Bolli",65,NA,7.591,98,144,"ProximitytoHolefromOtherLocations",2005
9,9,"Shigeki Maruyama",99,NA,6.569,84,29,"ProximitytoHolefromOtherLocations",2005
9,9,"Carl Pettersson",109,NA,12.409,159,25,"ProximitytoHolefromOtherLocations",2005
9,9,"David Toms",87,NA,6.439,83,118,"ProximitytoHolefromOtherLocations",2005
12,12,"Rob Rashell",65,NA,6.285,80,166,"ProximitytoHolefromOtherLocations",2005
13,13,"Paul Azinger",66,NA,7.159,90,140,"ProximitytoHolefromOtherLocations",2005
13,13,"Phil Mickelson",81,NA,6.045,76,9,"ProximitytoHolefromOtherLocations",2005
13,13,"Brett Quigley",96,NA,10.156,127,28,"ProximitytoHolefromOtherLocations",2005
13,13,"Jeff Sluman",94,NA,7.453,93,44,"ProximitytoHolefromOtherLocations",2005
17,17,"Michael Allen",90,NA,8.636,107,147,"ProximitytoHolefromOtherLocations",2005
17,17,"Jonathan Byrd",103,NA,11.566,143,99,"ProximitytoHolefromOtherLocations",2005
17,17,"Jim Furyk",94,NA,7.004,86,3,"ProximitytoHolefromOtherLocations",2005
17,17,"Charles Howell III",95,NA,6.838,84,68,"ProximitytoHolefromOtherLocations",2005
17,17,"Mark OMeara",66,NA,7.938,98,33,"ProximitytoHolefromOtherLocations",2005
17,17,"Mark Wilson",74,NA,6.894,85,36,"ProximitytoHolefromOtherLocations",2005
23,23,"Stephen Leaney",89,NA,6.928,85,51,"ProximitytoHolefromOtherLocations",2005
23,23,"Billy Mayfair",114,NA,8.774,107,54,"ProximitytoHolefromOtherLocations",2005
23,23,"Kenny Perry",82,NA,5.655,69,70,"ProximitytoHolefromOtherLocations",2005
23,23,"Heath Slocum",103,NA,9.644,117,40,"ProximitytoHolefromOtherLocations",2005
27,27,"Todd Fischer",99,NA,10.982,133,82,"ProximitytoHolefromOtherLocations",2005
27,27,"Hunter Haas",83,NA,11.885,143,112,"ProximitytoHolefromOtherLocations",2005
27,27,"Tim Herron",100,NA,9.037,109,20,"ProximitytoHolefromOtherLocations",2005
27,27,"Steve Jones",56,NA,5.055,61,143,"ProximitytoHolefromOtherLocations",2005
27,27,"Tom Lehman",69,NA,6.285,76,121,"ProximitytoHolefromOtherLocations",2005
32,32,"Fred Funk",102,NA,7.245,86,11,"ProximitytoHolefromOtherLocations",2005
32,32,"Jerry Kelly",101,NA,8.328,99,71,"ProximitytoHolefromOtherLocations",2005
32,32,"Bernhard Langer",67,NA,4.709,56,41,"ProximitytoHolefromOtherLocations",2005
32,32,"Dean Wilson",86,NA,10.725,127,62,"ProximitytoHolefromOtherLocations",2005
32,32,"Tiger Woods",76,NA,4.047,48,14,"ProximitytoHolefromOtherLocations",2005
37,37,"Jeff Brehaut",71,NA,8.483,100,95,"ProximitytoHolefromOtherLocations",2005
37,37,"Fred Couples",72,NA,4.101,48,168,"ProximitytoHolefromOtherLocations",2005
37,37,"Marco Dawson",82,NA,8.138,96,60,"ProximitytoHolefromOtherLocations",2005
37,37,"Matt Kuchar",60,NA,7.817,92,26,"ProximitytoHolefromOtherLocations",2005
37,37,"Thomas Levet",54,NA,6.128,72,195,"ProximitytoHolefromOtherLocations",2005
37,37,"Jesper Parnevik",84,NA,9.395,110,57,"ProximitytoHolefromOtherLocations",2005
37,37,"Rory Sabbatini",81,NA,6.445,76,108,"ProximitytoHolefromOtherLocations",2005
37,37,"Tjaart van der Walt",56,NA,7.647,90,126,"ProximitytoHolefromOtherLocations",2005
45,45,"Stuart Appleby",84,NA,6.699,78,58,"ProximitytoHolefromOtherLocations",2005
45,45,"Woody Austin",100,NA,10.331,120,119,"ProximitytoHolefromOtherLocations",2005
45,45,"Lucas Glover",88,NA,7.738,90,129,"ProximitytoHolefromOtherLocations",2005
45,45,"Neal Lancaster",95,NA,11.324,131,90,"ProximitytoHolefromOtherLocations",2005
45,45,"Davis Love III",80,NA,6.584,77,48,"ProximitytoHolefromOtherLocations",2005
45,45,"Greg Owen",84,NA,9.45,110,101,"ProximitytoHolefromOtherLocations",2005
45,45,"Brenden Pappas",51,NA,6.481,75,197,"ProximitytoHolefromOtherLocations",2005
45,45,"Jay Williamson",53,NA,6.484,75,31,"ProximitytoHolefromOtherLocations",2005
53,53,"Craig Barlow",81,NA,6.903,79,172,"ProximitytoHolefromOtherLocations",2005
53,53,"Dan Forsman",52,NA,4.62,53,46,"ProximitytoHolefromOtherLocations",2005
53,53,"Retief Goosen",71,NA,4.369,50,131,"ProximitytoHolefromOtherLocations",2005
53,53,"Glen Hnatiuk",59,NA,6.629,76,173,"ProximitytoHolefromOtherLocations",2005
53,53,"John Huston",90,NA,10.298,118,128,"ProximitytoHolefromOtherLocations",2005
53,53,"Ryuji Imada",78,NA,11.515,133,32,"ProximitytoHolefromOtherLocations",2005
53,53,"Steve Lowery",100,NA,11.703,134,137,"ProximitytoHolefromOtherLocations",2005
60,60,"Aaron Baddeley",84,NA,9.119,104,72,"ProximitytoHolefromOtherLocations",2005
60,60,"KJ Choi",78,NA,5.887,67,89,"ProximitytoHolefromOtherLocations",2005
60,60,"John Daly",78,NA,8.034,91,192,"ProximitytoHolefromOtherLocations",2005
60,60,"Scott Gutschewski",86,NA,9.682,110,160,"ProximitytoHolefromOtherLocations",2005
60,60,"Padraig Harrington",50,NA,4.646,53,170,"ProximitytoHolefromOtherLocations",2005
60,60,"JJ Henry",102,NA,10.851,123,105,"ProximitytoHolefromOtherLocations",2005
60,60,"Tim Petrovic",97,NA,11.38,129,87,"ProximitytoHolefromOtherLocations",2005
67,67,"Brian Bateman",98,NA,10.992,123,176,"ProximitytoHolefromOtherLocations",2005
