"LeftRoughTendency_RANKTHISWEEK_2008","LeftRoughTendency_RANKLASTWEEK_2008","LeftRoughTendency_PLAYERNAME_2008","LeftRoughTendency_ROUNDS_2008","LeftRoughTendency_Pct_2008","LeftRoughTendency_TOTALLEFTROUGH_2008","LeftRoughTendency_POSSIBLEFWYS_2008","LeftRoughTendency_RELATIVETOPAR_2008","stat_name","year"
1,1,"Scott Verplank",82,7.52,68,904,0.09,"LeftRoughTendency",2008
2,2,"Billy Mayfair",103,7.59,100,1317,0.13,"LeftRoughTendency",2008
3,3,"Tom Lehman",51,8.54,45,527,0.07,"LeftRoughTendency",2008
4,4,"Chris Stroud",81,8.55,78,912,0.26,"LeftRoughTendency",2008
5,5,"Jeff Gove",50,8.7,53,609,0.23,"LeftRoughTendency",2008
6,6,"Corey Pavin",69,8.91,69,774,0.26,"LeftRoughTendency",2008
7,7,"Brian Davis",108,9.1,129,1417,0.13,"LeftRoughTendency",2008
8,8,"Omar Uresti",74,9.27,81,874,0.02,"LeftRoughTendency",2008
9,9,"Bart Bryant",81,9.33,87,932,0.2,"LeftRoughTendency",2008
10,10,"Parker McLachlin",88,9.41,102,1084,0.02,"LeftRoughTendency",2008
10,10,"Mark Wilson",107,9.41,136,1446,0.14,"LeftRoughTendency",2008
12,12,"Ryan Armour",87,9.56,100,1046,0.25,"LeftRoughTendency",2008
12,12,"Zach Johnson",85,9.56,95,994,0.07,"LeftRoughTendency",2008
14,14,"Robert Gamez",79,9.62,94,977,0.22,"LeftRoughTendency",2008
15,15,"Chez Reavie",102,9.66,120,1242,0.2,"LeftRoughTendency",2008
16,16,"Jim Furyk",95,9.69,102,1053,0.13,"LeftRoughTendency",2008
17,17,"Ron Whittaker",54,9.77,55,563,0.15,"LeftRoughTendency",2008
18,18,"Heath Slocum",104,9.92,119,1199,0.13,"LeftRoughTendency",2008
19,19,"Greg Kraft",63,10.09,70,694,0.3,"LeftRoughTendency",2008
20,20,"Olin Browne",77,10.11,98,969,0.29,"LeftRoughTendency",2008
21,21,"Jay Williamson",96,10.17,113,1111,0.31,"LeftRoughTendency",2008
22,22,"Rocco Mediate",87,10.33,99,958,0.16,"LeftRoughTendency",2008
23,23,"Kent Jones",68,10.37,79,762,0.06,"LeftRoughTendency",2008
23,23,"John Merrick",98,10.37,110,1061,0.13,"LeftRoughTendency",2008
25,25,"Joe Durant",92,10.41,114,1095,0.21,"LeftRoughTendency",2008
26,26,"Aaron Baddeley",76,10.42,87,835,0.03,"LeftRoughTendency",2008
27,27,"Paul Claxton",63,10.45,72,689,0.38,"LeftRoughTendency",2008
28,28,"Bob Sowards",61,10.52,75,713,0.24,"LeftRoughTendency",2008
29,29,"Todd Hamilton",92,10.57,108,1022,0.19,"LeftRoughTendency",2008
30,30,"Ben Curtis",80,10.59,93,878,0.18,"LeftRoughTendency",2008
31,31,"John Rollins",94,10.67,117,1097,0.06,"LeftRoughTendency",2008
32,32,"Rich Beem",90,10.95,120,1096,0.06,"LeftRoughTendency",2008
33,33,"Paul Goydos",78,11.03,103,934,0.27,"LeftRoughTendency",2008
34,34,"Woody Austin",109,11.09,136,1226,0.02,"LeftRoughTendency",2008
35,35,"JP Hayes",67,11.16,97,869,0.09,"LeftRoughTendency",2008
36,36,"Rory Sabbatini",77,11.19,98,876,0.08,"LeftRoughTendency",2008
37,37,"Michael Allen",91,11.21,121,1079,0.18,"LeftRoughTendency",2008
38,38,"Jeff Quinney",87,11.22,113,1007,0.15,"LeftRoughTendency",2008
39,39,"Ben Crane",86,11.29,117,1036,0.09,"LeftRoughTendency",2008
40,40,"Steve Allan",58,11.31,74,654,0.14,"LeftRoughTendency",2008
41,41,"Bob Estes",90,11.37,135,1187,0.04,"LeftRoughTendency",2008
42,42,"DJ Trahan",94,11.38,122,1072,0.11,"LeftRoughTendency",2008
43,43,"Jason Day",81,11.45,120,1048,0.19,"LeftRoughTendency",2008
44,44,"Charlie Wi",97,11.48,140,1219,0.1,"LeftRoughTendency",2008
45,45,"John Mallinger",95,11.53,134,1162,0.16,"LeftRoughTendency",2008
46,46,"Jonathan Byrd",88,11.55,123,1065,0.19,"LeftRoughTendency",2008
47,47,"Jason Gore",94,11.56,136,1176,0.09,"LeftRoughTendency",2008
48,48,"David Toms",70,11.6,90,776,0.08,"LeftRoughTendency",2008
49,49,"Nick Watney",96,11.62,135,1162,0.21,"LeftRoughTendency",2008
50,50,"Craig Kanada",65,11.68,89,762,0.24,"LeftRoughTendency",2008
50,50,"Mike Weir",88,11.68,108,925,0.1,"LeftRoughTendency",2008
52,52,"Kevin Na",97,11.8,149,1263,0.09,"LeftRoughTendency",2008
53,53,"Chris Riley",51,11.82,65,550,0.14,"LeftRoughTendency",2008
54,54,"Marc Turnesa",87,11.84,124,1047,0.13,"LeftRoughTendency",2008
55,55,"Martin Laird",98,11.86,138,1164,0.2,"LeftRoughTendency",2008
56,56,"Briny Baird",113,11.88,157,1322,0.08,"LeftRoughTendency",2008
56,56,"Patrick Sheehan",124,11.88,171,1440,0.18,"LeftRoughTendency",2008
58,58,"Frank Lickliter II",107,11.94,165,1382,0.08,"LeftRoughTendency",2008
59,59,"Robert Allenby",108,11.96,142,1187,0.06,"LeftRoughTendency",2008
60,60,"Scott Sterling",89,11.97,122,1019,0.1,"LeftRoughTendency",2008
61,61,"Steve Elkington",84,12.04,122,1013,-0.02,"LeftRoughTendency",2008
62,62,"Nick OHern",82,12.07,119,986,0.16,"LeftRoughTendency",2008
63,63,"Nicholas Thompson",113,12.11,161,1330,0.19,"LeftRoughTendency",2008
63,63,"YE Yang",89,12.11,133,1098,0.18,"LeftRoughTendency",2008
65,65,"John Huston",56,12.15,82,675,0.21,"LeftRoughTendency",2008
65,65,"John Riegger",73,12.15,108,889,0.15,"LeftRoughTendency",2008
67,67,"David Lutterus",59,12.16,84,691,0.25,"LeftRoughTendency",2008
68,68,"Shane Bertsch",96,12.18,152,1248,0.2,"LeftRoughTendency",2008
69,69,"Jin Park",85,12.19,117,960,0.12,"LeftRoughTendency",2008
70,70,"Troy Matteson",94,12.23,149,1218,0.12,"LeftRoughTendency",2008
71,71,"Tim Petrovic",97,12.32,138,1120,0.16,"LeftRoughTendency",2008
72,72,"Cameron Beckman",87,12.35,126,1020,0.21,"LeftRoughTendency",2008
72,72,"Brian Gay",102,12.35,148,1198,0.18,"LeftRoughTendency",2008
74,74,"Ian Poulter",51,12.38,62,501,0.11,"LeftRoughTendency",2008
75,75,"Boo Weekley",86,12.39,110,888,0.23,"LeftRoughTendency",2008
76,76,"Scott McCarron",63,12.4,93,750,0.14,"LeftRoughTendency",2008
77,77,"John Senden",93,12.44,140,1125,0.25,"LeftRoughTendency",2008
78,78,"Justin Bolli",87,12.45,126,1012,0.17,"LeftRoughTendency",2008
79,79,"Chad Campbell",94,12.47,146,1171,0.15,"LeftRoughTendency",2008
80,80,"Brandt Jobe",52,12.52,81,647,0.05,"LeftRoughTendency",2008
81,81,"Tom Pernice Jr",104,12.56,170,1353,0.2,"LeftRoughTendency",2008
82,82,"Ken Duke",116,12.6,183,1452,0.06,"LeftRoughTendency",2008
82,82,"Pat Perez",93,12.6,138,1095,0.12,"LeftRoughTendency",2008
84,84,"Kenneth Ferrie",72,12.61,104,825,0.2,"LeftRoughTendency",2008
85,85,"Freddie Jacobson",78,12.67,112,884,0.1,"LeftRoughTendency",2008
85,85,"Ryan Moore",72,12.67,110,868,0.1,"LeftRoughTendency",2008
87,87,"Hunter Mahan",87,12.75,127,996,0.08,"LeftRoughTendency",2008
88,88,"Mark Calcavecchia",67,12.77,96,752,0.04,"LeftRoughTendency",2008
88,88,"Trevor Immelman",70,12.77,95,744,0.26,"LeftRoughTendency",2008
90,90,"Tommy Armour III",77,12.79,116,907,0.14,"LeftRoughTendency",2008
91,91,"Charley Hoffman",94,12.86,153,1190,0.12,"LeftRoughTendency",2008
92,92,"Kevin Stadler",90,12.89,129,1001,0.09,"LeftRoughTendency",2008
93,93,"Gavin Coles",54,12.95,79,610,0.06,"LeftRoughTendency",2008
94,94,"Harrison Frazar",73,13,110,846,-0.05,"LeftRoughTendency",2008
94,94,"Stephen Leaney",53,13,81,623,0.28,"LeftRoughTendency",2008
96,96,"Fred Couples",60,13.07,91,696,0.04,"LeftRoughTendency",2008
97,97,"Tim Herron",97,13.09,156,1192,0.13,"LeftRoughTendency",2008
98,98,"Geoff Ogilvy",65,13.11,88,671,0.18,"LeftRoughTendency",2008
99,99,"Tom Scherrer",56,13.12,79,602,0.11,"LeftRoughTendency",2008
100,100,"Kevin Streelman",114,13.14,176,1339,0.05,"LeftRoughTendency",2008
