"Scrambling30ydsRTPScore_RANKTHISWEEK_2011","Scrambling30ydsRTPScore_RANKLASTWEEK_2011","Scrambling30ydsRTPScore_PLAYERNAME_2011","Scrambling30ydsRTPScore_ROUNDS_2011","Scrambling30ydsRTPScore_AVGRTP_2011","Scrambling30ydsRTPScore_TOTALHOLES_2011","Scrambling30ydsRTPScore_TOTALRTP_2011","stat_name","year"
1,NA,"Rod Pampling",72,0.636,66,42,"Scrambling30ydsRTPScore",2011
2,NA,"YE Yang",63,0.643,42,27,"Scrambling30ydsRTPScore",2011
3,NA,"Charles Howell III",108,0.653,101,66,"Scrambling30ydsRTPScore",2011
4,NA,"KJ Choi",77,0.692,65,45,"Scrambling30ydsRTPScore",2011
4,NA,"Nick OHern",89,0.692,78,54,"Scrambling30ydsRTPScore",2011
6,NA,"Camilo Villegas",69,0.716,74,53,"Scrambling30ydsRTPScore",2011
7,NA,"Freddie Jacobson",92,0.72,82,59,"Scrambling30ydsRTPScore",2011
8,NA,"Martin Laird",77,0.724,58,42,"Scrambling30ydsRTPScore",2011
9,NA,"Luke Donald",73,0.727,55,40,"Scrambling30ydsRTPScore",2011
10,NA,"Jerry Kelly",85,0.733,60,44,"Scrambling30ydsRTPScore",2011
11,NA,"Zach Johnson",79,0.742,62,46,"Scrambling30ydsRTPScore",2011
12,NA,"Kevin Streelman",90,0.743,70,52,"Scrambling30ydsRTPScore",2011
13,NA,"JP Hayes",56,0.745,51,38,"Scrambling30ydsRTPScore",2011
14,NA,"Webb Simpson",98,0.746,71,53,"Scrambling30ydsRTPScore",2011
14,NA,"Charlie Wi",83,0.746,118,88,"Scrambling30ydsRTPScore",2011
16,NA,"John Merrick",71,0.75,56,42,"Scrambling30ydsRTPScore",2011
16,NA,"Steve Stricker",70,0.75,44,33,"Scrambling30ydsRTPScore",2011
18,NA,"Trevor Immelman",84,0.756,86,65,"Scrambling30ydsRTPScore",2011
19,NA,"Jonathan Byrd",83,0.759,87,66,"Scrambling30ydsRTPScore",2011
19,NA,"Ryan Moore",79,0.759,58,44,"Scrambling30ydsRTPScore",2011
21,NA,"Shaun Micheel",77,0.761,92,70,"Scrambling30ydsRTPScore",2011
22,NA,"Bo Van Pelt",92,0.765,68,52,"Scrambling30ydsRTPScore",2011
23,NA,"Kent Jones",76,0.767,90,69,"Scrambling30ydsRTPScore",2011
24,NA,"Keegan Bradley",91,0.768,95,73,"Scrambling30ydsRTPScore",2011
25,NA,"Brendon de Jonge",105,0.77,87,67,"Scrambling30ydsRTPScore",2011
26,NA,"Jason Dufner",78,0.771,48,37,"Scrambling30ydsRTPScore",2011
27,NA,"Spencer Levin",113,0.774,84,65,"Scrambling30ydsRTPScore",2011
28,NA,"Harrison Frazar",58,0.776,49,38,"Scrambling30ydsRTPScore",2011
28,NA,"Jim Furyk",87,0.776,76,59,"Scrambling30ydsRTPScore",2011
30,NA,"Michael Connell",76,0.778,90,70,"Scrambling30ydsRTPScore",2011
