"SandSavesfrom2030yards_RANKTHISWEEK_2011","SandSavesfrom2030yards_RANKLASTWEEK_2011","SandSavesfrom2030yards_PLAYERNAME_2011","SandSavesfrom2030yards_ROUNDS_2011","SandSavesfrom2030yards_Pct_2011","SandSavesfrom2030yards_OFSAVES_2011","SandSavesfrom2030yards_OFBUNKERS_2011","stat_name","year"
1,1,"Ian Poulter",52,78.57,11,14,"SandSavesfrom2030yards",2011
2,2,"Greg Chalmers",88,68.63,35,51,"SandSavesfrom2030yards",2011
3,3,"David Toms",78,65.63,21,32,"SandSavesfrom2030yards",2011
4,4,"Woody Austin",59,64.71,11,17,"SandSavesfrom2030yards",2011
5,5,"DJ Brigman",67,64.29,18,28,"SandSavesfrom2030yards",2011
6,6,"Brian Gay",90,63.64,21,33,"SandSavesfrom2030yards",2011
6,6,"Boo Weekley",66,63.64,7,11,"SandSavesfrom2030yards",2011
8,8,"Hunter Mahan",92,63.04,29,46,"SandSavesfrom2030yards",2011
9,9,"Matt Kuchar",94,62.16,23,37,"SandSavesfrom2030yards",2011
10,10,"YE Yang",63,61.9,13,21,"SandSavesfrom2030yards",2011
11,11,"Padraig Harrington",60,61.11,11,18,"SandSavesfrom2030yards",2011
12,12,"Bryce Molder",82,60.98,25,41,"SandSavesfrom2030yards",2011
13,13,"Jason Dufner",78,60.71,17,28,"SandSavesfrom2030yards",2011
14,14,"Jarrod Lyle",83,60.61,20,33,"SandSavesfrom2030yards",2011
15,15,"David Mathis",83,60,18,30,"SandSavesfrom2030yards",2011
16,16,"Webb Simpson",98,59.46,22,37,"SandSavesfrom2030yards",2011
17,17,"Justin Rose",79,59.26,16,27,"SandSavesfrom2030yards",2011
18,18,"Angel Cabrera",50,58.82,10,17,"SandSavesfrom2030yards",2011
19,19,"Stephen Ames",69,58.62,17,29,"SandSavesfrom2030yards",2011
20,20,"Shaun Micheel",77,58.33,14,24,"SandSavesfrom2030yards",2011
21,21,"Luke Donald",73,58.06,18,31,"SandSavesfrom2030yards",2011
21,21,"Tim Herron",85,58.06,18,31,"SandSavesfrom2030yards",2011
23,23,"Arjun Atwal",91,57.78,26,45,"SandSavesfrom2030yards",2011
24,24,"Paul Stankowski",78,57.69,15,26,"SandSavesfrom2030yards",2011
25,25,"KJ Choi",77,57.58,19,33,"SandSavesfrom2030yards",2011
25,25,"Chris Riley",76,57.58,19,33,"SandSavesfrom2030yards",2011
27,27,"Robert Karlsson",61,57.14,12,21,"SandSavesfrom2030yards",2011
28,28,"Michael Putnam",67,56.67,17,30,"SandSavesfrom2030yards",2011
29,29,"Alex Cejka",59,56.52,13,23,"SandSavesfrom2030yards",2011
