"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2005","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2005","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2005","AveragePuttingDistanceAll3Plusputts_ROUNDS_2005","AveragePuttingDistanceAll3Plusputts_AVG_2005","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2005","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2005","stat_name","year"
62,62,"Brett Quigley",96,NA,31.083,1,"AveragePuttingDistanceAll3Plusputts",2005
63,63,"Jay Haas",54,NA,30.333,1,"AveragePuttingDistanceAll3Plusputts",2005
64,64,"Sergio Garcia",73,NA,29.833,1,"AveragePuttingDistanceAll3Plusputts",2005
65,65,"Mathias Gronberg",60,NA,29.583,1,"AveragePuttingDistanceAll3Plusputts",2005
66,66,"Peter Lonard",85,NA,58.583,2,"AveragePuttingDistanceAll3Plusputts",2005
67,67,"Stewart Cink",98,NA,29.167,1,"AveragePuttingDistanceAll3Plusputts",2005
68,68,"Scott Hend",75,NA,85.417,3,"AveragePuttingDistanceAll3Plusputts",2005
68,68,"Greg Owen",84,NA,113.833,4,"AveragePuttingDistanceAll3Plusputts",2005
70,70,"Chad Campbell",95,NA,27.5,1,"AveragePuttingDistanceAll3Plusputts",2005
71,71,"Carlos Franco",78,NA,27.083,1,"AveragePuttingDistanceAll3Plusputts",2005
72,72,"Mark Brooks",72,NA,80.833,3,"AveragePuttingDistanceAll3Plusputts",2005
73,73,"Charlie Wi",67,NA,26.75,1,"AveragePuttingDistanceAll3Plusputts",2005
74,74,"Duffy Waldorf",86,NA,25.417,1,"AveragePuttingDistanceAll3Plusputts",2005
75,75,"Jeff Brehaut",71,NA,24.667,1,"AveragePuttingDistanceAll3Plusputts",2005
76,76,"John Huston",90,NA,73.667,3,"AveragePuttingDistanceAll3Plusputts",2005
76,76,"Pat Perez",89,NA,49.167,2,"AveragePuttingDistanceAll3Plusputts",2005
78,78,"Jerry Kelly",101,NA,23.417,1,"AveragePuttingDistanceAll3Plusputts",2005
79,79,"Mark Calcavecchia",92,NA,23.167,1,"AveragePuttingDistanceAll3Plusputts",2005
