"FedExCupPointsperEventLeaders_RANKTHISWEEK_2014","FedExCupPointsperEventLeaders_RANKLASTWEEK_2014","FedExCupPointsperEventLeaders_PLAYERNAME_2014","FedExCupPointsperEventLeaders_EVENTS_2014","FedExCupPointsperEventLeaders_POINTSPEREVENT_2014","FedExCupPointsperEventLeaders_TOTALPOINTS_2014","stat_name","year"
1,1,"Rory McIlroy",13,198.643,2582.363,"FedExCupPointsperEventLeaders",2014
2,2,"Sergio Garcia",13,130.776,1700.083,"FedExCupPointsperEventLeaders",2014
3,3,"Bubba Watson",17,127.799,2172.583,"FedExCupPointsperEventLeaders",2014
4,4,"Adam Scott",13,113.795,1479.334,"FedExCupPointsperEventLeaders",2014
5,5,"Jim Furyk",17,108.866,1850.717,"FedExCupPointsperEventLeaders",2014
6,6,"Jimmy Walker",23,108.371,2492.53,"FedExCupPointsperEventLeaders",2014
7,7,"Dustin Johnson",17,104.032,1768.55,"FedExCupPointsperEventLeaders",2014
8,8,"Martin Kaymer",15,101.656,1524.833,"FedExCupPointsperEventLeaders",2014
9,9,"Matt Kuchar",20,96.032,1920.633,"FedExCupPointsperEventLeaders",2014
10,10,"Jason Day",11,93.459,1028.05,"FedExCupPointsperEventLeaders",2014
11,11,"Justin Rose",16,90.424,1446.78,"FedExCupPointsperEventLeaders",2014
12,12,"Bernhard Langer",1,80.167,80.167,"FedExCupPointsperEventLeaders",2014
13,13,"Jordan Spieth",23,73.562,1691.916,"FedExCupPointsperEventLeaders",2014
14,14,"Webb Simpson",21,73.13,1535.72,"FedExCupPointsperEventLeaders",2014
15,15,"Zach Johnson",22,70.561,1552.35,"FedExCupPointsperEventLeaders",2014
16,16,"Patrick Reed",24,69.412,1665.896,"FedExCupPointsperEventLeaders",2014
17,17,"Ryan Moore",21,68.047,1428.98,"FedExCupPointsperEventLeaders",2014
18,18,"Rickie Fowler",22,66.883,1471.423,"FedExCupPointsperEventLeaders",2014
19,19,"Chris Kirk",24,65.471,1571.297,"FedExCupPointsperEventLeaders",2014
