"OverallPuttingAverage_RANKTHISWEEK_2009","OverallPuttingAverage_RANKLASTWEEK_2009","OverallPuttingAverage_PLAYERNAME_2009","OverallPuttingAverage_ROUNDS_2009","OverallPuttingAverage_AVG_2009","OverallPuttingAverage_OFPUTTS_2009","OverallPuttingAverage_OFHOLES_2009","stat_name","year"
1,1,"Jason Day",61,1.368,1502,1098,"OverallPuttingAverage",2009
2,2,"Mark Brooks",55,1.372,1358,990,"OverallPuttingAverage",2009
3,3,"Patrick Sheehan",51,1.378,1265,918,"OverallPuttingAverage",2009
4,4,"Scott Sterling",51,1.38,1267,918,"OverallPuttingAverage",2009
5,5,"Corey Pavin",73,1.413,1857,1314,"OverallPuttingAverage",2009
6,6,"Bryce Molder",69,1.42,1764,1242,"OverallPuttingAverage",2009
7,7,"Kevin Stadler",65,1.425,1667,1170,"OverallPuttingAverage",2009
8,8,"Greg Chalmers",85,1.431,2190,1530,"OverallPuttingAverage",2009
9,9,"Jarrod Lyle",65,1.436,1680,1170,"OverallPuttingAverage",2009
10,10,"Matt Jones",56,1.438,1449,1008,"OverallPuttingAverage",2009
11,11,"Tag Ridings",50,1.439,1295,900,"OverallPuttingAverage",2009
12,12,"Jerry Kelly",90,1.446,2343,1620,"OverallPuttingAverage",2009
12,12,"Matt Weibring",65,1.446,1692,1170,"OverallPuttingAverage",2009
14,14,"Colt Knost",71,1.448,1850,1278,"OverallPuttingAverage",2009
15,15,"Chris Riley",77,1.452,2013,1386,"OverallPuttingAverage",2009
16,16,"Kent Jones",73,1.458,1916,1314,"OverallPuttingAverage",2009
17,17,"Derek Fathauer",63,1.46,1656,1134,"OverallPuttingAverage",2009
18,18,"Lee Janzen",74,1.461,1946,1332,"OverallPuttingAverage",2009
19,19,"Joe Durant",62,1.463,1633,1116,"OverallPuttingAverage",2009
20,20,"Casey Wittenberg",71,1.464,1871,1278,"OverallPuttingAverage",2009
21,21,"Kris Blanks",60,1.465,1582,1080,"OverallPuttingAverage",2009
22,22,"Jimmy Walker",74,1.468,1955,1332,"OverallPuttingAverage",2009
23,23,"Bo Van Pelt",100,1.469,2645,1800,"OverallPuttingAverage",2009
24,24,"Bob Heintz",59,1.472,1563,1062,"OverallPuttingAverage",2009
25,25,"David Mathis",82,1.476,2179,1476,"OverallPuttingAverage",2009
25,25,"Rick Price",54,1.476,1435,972,"OverallPuttingAverage",2009
27,27,"John Merrick",91,1.477,2420,1638,"OverallPuttingAverage",2009
28,28,"Glen Day",79,1.48,2105,1422,"OverallPuttingAverage",2009
29,29,"Rich Beem",77,1.481,2052,1386,"OverallPuttingAverage",2009
30,30,"Leif Olson",51,1.485,1363,918,"OverallPuttingAverage",2009
31,31,"Cliff Kresge",78,1.486,2086,1404,"OverallPuttingAverage",2009
31,31,"Brett Quigley",92,1.486,2461,1656,"OverallPuttingAverage",2009
33,33,"Gary Woodland",53,1.487,1419,954,"OverallPuttingAverage",2009
34,34,"Ricky Barnes",67,1.488,1794,1206,"OverallPuttingAverage",2009
35,35,"Jay Williamson",69,1.489,1849,1242,"OverallPuttingAverage",2009
36,36,"Charles Warren",63,1.491,1691,1134,"OverallPuttingAverage",2009
37,37,"Charles Howell III",99,1.494,2662,1782,"OverallPuttingAverage",2009
38,38,"Brian Gay",96,1.497,2586,1728,"OverallPuttingAverage",2009
38,38,"Aron Price",89,1.497,2398,1602,"OverallPuttingAverage",2009
38,38,"Brian Vranesh",51,1.497,1374,918,"OverallPuttingAverage",2009
41,41,"Eric Axley",71,1.499,1916,1278,"OverallPuttingAverage",2009
42,42,"Ted Purdy",101,1.502,2730,1818,"OverallPuttingAverage",2009
43,43,"Peter Tomasulo",61,1.509,1657,1098,"OverallPuttingAverage",2009
44,44,"Kevin Na",91,1.51,2473,1638,"OverallPuttingAverage",2009
44,44,"Dean Wilson",81,1.51,2202,1458,"OverallPuttingAverage",2009
46,46,"Bart Bryant",58,1.512,1579,1044,"OverallPuttingAverage",2009
46,46,"Brandt Snedeker",81,1.512,2205,1458,"OverallPuttingAverage",2009
48,48,"Jeff Overton",92,1.518,2514,1656,"OverallPuttingAverage",2009
49,49,"Darron Stiles",52,1.519,1422,936,"OverallPuttingAverage",2009
50,50,"Alex Cejka",82,1.52,2243,1476,"OverallPuttingAverage",2009
50,50,"Vaughn Taylor",88,1.52,2408,1584,"OverallPuttingAverage",2009
52,52,"Joe Ogilvie",85,1.524,2332,1530,"OverallPuttingAverage",2009
53,53,"Michael Letzig",96,1.525,2635,1728,"OverallPuttingAverage",2009
54,54,"Chris DiMarco",97,1.527,2666,1746,"OverallPuttingAverage",2009
54,54,"Ryan Moore",89,1.527,2446,1602,"OverallPuttingAverage",2009
54,54,"James Nitties",86,1.527,2364,1548,"OverallPuttingAverage",2009
57,57,"Harrison Frazar",93,1.528,2558,1674,"OverallPuttingAverage",2009
57,57,"John Mallinger",90,1.528,2476,1620,"OverallPuttingAverage",2009
59,59,"Spencer Levin",75,1.531,2067,1350,"OverallPuttingAverage",2009
60,60,"DA Points",99,1.532,2730,1782,"OverallPuttingAverage",2009
60,60,"Scott Verplank",88,1.532,2427,1584,"OverallPuttingAverage",2009
62,62,"Greg Owen",97,1.533,2676,1746,"OverallPuttingAverage",2009
63,63,"Brian Davis",103,1.534,2844,1854,"OverallPuttingAverage",2009
63,63,"Greg Kraft",51,1.534,1408,918,"OverallPuttingAverage",2009
65,65,"Jason Dufner",90,1.538,2492,1620,"OverallPuttingAverage",2009
65,65,"Jason Gore",74,1.538,2049,1332,"OverallPuttingAverage",2009
67,67,"Nathan Green",104,1.539,2881,1872,"OverallPuttingAverage",2009
68,68,"Mark Wilson",99,1.54,2745,1782,"OverallPuttingAverage",2009
69,69,"John Rollins",92,1.543,2555,1656,"OverallPuttingAverage",2009
70,70,"Michael Allen",73,1.544,2029,1314,"OverallPuttingAverage",2009
70,70,"Freddie Jacobson",83,1.544,2307,1494,"OverallPuttingAverage",2009
70,70,"David Toms",98,1.544,2723,1764,"OverallPuttingAverage",2009
70,70,"YE Yang",83,1.544,2306,1494,"OverallPuttingAverage",2009
74,74,"Nick OHern",90,1.548,2508,1620,"OverallPuttingAverage",2009
74,74,"Scott Piercy",85,1.548,2369,1530,"OverallPuttingAverage",2009
76,76,"Bill Haas",91,1.549,2538,1638,"OverallPuttingAverage",2009
76,76,"Chez Reavie",81,1.549,2259,1458,"OverallPuttingAverage",2009
78,78,"Cameron Beckman",87,1.55,2428,1566,"OverallPuttingAverage",2009
79,79,"George McNeill",82,1.553,2292,1476,"OverallPuttingAverage",2009
80,80,"Chad Campbell",90,1.556,2520,1620,"OverallPuttingAverage",2009
80,80,"Brad Faxon",59,1.556,1652,1062,"OverallPuttingAverage",2009
80,80,"Steve Marino",98,1.556,2744,1764,"OverallPuttingAverage",2009
83,83,"Brad Adamonis",70,1.559,1964,1260,"OverallPuttingAverage",2009
84,84,"Marc Leishman",91,1.56,2556,1638,"OverallPuttingAverage",2009
85,85,"Aaron Baddeley",66,1.561,1826,1170,"OverallPuttingAverage",2009
85,85,"Luke Donald",79,1.561,2136,1368,"OverallPuttingAverage",2009
87,87,"Kevin Streelman",97,1.564,2731,1746,"OverallPuttingAverage",2009
88,88,"Troy Matteson",95,1.565,2677,1710,"OverallPuttingAverage",2009
88,88,"Rocco Mediate",79,1.565,2226,1422,"OverallPuttingAverage",2009
88,88,"Ian Poulter",59,1.565,1578,1008,"OverallPuttingAverage",2009
88,88,"Heath Slocum",95,1.565,2677,1710,"OverallPuttingAverage",2009
92,92,"Tim Petrovic",97,1.566,2735,1746,"OverallPuttingAverage",2009
93,93,"Brendon de Jonge",90,1.567,2538,1620,"OverallPuttingAverage",2009
93,93,"Webb Simpson",94,1.567,2652,1692,"OverallPuttingAverage",2009
95,95,"Jim Furyk",86,1.569,2344,1494,"OverallPuttingAverage",2009
95,95,"Steve Stricker",81,1.569,2231,1422,"OverallPuttingAverage",2009
97,97,"Robert Garrigus",83,1.57,2345,1494,"OverallPuttingAverage",2009
98,98,"Jonathan Byrd",89,1.571,2516,1602,"OverallPuttingAverage",2009
98,98,"Chris Stroud",88,1.571,2489,1584,"OverallPuttingAverage",2009
100,100,"Paul Goydos",79,1.572,2236,1422,"OverallPuttingAverage",2009
100,100,"Padraig Harrington",66,1.572,1839,1170,"OverallPuttingAverage",2009
100,100,"Peter Lonard",86,1.572,2434,1548,"OverallPuttingAverage",2009
103,103,"Parker McLachlin",71,1.574,2012,1278,"OverallPuttingAverage",2009
104,104,"Briny Baird",89,1.575,2523,1602,"OverallPuttingAverage",2009
104,104,"Matt Kuchar",82,1.575,2324,1476,"OverallPuttingAverage",2009
