"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2012","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2012","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2012","FedExCupSeasonPointsforNonMembers_EVENTS_2012","FedExCupSeasonPointsforNonMembers_POINTS_2012","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2012","stat_name","year"
66,66,"Esteban Toledo",1,18,NA,"FedExCupSeasonPointsforNonMembers",2012
70,70,"Derek Tolan",1,17,NA,"FedExCupSeasonPointsforNonMembers",2012
71,71,"Doug LaBelle II",1,15,NA,"FedExCupSeasonPointsforNonMembers",2012
72,72,"Jeff Curl",3,14,NA,"FedExCupSeasonPointsforNonMembers",2012
73,73,"Bernd Wiesberger",2,14,14,"FedExCupSeasonPointsforNonMembers",2012
74,74,"Jbe Kruger",2,14,14,"FedExCupSeasonPointsforNonMembers",2012
75,75,"Emiliano Grillo",1,13,NA,"FedExCupSeasonPointsforNonMembers",2012
76,76,"Edoardo Molinari",1,13,NA,"FedExCupSeasonPointsforNonMembers",2012
77,77,"Kelly Kraft",9,12,NA,"FedExCupSeasonPointsforNonMembers",2012
78,78,"Tadahiro Takayama",4,10,9,"FedExCupSeasonPointsforNonMembers",2012
79,79,"Jaebum Park",1,10,NA,"FedExCupSeasonPointsforNonMembers",2012
79,79,"Darron Stiles",1,10,NA,"FedExCupSeasonPointsforNonMembers",2012
79,79,"Dale Whitnell",1,10,NA,"FedExCupSeasonPointsforNonMembers",2012
82,82,"Koumei Oda",2,9,NA,"FedExCupSeasonPointsforNonMembers",2012
83,83,"John Riegger",1,7,NA,"FedExCupSeasonPointsforNonMembers",2012
84,84,"Jose de Jesus Rodriguez",1,7,NA,"FedExCupSeasonPointsforNonMembers",2012
85,85,"Marc Warren",1,6,NA,"FedExCupSeasonPointsforNonMembers",2012
86,86,"Jeev Milkha Singh",3,5,4,"FedExCupSeasonPointsforNonMembers",2012
87,87,"Brandon Brown",1,5,NA,"FedExCupSeasonPointsforNonMembers",2012
88,88,"Toshinori Muto",3,4,4,"FedExCupSeasonPointsforNonMembers",2012
89,89,"Toru Taniguchi",4,3,NA,"FedExCupSeasonPointsforNonMembers",2012
90,90,"Jake Sarnoff",1,2,NA,"FedExCupSeasonPointsforNonMembers",2012
91,91,"Adilson da Silva",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
92,92,"Tetsuji Hiratsuka",1,1,1,"FedExCupSeasonPointsforNonMembers",2012
93,93,"Sam Saunders",4,1,NA,"FedExCupSeasonPointsforNonMembers",2012
94,94,"Mathias Gronberg",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
95,95,"Ben Kohles",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
96,96,"Michael Hoey",3,1,1,"FedExCupSeasonPointsforNonMembers",2012
97,97,"Alex Aragon",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
98,98,"Brendan Jones",3,1,NA,"FedExCupSeasonPointsforNonMembers",2012
98,98,"Tom Lewis",2,1,1,"FedExCupSeasonPointsforNonMembers",2012
100,100,"Oliver Bekker",1,1,1,"FedExCupSeasonPointsforNonMembers",2012
101,101,"Matt Hill",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
102,102,"Jonathan Fly",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
103,103,"Warren Bennett",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
103,103,"Thongchai Jaidee",3,1,NA,"FedExCupSeasonPointsforNonMembers",2012
105,105,"Diego Velasquez",1,1,NA,"FedExCupSeasonPointsforNonMembers",2012
106,106,"Scott Smith",2,1,NA,"FedExCupSeasonPointsforNonMembers",2012
