"BonusPutting_RANKTHISWEEK_2015","BonusPutting_RANKLASTWEEK_2015","BonusPutting_PLAYERNAME_2015","BonusPutting_ROUNDS_2015","BonusPutting_VALUE_2015","BonusPutting_ATTEMPTS_2015","BonusPutting_TOTMADE20_2015","BonusPutting_TOTMADE_2015","stat_name","year"
1,1,"Jason Day",75,102.51,798,38,780,"BonusPutting",2015
2,2,"Henrik Stenson",63,102.36,594,26,582,"BonusPutting",2015
3,3,"Pat Perez",96,101.83,1146,50,1117,"BonusPutting",2015
4,4,"Matt Kuchar",97,101.77,1071,36,1054,"BonusPutting",2015
5,5,"Will Wilcox",58,101.72,583,24,569,"BonusPutting",2015
6,6,"Lee Westwood",56,101.63,429,21,415,"BonusPutting",2015
7,7,"Daniel Summerhays",101,101.55,1222,47,1194,"BonusPutting",2015
8,8,"Ben Martin",93,101.3,1078,41,1051,"BonusPutting",2015
9,9,"Brooks Koepka",84,101.26,870,37,844,"BonusPutting",2015
10,10,"Greg Chalmers",58,101.21,495,19,482,"BonusPutting",2015
10,10,"Erik Compton",86,101.21,989,29,972,"BonusPutting",2015
12,12,"Cameron Percy",72,101.19,840,30,820,"BonusPutting",2015
13,13,"Sean OHair",86,101.15,1134,45,1102,"BonusPutting",2015
14,14,"David Toms",62,101.13,793,28,774,"BonusPutting",2015
15,15,"Russell Henley",87,101.08,926,37,899,"BonusPutting",2015
16,16,"Andres Romero",69,101.07,749,28,729,"BonusPutting",2015
17,17,"Steve Wheatcroft",87,101.01,989,40,959,"BonusPutting",2015
18,18,"Billy Horschel",99,100.96,1043,44,1009,"BonusPutting",2015
19,19,"Andrew Putnam",68,100.93,754,27,734,"BonusPutting",2015
20,20,"Luke Donald",71,100.92,760,32,735,"BonusPutting",2015
21,21,"Brandt Snedeker",98,100.89,1014,37,986,"BonusPutting",2015
21,21,"Jordan Spieth",91,100.89,899,38,869,"BonusPutting",2015
23,23,"Phil Mickelson",70,100.81,745,24,727,"BonusPutting",2015
23,23,"Jimmy Walker",89,100.81,868,29,846,"BonusPutting",2015
25,25,"Scott Pinckney",88,100.78,1031,38,1001,"BonusPutting",2015
26,26,"Harris English",105,100.75,1198,37,1170,"BonusPutting",2015
26,26,"Rickie Fowler",76,100.75,795,22,779,"BonusPutting",2015
28,28,"Johnson Wagner",68,100.74,813,27,792,"BonusPutting",2015
29,29,"Jonas Blixt",78,100.68,740,27,718,"BonusPutting",2015
29,29,"Kevin Kisner",104,100.68,1314,36,1287,"BonusPutting",2015
31,31,"Zac Blair",108,100.65,1230,45,1193,"BonusPutting",2015
32,32,"Matt Jones",89,100.64,944,40,910,"BonusPutting",2015
33,33,"Patrick Reed",103,100.57,1044,38,1012,"BonusPutting",2015
34,34,"Steven Bowditch",103,100.56,1246,48,1205,"BonusPutting",2015
35,35,"Bo Van Pelt",81,100.55,917,30,892,"BonusPutting",2015
36,36,"Troy Merritt",91,100.53,1123,39,1090,"BonusPutting",2015
37,37,"David Hearn",97,100.52,1154,34,1126,"BonusPutting",2015
38,38,"Hideki Matsuyama",95,100.51,977,31,951,"BonusPutting",2015
39,39,"Colt Knost",90,100.48,1049,37,1017,"BonusPutting",2015
40,40,"Kevin Streelman",95,100.47,1060,33,1032,"BonusPutting",2015
40,40,"Brendon Todd",96,100.47,1061,32,1034,"BonusPutting",2015
42,42,"Paul Casey",87,100.46,879,31,852,"BonusPutting",2015
43,43,"Jason Bohn",95,100.41,1221,38,1188,"BonusPutting",2015
