"TotalDistanceEfficiency_RANKTHISWEEK_2013","TotalDistanceEfficiency_RANKLASTWEEK_2013","TotalDistanceEfficiency_PLAYERNAME_2013","TotalDistanceEfficiency_ROUNDS_2013","TotalDistanceEfficiency_AVG_2013","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2013","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2013","TotalDistanceEfficiency_TOTALATTEMPTS_2013","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2013","stat_name","year"
1,1,"Tim Clark",64,2.644,276.51,104.584,45,2.936,"TotalDistanceEfficiency",2013
2,2,"Peter Hanson",45,2.636,298.346,113.175,34,3.015,"TotalDistanceEfficiency",2013
3,3,"Steve Stricker",51,2.624,291.463,111.056,35,3.094,"TotalDistanceEfficiency",2013
4,4,"Justin Rose",62,2.622,301.955,115.154,40,2.89,"TotalDistanceEfficiency",2013
5,5,"Jeff Maggert",63,2.615,275.84,105.488,59,3.174,"TotalDistanceEfficiency",2013
5,5,"Vaughn Taylor",50,2.615,288.13,110.174,39,3.149,"TotalDistanceEfficiency",2013
7,7,"Billy Horschel",96,2.613,295.447,113.082,79,2.986,"TotalDistanceEfficiency",2013
8,8,"Brian Davis",91,2.611,280.357,107.355,87,3,"TotalDistanceEfficiency",2013
8,8,"Darron Stiles",51,2.611,273.88,104.891,40,3.056,"TotalDistanceEfficiency",2013
8,8,"Mark Wilson",56,2.611,280.382,107.369,51,3.039,"TotalDistanceEfficiency",2013
11,11,"Chez Reavie",72,2.609,281.455,107.861,73,3.049,"TotalDistanceEfficiency",2013
12,12,"Ian Poulter",59,2.603,292.184,112.259,36,2.926,"TotalDistanceEfficiency",2013
13,13,"David Lynn",70,2.602,281.067,108.021,56,3.084,"TotalDistanceEfficiency",2013
14,14,"Nicholas Thompson",99,2.599,294.214,113.218,87,3.117,"TotalDistanceEfficiency",2013
15,15,"Ernie Els",63,2.596,290.157,111.791,45,2.88,"TotalDistanceEfficiency",2013
15,15,"Morgan Hoffmann",64,2.596,296.281,114.122,53,2.979,"TotalDistanceEfficiency",2013
