"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2015","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2015","ApproachesLeftRoughRTPScore_PLAYERNAME_2015","ApproachesLeftRoughRTPScore_ROUNDS_2015","ApproachesLeftRoughRTPScore_AVGRTP_2015","stat_name","year"
1,1,"Ryan Palmer",80,-0.055,"ApproachesLeftRoughRTPScore",2015
2,2,"Martin Flores",95,-0.042,"ApproachesLeftRoughRTPScore",2015
3,3,"Charles Howell III",105,-0.02,"ApproachesLeftRoughRTPScore",2015
4,4,"Jim Furyk",71,-0.016,"ApproachesLeftRoughRTPScore",2015
4,4,"Brooks Koepka",84,-0.016,"ApproachesLeftRoughRTPScore",2015
6,6,"Jason Day",75,-0.015,"ApproachesLeftRoughRTPScore",2015
7,7,"Tony Finau",106,-0.006,"ApproachesLeftRoughRTPScore",2015
8,8,"Kevin Na",98,0.007,"ApproachesLeftRoughRTPScore",2015
9,9,"Bubba Watson",71,0.008,"ApproachesLeftRoughRTPScore",2015
10,10,"James Hahn",94,0.009,"ApproachesLeftRoughRTPScore",2015
11,11,"Louis Oosthuizen",68,0.011,"ApproachesLeftRoughRTPScore",2015
12,12,"Patrick Reed",103,0.013,"ApproachesLeftRoughRTPScore",2015
13,13,"Daniel Berger",97,0.017,"ApproachesLeftRoughRTPScore",2015
14,14,"Bill Haas",89,0.018,"ApproachesLeftRoughRTPScore",2015
15,15,"Kevin Streelman",95,0.02,"ApproachesLeftRoughRTPScore",2015
16,16,"Paul Casey",87,0.022,"ApproachesLeftRoughRTPScore",2015
17,17,"George McNeill",93,0.024,"ApproachesLeftRoughRTPScore",2015
18,18,"Kyle Reifers",96,0.025,"ApproachesLeftRoughRTPScore",2015
19,19,"David Hearn",97,0.026,"ApproachesLeftRoughRTPScore",2015
19,19,"Henrik Stenson",63,0.026,"ApproachesLeftRoughRTPScore",2015
21,21,"Alex Cejka",94,0.028,"ApproachesLeftRoughRTPScore",2015
22,22,"Harris English",105,0.032,"ApproachesLeftRoughRTPScore",2015
23,23,"Rickie Fowler",76,0.033,"ApproachesLeftRoughRTPScore",2015
24,24,"Matt Jones",89,0.034,"ApproachesLeftRoughRTPScore",2015
