"ScoringAverageActual_RANKTHISWEEK_2005","ScoringAverageActual_RANKLASTWEEK_2005","ScoringAverageActual_PLAYERNAME_2005","ScoringAverageActual_ROUNDS_2005","ScoringAverageActual_AVG_2005","ScoringAverageActual_TOTALSTROKES_2005","ScoringAverageActual_TOTALROUNDS_2005","stat_name","year"
159,159,"Paul Gow",78,71.65,5302,74,"ScoringAverageActual",2005
160,160,"Paul Claxton",79,71.66,5661,79,"ScoringAverageActual",2005
161,161,"Justin Bolli",65,71.7,4517,63,"ScoringAverageActual",2005
162,162,"Tom Gillis",77,71.71,5378,75,"ScoringAverageActual",2005
162,162,"Michael Long",72,71.71,5020,70,"ScoringAverageActual",2005
164,164,"Steve Allan",102,71.72,7029,98,"ScoringAverageActual",2005
164,164,"Shaun Micheel",81,71.72,5666,79,"ScoringAverageActual",2005
166,166,"Todd Hamilton",94,71.79,6533,91,"ScoringAverageActual",2005
166,166,"Mark Hensby",70,71.79,4882,68,"ScoringAverageActual",2005
168,168,"Mike Weir",71,71.8,4739,66,"ScoringAverageActual",2005
169,169,"John Daly",78,71.83,5459,76,"ScoringAverageActual",2005
169,169,"Franklin Langham",91,71.83,6249,87,"ScoringAverageActual",2005
169,169,"Lee Westwood",50,71.83,3448,48,"ScoringAverageActual",2005
172,172,"Paul Azinger",66,71.86,4743,66,"ScoringAverageActual",2005
173,173,"Chris Anderson",66,71.87,4456,62,"ScoringAverageActual",2005
174,174,"Andrew Magee",82,71.88,5607,78,"ScoringAverageActual",2005
175,175,"Bill Glasson",54,71.9,3739,52,"ScoringAverageActual",2005
175,175,"Jay Haas",54,71.9,3667,51,"ScoringAverageActual",2005
177,177,"Jeff Hart",63,71.92,4387,61,"ScoringAverageActual",2005
178,178,"Skip Kendall",80,71.96,5613,78,"ScoringAverageActual",2005
179,179,"Jose Coceres",56,72,3888,54,"ScoringAverageActual",2005
179,179,"Steve Flesch",90,72,6120,85,"ScoringAverageActual",2005
181,181,"Bradley Hughes",52,72.04,3746,52,"ScoringAverageActual",2005
182,182,"Hank Kuehne",84,72.08,5766,80,"ScoringAverageActual",2005
183,183,"Ian Poulter",62,72.09,4037,56,"ScoringAverageActual",2005
184,184,"Danny Briggs",70,72.13,4905,68,"ScoringAverageActual",2005
185,185,"DJ Brigman",76,72.14,5194,72,"ScoringAverageActual",2005
186,186,"Mark Brooks",72,72.17,5196,72,"ScoringAverageActual",2005
186,186,"Mark OMeara",66,72.17,4763,66,"ScoringAverageActual",2005
188,188,"Rich Beem",66,72.32,4484,62,"ScoringAverageActual",2005
189,189,"Steve Jones",56,72.37,3908,54,"ScoringAverageActual",2005
189,189,"Rob Rashell",65,72.37,4704,65,"ScoringAverageActual",2005
191,191,"Jim Carter",62,72.38,4343,60,"ScoringAverageActual",2005
191,191,"Matt Davidson",53,72.38,3836,53,"ScoringAverageActual",2005
193,193,"Dennis Paulson",63,72.41,4562,63,"ScoringAverageActual",2005
194,194,"Scott Hend",75,72.45,5289,73,"ScoringAverageActual",2005
194,194,"Chris Riley",67,72.45,4637,64,"ScoringAverageActual",2005
196,196,"Hideto Tanihara",50,72.5,3480,48,"ScoringAverageActual",2005
197,197,"Jason Allred",75,72.53,5295,73,"ScoringAverageActual",2005
198,198,"John Elliott",58,72.59,4065,56,"ScoringAverageActual",2005
199,199,"Ben Curtis",65,72.63,4721,65,"ScoringAverageActual",2005
200,200,"Len Mattiace",86,72.79,6114,84,"ScoringAverageActual",2005
201,201,"Thomas Levet",54,72.89,3863,53,"ScoringAverageActual",2005
201,201,"Craig Perks",67,72.89,4738,65,"ScoringAverageActual",2005
