"FairwayApproachRTPScore_RANKTHISWEEK_2010","FairwayApproachRTPScore_RANKLASTWEEK_2010","FairwayApproachRTPScore_PLAYERNAME_2010","FairwayApproachRTPScore_ROUNDS_2010","FairwayApproachRTPScore_AVGRTP_2010","stat_name","year"
1,1,"Matt Kuchar",97,-0.161,"FairwayApproachRTPScore",2010
2,2,"Paul Casey",64,-0.16,"FairwayApproachRTPScore",2010
3,3,"Steve Stricker",73,-0.154,"FairwayApproachRTPScore",2010
4,4,"Retief Goosen",75,-0.137,"FairwayApproachRTPScore",2010
5,5,"Phil Mickelson",76,-0.13,"FairwayApproachRTPScore",2010
6,6,"Kevin Na",94,-0.129,"FairwayApproachRTPScore",2010
7,7,"Charley Hoffman",85,-0.128,"FairwayApproachRTPScore",2010
8,8,"Jim Furyk",76,-0.126,"FairwayApproachRTPScore",2010
9,9,"Zach Johnson",93,-0.125,"FairwayApproachRTPScore",2010
9,9,"Bo Van Pelt",104,-0.125,"FairwayApproachRTPScore",2010
11,11,"Aron Price",70,-0.124,"FairwayApproachRTPScore",2010
12,12,"Dustin Johnson",83,-0.121,"FairwayApproachRTPScore",2010
13,13,"Chris Riley",73,-0.12,"FairwayApproachRTPScore",2010
14,14,"Ernie Els",72,-0.119,"FairwayApproachRTPScore",2010
14,14,"Steve Marino",81,-0.119,"FairwayApproachRTPScore",2010
16,16,"Luke Donald",71,-0.118,"FairwayApproachRTPScore",2010
17,17,"Freddie Jacobson",83,-0.117,"FairwayApproachRTPScore",2010
17,17,"Paul Stankowski",62,-0.117,"FairwayApproachRTPScore",2010
19,19,"Pat Perez",90,-0.116,"FairwayApproachRTPScore",2010
20,20,"Robert Allenby",76,-0.113,"FairwayApproachRTPScore",2010
20,20,"Geoff Ogilvy",62,-0.113,"FairwayApproachRTPScore",2010
22,22,"Scott Piercy",88,-0.112,"FairwayApproachRTPScore",2010
22,22,"Ian Poulter",55,-0.112,"FairwayApproachRTPScore",2010
24,24,"Charles Howell III",103,-0.111,"FairwayApproachRTPScore",2010
24,24,"John Senden",103,-0.111,"FairwayApproachRTPScore",2010
26,26,"Brendon de Jonge",114,-0.11,"FairwayApproachRTPScore",2010
26,26,"Jeff Overton",89,-0.11,"FairwayApproachRTPScore",2010
28,28,"Lucas Glover",75,-0.108,"FairwayApproachRTPScore",2010
28,28,"David Toms",86,-0.108,"FairwayApproachRTPScore",2010
30,30,"Ryan Moore",80,-0.107,"FairwayApproachRTPScore",2010
30,30,"Nick Watney",91,-0.107,"FairwayApproachRTPScore",2010
32,32,"Rickie Fowler",98,-0.106,"FairwayApproachRTPScore",2010
33,33,"Ricky Barnes",103,-0.104,"FairwayApproachRTPScore",2010
34,34,"Stephen Ames",75,-0.103,"FairwayApproachRTPScore",2010
35,35,"Shaun Micheel",70,-0.102,"FairwayApproachRTPScore",2010
35,35,"Dean Wilson",54,-0.102,"FairwayApproachRTPScore",2010
37,37,"Greg Chalmers",93,-0.101,"FairwayApproachRTPScore",2010
37,37,"Stewart Cink",84,-0.101,"FairwayApproachRTPScore",2010
37,37,"Bill Haas",87,-0.101,"FairwayApproachRTPScore",2010
37,37,"Kenny Perry",69,-0.101,"FairwayApproachRTPScore",2010
41,41,"Joe Durant",67,-0.1,"FairwayApproachRTPScore",2010
42,42,"Spencer Levin",110,-0.099,"FairwayApproachRTPScore",2010
42,42,"John Rollins",81,-0.099,"FairwayApproachRTPScore",2010
44,44,"Chad Campbell",95,-0.098,"FairwayApproachRTPScore",2010
44,44,"Ryan Palmer",84,-0.098,"FairwayApproachRTPScore",2010
46,46,"KJ Choi",82,-0.097,"FairwayApproachRTPScore",2010
46,46,"Ben Crane",85,-0.097,"FairwayApproachRTPScore",2010
46,46,"Tom Gillis",97,-0.097,"FairwayApproachRTPScore",2010
46,46,"Matt Jones",89,-0.097,"FairwayApproachRTPScore",2010
46,46,"Hunter Mahan",85,-0.097,"FairwayApproachRTPScore",2010
51,51,"Jason Day",82,-0.096,"FairwayApproachRTPScore",2010
52,52,"Chris Couch",66,-0.095,"FairwayApproachRTPScore",2010
52,52,"JB Holmes",100,-0.095,"FairwayApproachRTPScore",2010
52,52,"Charles Warren",64,-0.095,"FairwayApproachRTPScore",2010
