"BirdieAverage_RANKTHISWEEK_2013","BirdieAverage_RANKLASTWEEK_2013","BirdieAverage_PLAYERNAME_2013","BirdieAverage_ROUNDS_2013","BirdieAverage_AVG_2013","BirdieAverage_OFBIRDIES_2013","BirdieAverage_TOTALROUNDS_2013","stat_name","year"
164,164,"Darron Stiles",51,3.02,148,49,"BirdieAverage",2013
167,167,"Robert Allenby",58,3,168,56,"BirdieAverage",2013
167,167,"Ben Curtis",59,3,171,57,"BirdieAverage",2013
169,169,"Sean OHair",56,2.98,167,56,"BirdieAverage",2013
169,169,"Lee Williams",62,2.98,179,60,"BirdieAverage",2013
169,169,"Mark Wilson",56,2.98,155,52,"BirdieAverage",2013
172,172,"Tom Gillis",69,2.97,193,65,"BirdieAverage",2013
172,172,"Vijay Singh",61,2.97,181,61,"BirdieAverage",2013
174,174,"Padraig Harrington",52,2.96,145,49,"BirdieAverage",2013
175,175,"Nicolas Colsaerts",50,2.89,136,47,"BirdieAverage",2013
175,175,"Michael Thompson",66,2.89,191,66,"BirdieAverage",2013
177,177,"Casey Wittenberg",72,2.84,199,70,"BirdieAverage",2013
178,178,"Johnson Wagner",64,2.83,170,60,"BirdieAverage",2013
179,179,"Trevor Immelman",73,2.81,194,69,"BirdieAverage",2013
180,180,"Bobby Gates",49,2.8,126,45,"BirdieAverage",2013
