"Total1PuttsInside5_RANKTHISWEEK_2013","Total1PuttsInside5_RANKLASTWEEK_2013","Total1PuttsInside5_PLAYERNAME_2013","Total1PuttsInside5_ROUNDS_2013","Total1PuttsInside5_TOTAL_2013","Total1PuttsInside5_TOTALFORALLDISTANCES_2013","Total1PuttsInside5_PCTOFALL1PUTTS_2013","stat_name","year"
103,103,"Mike Weir",60,206,373,55.2,"Total1PuttsInside5",2013
105,105,"Bud Cauley",67,205,373,55,"Total1PuttsInside5",2013
106,106,"DH Lee",65,204,397,51.4,"Total1PuttsInside5",2013
106,106,"Lee Williams",62,204,360,56.7,"Total1PuttsInside5",2013
108,108,"Henrik Norlander",70,203,392,51.8,"Total1PuttsInside5",2013
108,108,"John Senden",79,203,392,51.8,"Total1PuttsInside5",2013
110,110,"Cameron Percy",68,202,395,51.1,"Total1PuttsInside5",2013
111,111,"Justin Hicks",79,199,437,45.5,"Total1PuttsInside5",2013
111,111,"Luke List",65,199,369,53.9,"Total1PuttsInside5",2013
111,111,"Michael Thompson",66,199,364,54.7,"Total1PuttsInside5",2013
114,114,"David Mathis",71,197,403,48.9,"Total1PuttsInside5",2013
115,115,"Ted Potter Jr",65,194,400,48.5,"Total1PuttsInside5",2013
116,116,"Ben Kohles",75,193,412,46.8,"Total1PuttsInside5",2013
116,116,"Doug LaBelle II",72,193,423,45.6,"Total1PuttsInside5",2013
118,118,"Angel Cabrera",73,192,376,51.1,"Total1PuttsInside5",2013
118,118,"Will Claxton",67,192,346,55.5,"Total1PuttsInside5",2013
120,120,"Morgan Hoffmann",64,191,392,48.7,"Total1PuttsInside5",2013
120,120,"Bo Van Pelt",72,191,369,51.8,"Total1PuttsInside5",2013
122,122,"Sergio Garcia",65,190,348,54.6,"Total1PuttsInside5",2013
122,122,"Fabian Gomez",65,190,393,48.3,"Total1PuttsInside5",2013
124,124,"Dustin Johnson",71,189,355,53.2,"Total1PuttsInside5",2013
124,124,"Lee Westwood",70,189,349,54.2,"Total1PuttsInside5",2013
126,126,"Lucas Glover",65,188,331,56.8,"Total1PuttsInside5",2013
127,127,"Shawn Stefani",63,187,365,51.2,"Total1PuttsInside5",2013
128,128,"Kyle Stanley",71,186,392,47.4,"Total1PuttsInside5",2013
128,128,"Bubba Watson",76,186,394,47.2,"Total1PuttsInside5",2013
130,130,"Charlie Beljan",62,185,365,50.7,"Total1PuttsInside5",2013
130,130,"Freddie Jacobson",63,185,360,51.4,"Total1PuttsInside5",2013
132,132,"Tim Clark",64,184,336,54.8,"Total1PuttsInside5",2013
133,133,"Luke Donald",60,181,356,50.8,"Total1PuttsInside5",2013
134,134,"Justin Bolli",59,180,327,55,"Total1PuttsInside5",2013
135,135,"Stewart Cink",71,179,361,49.6,"Total1PuttsInside5",2013
135,135,"Ernie Els",63,179,338,53,"Total1PuttsInside5",2013
135,135,"Brandt Jobe",62,179,352,50.9,"Total1PuttsInside5",2013
138,138,"Ryo Ishikawa",72,178,343,51.9,"Total1PuttsInside5",2013
139,139,"Robert Garrigus",69,177,314,56.4,"Total1PuttsInside5",2013
140,140,"Robert Allenby",58,176,343,51.3,"Total1PuttsInside5",2013
141,141,"Scott Gardiner",61,175,346,50.6,"Total1PuttsInside5",2013
141,141,"Alistair Presnell",59,175,331,52.9,"Total1PuttsInside5",2013
143,143,"Ben Curtis",59,173,317,54.6,"Total1PuttsInside5",2013
144,144,"Martin Laird",68,172,345,49.9,"Total1PuttsInside5",2013
144,144,"Steve LeBrun",66,172,351,49,"Total1PuttsInside5",2013
144,144,"Jin Park",52,172,305,56.4,"Total1PuttsInside5",2013
144,144,"Tiger Woods",61,172,330,52.1,"Total1PuttsInside5",2013
148,148,"Rory McIlroy",56,169,313,54,"Total1PuttsInside5",2013
148,148,"Ian Poulter",59,169,296,57.1,"Total1PuttsInside5",2013
148,148,"Johnson Wagner",64,169,347,48.7,"Total1PuttsInside5",2013
148,148,"Mark Wilson",56,169,323,52.3,"Total1PuttsInside5",2013
152,152,"Stephen Ames",49,168,335,50.1,"Total1PuttsInside5",2013
153,153,"Derek Ernst",58,167,320,52.2,"Total1PuttsInside5",2013
153,153,"Tim Herron",45,167,318,52.5,"Total1PuttsInside5",2013
153,153,"Sean OHair",56,167,330,50.6,"Total1PuttsInside5",2013
153,153,"Geoff Ogilvy",57,167,302,55.3,"Total1PuttsInside5",2013
157,157,"Darron Stiles",51,166,302,55,"Total1PuttsInside5",2013
158,158,"Justin Rose",62,163,320,50.9,"Total1PuttsInside5",2013
158,158,"Vaughn Taylor",50,163,307,53.1,"Total1PuttsInside5",2013
160,160,"Charl Schwartzel",69,162,385,42.1,"Total1PuttsInside5",2013
161,161,"YE Yang",56,159,298,53.4,"Total1PuttsInside5",2013
162,162,"Adam Scott",61,148,294,50.3,"Total1PuttsInside5",2013
162,162,"Henrik Stenson",65,148,298,49.7,"Total1PuttsInside5",2013
164,164,"Vijay Singh",61,147,279,52.7,"Total1PuttsInside5",2013
165,165,"Robert Karlsson",56,146,262,55.7,"Total1PuttsInside5",2013
166,166,"Rod Pampling",46,143,236,60.6,"Total1PuttsInside5",2013
166,166,"Steve Stricker",51,143,274,52.2,"Total1PuttsInside5",2013
168,168,"Padraig Harrington",52,141,263,53.6,"Total1PuttsInside5",2013
