"DrivingPct240260Measured_RANKTHISWEEK_2016","DrivingPct240260Measured_RANKLASTWEEK_2016","DrivingPct240260Measured_PLAYERNAME_2016","DrivingPct240260Measured_ROUNDS_2016","DrivingPct240260Measured_Pct_2016","DrivingPct240260Measured_TOTALDRIVESFOR240260_2016","DrivingPct240260Measured_TOTALDRVSOVERALL_2016","DrivingPct240260Measured_RELATIVETOPAR_2016","stat_name","year"
1,1,"Darron Stiles",28,39.13,18,46,0,"DrivingPct240260Measured",2016
2,2,"Jon Curran",55,26.6,25,94,0,"DrivingPct240260Measured",2016
3,3,"Brian Gay",22,25,9,36,0.44,"DrivingPct240260Measured",2016
4,7,"Brian Stuard",24,23.81,10,42,-0.1,"DrivingPct240260Measured",2016
5,4,"Justin Leonard",28,23.08,12,52,-0.25,"DrivingPct240260Measured",2016
6,5,"Billy Hurley III",22,22.5,9,40,-0.22,"DrivingPct240260Measured",2016
7,9,"David Toms",38,22.22,16,72,-0.06,"DrivingPct240260Measured",2016
8,10,"DH Lee",35,21.67,13,60,-0.15,"DrivingPct240260Measured",2016
9,6,"Dicky Pride",33,21.43,12,56,0.25,"DrivingPct240260Measured",2016
10,8,"Mark Wilson",42,20,16,80,-0.06,"DrivingPct240260Measured",2016
11,14,"Brendon Todd",43,19.23,15,78,0,"DrivingPct240260Measured",2016
12,11,"Lucas Lee",22,17.65,6,34,0.5,"DrivingPct240260Measured",2016
13,12,"KJ Choi",47,17.44,15,86,0,"DrivingPct240260Measured",2016
14,17,"Colt Knost",56,17.39,16,92,0,"DrivingPct240260Measured",2016
15,13,"Abraham Ancer",26,16.67,7,42,0.14,"DrivingPct240260Measured",2016
15,24,"Jason Bohn",37,16.67,11,66,0.09,"DrivingPct240260Measured",2016
17,16,"David Hearn",55,15.96,15,94,0.13,"DrivingPct240260Measured",2016
18,18,"Jerry Kelly",44,15.28,11,72,-0.27,"DrivingPct240260Measured",2016
19,21,"JJ Henry",44,15,12,80,0.42,"DrivingPct240260Measured",2016
20,15,"DA Points",32,14.81,8,54,0,"DrivingPct240260Measured",2016
21,19,"Shane Bertsch",30,14.58,7,48,0.57,"DrivingPct240260Measured",2016
21,19,"Brice Garnett",29,14.58,7,48,-0.57,"DrivingPct240260Measured",2016
23,38,"Robert Allenby",35,14.06,9,64,-0.22,"DrivingPct240260Measured",2016
24,22,"Freddie Jacobson",54,13.54,13,96,-0.08,"DrivingPct240260Measured",2016
