"CareerEarnings_RANKTHISWEEK_2009","CareerEarnings_RANKLASTWEEK_2009","CareerEarnings_PLAYERNAME_2009","CareerEarnings__2009","CareerEarnings_MONEY_2009","stat_name","year"
1,1,"Tiger Woods",NA,92862539,"CareerEarnings",2009
2,2,"Vijay Singh",NA,61986127,"CareerEarnings",2009
3,3,"Phil Mickelson",NA,55855656,"CareerEarnings",2009
4,4,"Jim Furyk",NA,42756341,"CareerEarnings",2009
5,5,"Davis Love III",NA,38947951,"CareerEarnings",2009
6,6,"Ernie Els",NA,35810558,"CareerEarnings",2009
7,7,"David Toms",NA,31758263,"CareerEarnings",2009
8,8,"Kenny Perry",NA,30642004,"CareerEarnings",2009
9,9,"Justin Leonard",NA,29341837,"CareerEarnings",2009
10,10,"Stewart Cink",NA,27877024,"CareerEarnings",2009
11,11,"Mike Weir",NA,26239545,"CareerEarnings",2009
12,12,"Sergio Garcia",NA,25611522,"CareerEarnings",2009
13,13,"Scott Verplank",NA,24522406,"CareerEarnings",2009
14,14,"Mark Calcavecchia",NA,23868574,"CareerEarnings",2009
15,15,"Stuart Appleby",NA,23757322,"CareerEarnings",2009
16,16,"Steve Stricker",NA,23476520,"CareerEarnings",2009
17,17,"Retief Goosen",NA,22940019,"CareerEarnings",2009
18,18,"Fred Couples",NA,21319451,"CareerEarnings",2009
19,19,"Robert Allenby",NA,21172329,"CareerEarnings",2009
20,20,"Fred Funk",NA,20962775,"CareerEarnings",2009
21,21,"Tom Lehman",NA,20893963,"CareerEarnings",2009
22,22,"Chris DiMarco",NA,20835083,"CareerEarnings",2009
23,23,"Jerry Kelly",NA,20610767,"CareerEarnings",2009
24,24,"Nick Price",NA,20563108,"CareerEarnings",2009
25,25,"Rory Sabbatini",NA,20368555,"CareerEarnings",2009
26,26,"Geoff Ogilvy",NA,20172895,"CareerEarnings",2009
27,27,"KJ Choi",NA,19770145,"CareerEarnings",2009
28,28,"Adam Scott",NA,19152699,"CareerEarnings",2009
29,29,"Scott Hoch",NA,18530156,"CareerEarnings",2009
30,30,"Charles Howell III",NA,18472568,"CareerEarnings",2009
31,31,"Chad Campbell",NA,18310841,"CareerEarnings",2009
32,32,"Bob Estes",NA,18305430,"CareerEarnings",2009
33,33,"Jeff Sluman",NA,18165266,"CareerEarnings",2009
34,34,"Billy Mayfair",NA,18045465,"CareerEarnings",2009
35,35,"Padraig Harrington",NA,17915250,"CareerEarnings",2009
36,36,"Stephen Ames",NA,17722615,"CareerEarnings",2009
37,37,"Brad Faxon",NA,17713767,"CareerEarnings",2009
38,38,"David Duval",NA,17492999,"CareerEarnings",2009
39,39,"Steve Flesch",NA,16995354,"CareerEarnings",2009
40,40,"Zach Johnson",NA,16975649,"CareerEarnings",2009
41,41,"Jeff Maggert",NA,16396677,"CareerEarnings",2009
42,42,"Tim Herron",NA,16305224,"CareerEarnings",2009
43,43,"Bob Tway",NA,15785815,"CareerEarnings",2009
44,44,"Rocco Mediate",NA,15275897,"CareerEarnings",2009
45,45,"Hal Sutton",NA,15267685,"CareerEarnings",2009
46,46,"Jesper Parnevik",NA,15207897,"CareerEarnings",2009
47,47,"Loren Roberts",NA,15154767,"CareerEarnings",2009
48,48,"Corey Pavin",NA,15080680,"CareerEarnings",2009
49,49,"Luke Donald",NA,14999961,"CareerEarnings",2009
50,50,"Steve Lowery",NA,14972618,"CareerEarnings",2009
51,51,"John Huston",NA,14897897,"CareerEarnings",2009
52,52,"Lee Janzen",NA,14828934,"CareerEarnings",2009
53,53,"Woody Austin",NA,14486868,"CareerEarnings",2009
54,54,"Greg Norman",NA,14484458,"CareerEarnings",2009
55,55,"Paul Azinger",NA,14458010,"CareerEarnings",2009
56,56,"Jay Haas",NA,14440317,"CareerEarnings",2009
57,57,"Steve Elkington",NA,14374109,"CareerEarnings",2009
58,58,"Kevin Sutherland",NA,14303812,"CareerEarnings",2009
59,59,"Mark OMeara",NA,14151565,"CareerEarnings",2009
60,60,"Tim Clark",NA,13873494,"CareerEarnings",2009
61,61,"Kirk Triplett",NA,13719562,"CareerEarnings",2009
62,62,"Shigeki Maruyama",NA,13609355,"CareerEarnings",2009
63,63,"Tom Pernice Jr",NA,13402977,"CareerEarnings",2009
64,64,"John Rollins",NA,12601778,"CareerEarnings",2009
65,65,"Dudley Hart",NA,12566495,"CareerEarnings",2009
