"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2009","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2009","ApproachesLeftRoughRTPScore_PLAYERNAME_2009","ApproachesLeftRoughRTPScore_ROUNDS_2009","ApproachesLeftRoughRTPScore_AVGRTP_2009","stat_name","year"
1,1,"Steve Stricker",81,-0.095,"ApproachesLeftRoughRTPScore",2009
2,2,"Fred Couples",54,-0.085,"ApproachesLeftRoughRTPScore",2009
3,3,"Tiger Woods",64,-0.067,"ApproachesLeftRoughRTPScore",2009
4,4,"Kevin Streelman",97,-0.047,"ApproachesLeftRoughRTPScore",2009
5,5,"Matt Kuchar",82,-0.036,"ApproachesLeftRoughRTPScore",2009
6,6,"Charles Howell III",99,-0.015,"ApproachesLeftRoughRTPScore",2009
7,7,"Nick Watney",86,-0.014,"ApproachesLeftRoughRTPScore",2009
8,8,"Kenny Perry",92,-0.008,"ApproachesLeftRoughRTPScore",2009
9,9,"Robert Allenby",71,0,"ApproachesLeftRoughRTPScore",2009
9,9,"Ben Curtis",63,0,"ApproachesLeftRoughRTPScore",2009
9,9,"Geoff Ogilvy",78,0,"ApproachesLeftRoughRTPScore",2009
12,12,"Steve Marino",98,0.007,"ApproachesLeftRoughRTPScore",2009
13,13,"Scott Piercy",85,0.008,"ApproachesLeftRoughRTPScore",2009
14,14,"Rocco Mediate",79,0.009,"ApproachesLeftRoughRTPScore",2009
15,15,"Zach Johnson",94,0.01,"ApproachesLeftRoughRTPScore",2009
16,16,"Robert Garrigus",83,0.019,"ApproachesLeftRoughRTPScore",2009
17,17,"Kevin Stadler",65,0.032,"ApproachesLeftRoughRTPScore",2009
18,18,"Vijay Singh",71,0.033,"ApproachesLeftRoughRTPScore",2009
19,19,"Ben Crane",93,0.034,"ApproachesLeftRoughRTPScore",2009
20,20,"Stephen Ames",77,0.037,"ApproachesLeftRoughRTPScore",2009
21,21,"Matt Jones",56,0.039,"ApproachesLeftRoughRTPScore",2009
22,22,"Corey Pavin",73,0.046,"ApproachesLeftRoughRTPScore",2009
23,23,"Parker McLachlin",71,0.049,"ApproachesLeftRoughRTPScore",2009
24,24,"Anthony Kim",76,0.052,"ApproachesLeftRoughRTPScore",2009
24,24,"Webb Simpson",94,0.052,"ApproachesLeftRoughRTPScore",2009
26,26,"Bill Haas",91,0.053,"ApproachesLeftRoughRTPScore",2009
26,26,"Dustin Johnson",85,0.053,"ApproachesLeftRoughRTPScore",2009
26,26,"Joe Ogilvie",85,0.053,"ApproachesLeftRoughRTPScore",2009
29,29,"Charley Hoffman",97,0.056,"ApproachesLeftRoughRTPScore",2009
30,30,"Sean OHair",80,0.057,"ApproachesLeftRoughRTPScore",2009
31,31,"Chad Campbell",90,0.059,"ApproachesLeftRoughRTPScore",2009
32,32,"Bob Heintz",59,0.06,"ApproachesLeftRoughRTPScore",2009
32,32,"Jimmy Walker",74,0.06,"ApproachesLeftRoughRTPScore",2009
34,34,"Tag Ridings",50,0.061,"ApproachesLeftRoughRTPScore",2009
35,35,"Nathan Green",104,0.062,"ApproachesLeftRoughRTPScore",2009
36,36,"Troy Matteson",95,0.063,"ApproachesLeftRoughRTPScore",2009
37,37,"Ken Duke",87,0.065,"ApproachesLeftRoughRTPScore",2009
38,38,"Cameron Beckman",87,0.067,"ApproachesLeftRoughRTPScore",2009
39,39,"Angel Cabrera",55,0.069,"ApproachesLeftRoughRTPScore",2009
40,40,"Adam Scott",53,0.07,"ApproachesLeftRoughRTPScore",2009
41,41,"Brandt Snedeker",81,0.074,"ApproachesLeftRoughRTPScore",2009
42,42,"Camilo Villegas",76,0.075,"ApproachesLeftRoughRTPScore",2009
43,43,"Luke Donald",79,0.077,"ApproachesLeftRoughRTPScore",2009
44,44,"Chris Riley",77,0.078,"ApproachesLeftRoughRTPScore",2009
45,45,"Tommy Armour III",58,0.08,"ApproachesLeftRoughRTPScore",2009
45,45,"Tom Pernice Jr",82,0.08,"ApproachesLeftRoughRTPScore",2009
47,47,"Freddie Jacobson",83,0.083,"ApproachesLeftRoughRTPScore",2009
48,48,"Harrison Frazar",93,0.085,"ApproachesLeftRoughRTPScore",2009
48,48,"Sergio Garcia",59,0.085,"ApproachesLeftRoughRTPScore",2009
50,50,"Justin Leonard",95,0.086,"ApproachesLeftRoughRTPScore",2009
50,50,"David Toms",98,0.086,"ApproachesLeftRoughRTPScore",2009
52,52,"Jason Gore",74,0.089,"ApproachesLeftRoughRTPScore",2009
53,53,"Kirk Triplett",60,0.091,"ApproachesLeftRoughRTPScore",2009
54,54,"Kris Blanks",60,0.094,"ApproachesLeftRoughRTPScore",2009
55,55,"Spencer Levin",75,0.095,"ApproachesLeftRoughRTPScore",2009
56,56,"Glen Day",79,0.096,"ApproachesLeftRoughRTPScore",2009
57,57,"Greg Chalmers",85,0.097,"ApproachesLeftRoughRTPScore",2009
58,58,"Jonathan Byrd",89,0.098,"ApproachesLeftRoughRTPScore",2009
58,58,"Lucas Glover",93,0.098,"ApproachesLeftRoughRTPScore",2009
58,58,"Justin Rose",71,0.098,"ApproachesLeftRoughRTPScore",2009
61,61,"Brian Davis",103,0.099,"ApproachesLeftRoughRTPScore",2009
61,61,"Greg Owen",97,0.099,"ApproachesLeftRoughRTPScore",2009
63,63,"Cliff Kresge",78,0.1,"ApproachesLeftRoughRTPScore",2009
64,64,"Brett Quigley",92,0.101,"ApproachesLeftRoughRTPScore",2009
65,65,"Jason Day",61,0.102,"ApproachesLeftRoughRTPScore",2009
65,65,"Davis Love III",89,0.102,"ApproachesLeftRoughRTPScore",2009
67,67,"Jerry Kelly",90,0.103,"ApproachesLeftRoughRTPScore",2009
68,68,"Jason Bohn",88,0.105,"ApproachesLeftRoughRTPScore",2009
68,68,"Michael Letzig",96,0.105,"ApproachesLeftRoughRTPScore",2009
70,70,"Martin Laird",72,0.106,"ApproachesLeftRoughRTPScore",2009
70,70,"Tom Lehman",55,0.106,"ApproachesLeftRoughRTPScore",2009
70,70,"YE Yang",83,0.106,"ApproachesLeftRoughRTPScore",2009
73,73,"Aaron Baddeley",66,0.107,"ApproachesLeftRoughRTPScore",2009
74,74,"Mike Weir",85,0.109,"ApproachesLeftRoughRTPScore",2009
75,75,"Andres Romero",58,0.112,"ApproachesLeftRoughRTPScore",2009
76,76,"Jarrod Lyle",65,0.113,"ApproachesLeftRoughRTPScore",2009
77,77,"Vaughn Taylor",88,0.114,"ApproachesLeftRoughRTPScore",2009
78,78,"Jeff Overton",92,0.115,"ApproachesLeftRoughRTPScore",2009
78,78,"Tim Petrovic",97,0.115,"ApproachesLeftRoughRTPScore",2009
80,80,"Bubba Watson",73,0.117,"ApproachesLeftRoughRTPScore",2009
80,80,"Charlie Wi",92,0.117,"ApproachesLeftRoughRTPScore",2009
82,82,"Ernie Els",70,0.121,"ApproachesLeftRoughRTPScore",2009
82,82,"Scott Sterling",51,0.121,"ApproachesLeftRoughRTPScore",2009
84,84,"Brian Gay",96,0.122,"ApproachesLeftRoughRTPScore",2009
85,85,"Stuart Appleby",79,0.123,"ApproachesLeftRoughRTPScore",2009
86,86,"Ryan Moore",89,0.124,"ApproachesLeftRoughRTPScore",2009
87,87,"Rory Sabbatini",81,0.125,"ApproachesLeftRoughRTPScore",2009
88,88,"Retief Goosen",74,0.126,"ApproachesLeftRoughRTPScore",2009
88,88,"Padraig Harrington",66,0.126,"ApproachesLeftRoughRTPScore",2009
88,88,"Scott McCarron",91,0.126,"ApproachesLeftRoughRTPScore",2009
91,91,"George McNeill",82,0.127,"ApproachesLeftRoughRTPScore",2009
91,91,"Rick Price",54,0.127,"ApproachesLeftRoughRTPScore",2009
93,93,"Phil Mickelson",66,0.128,"ApproachesLeftRoughRTPScore",2009
94,94,"Steve Flesch",77,0.129,"ApproachesLeftRoughRTPScore",2009
94,94,"Ted Purdy",101,0.129,"ApproachesLeftRoughRTPScore",2009
96,96,"Bryce Molder",69,0.13,"ApproachesLeftRoughRTPScore",2009
97,97,"Jeff Klauk",97,0.133,"ApproachesLeftRoughRTPScore",2009
98,98,"JB Holmes",74,0.134,"ApproachesLeftRoughRTPScore",2009
99,99,"Ryuji Imada",85,0.137,"ApproachesLeftRoughRTPScore",2009
100,100,"Woody Austin",84,0.144,"ApproachesLeftRoughRTPScore",2009
100,100,"Johnson Wagner",81,0.144,"ApproachesLeftRoughRTPScore",2009
102,102,"Kevin Na",91,0.146,"ApproachesLeftRoughRTPScore",2009
103,103,"Bill Lunde",83,0.147,"ApproachesLeftRoughRTPScore",2009
103,103,"John Mallinger",90,0.147,"ApproachesLeftRoughRTPScore",2009
105,105,"Marc Leishman",91,0.15,"ApproachesLeftRoughRTPScore",2009
106,106,"Mathew Goggin",76,0.155,"ApproachesLeftRoughRTPScore",2009
106,106,"Charles Warren",63,0.155,"ApproachesLeftRoughRTPScore",2009
108,108,"Will Ma Kenzie",69,0.156,"ApproachesLeftRoughRTPScore",2009
108,108,"Boo Weekley",79,0.156,"ApproachesLeftRoughRTPScore",2009
110,110,"Brendon de Jonge",90,0.157,"ApproachesLeftRoughRTPScore",2009
111,111,"Paul Goydos",79,0.159,"ApproachesLeftRoughRTPScore",2009
111,111,"Bo Van Pelt",100,0.159,"ApproachesLeftRoughRTPScore",2009
113,113,"Richard Johnson",85,0.16,"ApproachesLeftRoughRTPScore",2009
113,113,"Kevin Sutherland",96,0.16,"ApproachesLeftRoughRTPScore",2009
115,115,"Chris DiMarco",97,0.168,"ApproachesLeftRoughRTPScore",2009
115,115,"John Senden",100,0.168,"ApproachesLeftRoughRTPScore",2009
117,117,"Briny Baird",89,0.169,"ApproachesLeftRoughRTPScore",2009
117,117,"JJ Henry",97,0.169,"ApproachesLeftRoughRTPScore",2009
117,117,"David Mathis",82,0.169,"ApproachesLeftRoughRTPScore",2009
117,117,"Brian Vranesh",51,0.169,"ApproachesLeftRoughRTPScore",2009
121,121,"Rich Beem",77,0.17,"ApproachesLeftRoughRTPScore",2009
121,121,"Alex Cejka",82,0.17,"ApproachesLeftRoughRTPScore",2009
121,121,"Aron Price",89,0.17,"ApproachesLeftRoughRTPScore",2009
124,124,"Scott Verplank",88,0.171,"ApproachesLeftRoughRTPScore",2009
125,125,"Mark Brooks",55,0.174,"ApproachesLeftRoughRTPScore",2009
126,126,"Nicholas Thompson",96,0.175,"ApproachesLeftRoughRTPScore",2009
127,127,"Michael Allen",73,0.176,"ApproachesLeftRoughRTPScore",2009
127,127,"Heath Slocum",95,0.176,"ApproachesLeftRoughRTPScore",2009
127,127,"Peter Tomasulo",61,0.176,"ApproachesLeftRoughRTPScore",2009
127,127,"Mark Wilson",99,0.176,"ApproachesLeftRoughRTPScore",2009
131,131,"Ian Poulter",59,0.177,"ApproachesLeftRoughRTPScore",2009
132,132,"Tim Clark",81,0.179,"ApproachesLeftRoughRTPScore",2009
133,133,"Bob Estes",78,0.181,"ApproachesLeftRoughRTPScore",2009
133,133,"Tim Herron",87,0.181,"ApproachesLeftRoughRTPScore",2009
133,133,"Jeff Quinney",78,0.181,"ApproachesLeftRoughRTPScore",2009
136,136,"Carl Pettersson",86,0.182,"ApproachesLeftRoughRTPScore",2009
136,136,"Patrick Sheehan",51,0.182,"ApproachesLeftRoughRTPScore",2009
138,138,"Mark Calcavecchia",72,0.184,"ApproachesLeftRoughRTPScore",2009
139,139,"Derek Fathauer",63,0.185,"ApproachesLeftRoughRTPScore",2009
139,139,"Lee Janzen",74,0.185,"ApproachesLeftRoughRTPScore",2009
139,139,"John Merrick",91,0.185,"ApproachesLeftRoughRTPScore",2009
142,142,"Joe Durant",62,0.188,"ApproachesLeftRoughRTPScore",2009
143,143,"Leif Olson",51,0.189,"ApproachesLeftRoughRTPScore",2009
143,143,"Chris Stroud",88,0.189,"ApproachesLeftRoughRTPScore",2009
145,145,"Chez Reavie",81,0.19,"ApproachesLeftRoughRTPScore",2009
146,146,"Daniel Chopra",89,0.191,"ApproachesLeftRoughRTPScore",2009
147,147,"Jim Furyk",86,0.193,"ApproachesLeftRoughRTPScore",2009
148,148,"Kent Jones",73,0.194,"ApproachesLeftRoughRTPScore",2009
149,149,"DA Points",99,0.195,"ApproachesLeftRoughRTPScore",2009
150,150,"Hunter Mahan",94,0.196,"ApproachesLeftRoughRTPScore",2009
151,151,"Brad Adamonis",70,0.198,"ApproachesLeftRoughRTPScore",2009
152,152,"Nick OHern",90,0.2,"ApproachesLeftRoughRTPScore",2009
152,152,"Rod Pampling",72,0.2,"ApproachesLeftRoughRTPScore",2009
152,152,"John Rollins",92,0.2,"ApproachesLeftRoughRTPScore",2009
155,155,"Stewart Cink",79,0.202,"ApproachesLeftRoughRTPScore",2009
156,156,"Brian Bateman",55,0.21,"ApproachesLeftRoughRTPScore",2009
157,157,"KJ Choi",65,0.211,"ApproachesLeftRoughRTPScore",2009
157,157,"Jay Williamson",69,0.211,"ApproachesLeftRoughRTPScore",2009
159,159,"Darron Stiles",52,0.214,"ApproachesLeftRoughRTPScore",2009
160,160,"Ricky Barnes",67,0.216,"ApproachesLeftRoughRTPScore",2009
161,161,"Bart Bryant",58,0.219,"ApproachesLeftRoughRTPScore",2009
162,162,"Casey Wittenberg",71,0.22,"ApproachesLeftRoughRTPScore",2009
163,163,"Greg Kraft",51,0.221,"ApproachesLeftRoughRTPScore",2009
163,163,"Marc Turnesa",77,0.221,"ApproachesLeftRoughRTPScore",2009
165,165,"Steve Lowery",83,0.224,"ApproachesLeftRoughRTPScore",2009
166,166,"Ryan Palmer",78,0.225,"ApproachesLeftRoughRTPScore",2009
166,166,"DJ Trahan",96,0.225,"ApproachesLeftRoughRTPScore",2009
168,168,"Pat Perez",74,0.226,"ApproachesLeftRoughRTPScore",2009
169,169,"James Nitties",86,0.227,"ApproachesLeftRoughRTPScore",2009
170,170,"Jason Dufner",90,0.23,"ApproachesLeftRoughRTPScore",2009
171,171,"Colt Knost",71,0.236,"ApproachesLeftRoughRTPScore",2009
172,172,"Matt Bettencourt",98,0.241,"ApproachesLeftRoughRTPScore",2009
173,173,"Matt Weibring",65,0.247,"ApproachesLeftRoughRTPScore",2009
174,174,"Brendon Todd",53,0.259,"ApproachesLeftRoughRTPScore",2009
