"PuttingfromInside5_RANKTHISWEEK_2008","PuttingfromInside5_RANKLASTWEEK_2008","PuttingfromInside5_PLAYERNAME_2008","PuttingfromInside5_ROUNDS_2008","PuttingfromInside5_Pct_2008","PuttingfromInside5_ATTEMPTS_2008","PuttingfromInside5_PUTTSMADE_2008","stat_name","year"
1,1,"Dean Wilson",109,97.96,1274,1248,"PuttingfromInside5",2008
2,2,"Geoff Ogilvy",65,97.83,691,676,"PuttingfromInside5",2008
3,3,"Brian Gay",102,97.63,1223,1194,"PuttingfromInside5",2008
4,4,"Jin Park",85,97.59,997,973,"PuttingfromInside5",2008
5,5,"Parker McLachlin",88,97.52,1090,1063,"PuttingfromInside5",2008
6,6,"Aaron Baddeley",76,97.48,834,813,"PuttingfromInside5",2008
7,7,"Ian Poulter",51,97.41,501,488,"PuttingfromInside5",2008
7,7,"Bob Tway",70,97.41,772,752,"PuttingfromInside5",2008
9,9,"Daniel Chopra",84,97.36,948,923,"PuttingfromInside5",2008
10,10,"Jeff Overton",103,97.3,1258,1224,"PuttingfromInside5",2008
11,11,"Ben Crane",86,97.28,1030,1002,"PuttingfromInside5",2008
11,11,"Ken Duke",116,97.28,1471,1431,"PuttingfromInside5",2008
13,13,"Bob Estes",90,97.24,1230,1196,"PuttingfromInside5",2008
14,14,"Kenny Perry",97,97.22,1294,1258,"PuttingfromInside5",2008
15,15,"Ernie Els",51,97.18,532,517,"PuttingfromInside5",2008
16,16,"James Driscoll",85,97.14,1083,1052,"PuttingfromInside5",2008
17,17,"Eric Axley",113,97.12,1354,1315,"PuttingfromInside5",2008
18,18,"Jason Day",81,97.06,1090,1058,"PuttingfromInside5",2008
19,19,"John Huston",56,97.05,679,659,"PuttingfromInside5",2008
20,20,"Stephen Leaney",53,97.02,637,618,"PuttingfromInside5",2008
21,21,"Ryuji Imada",80,96.98,960,931,"PuttingfromInside5",2008
21,21,"Phil Mickelson",80,96.98,829,804,"PuttingfromInside5",2008
23,23,"Bart Bryant",81,96.97,990,960,"PuttingfromInside5",2008
23,23,"Jeff Quinney",87,96.97,990,960,"PuttingfromInside5",2008
25,25,"Corey Pavin",69,96.95,755,732,"PuttingfromInside5",2008
26,26,"Stephen Ames",83,96.94,916,888,"PuttingfromInside5",2008
27,27,"JJ Henry",108,96.93,1434,1390,"PuttingfromInside5",2008
28,28,"Chad Collins",72,96.91,874,847,"PuttingfromInside5",2008
28,28,"Ben Curtis",80,96.91,906,878,"PuttingfromInside5",2008
30,30,"Alejandro Canizares",52,96.88,577,559,"PuttingfromInside5",2008
31,31,"Tommy Armour III",77,96.87,958,928,"PuttingfromInside5",2008
32,32,"Marc Turnesa",87,96.86,1050,1017,"PuttingfromInside5",2008
33,33,"Lee Janzen",89,96.83,1071,1037,"PuttingfromInside5",2008
34,34,"Justin Leonard",101,96.82,1007,975,"PuttingfromInside5",2008
35,35,"Martin Laird",98,96.81,1221,1182,"PuttingfromInside5",2008
35,35,"Troy Matteson",94,96.81,1287,1246,"PuttingfromInside5",2008
37,37,"Carl Pettersson",110,96.8,1344,1301,"PuttingfromInside5",2008
38,38,"Nick OHern",82,96.77,1022,989,"PuttingfromInside5",2008
39,39,"Michael Letzig",88,96.75,1077,1042,"PuttingfromInside5",2008
40,40,"Shane Bertsch",96,96.73,1283,1241,"PuttingfromInside5",2008
40,40,"Steve Stricker",75,96.73,825,798,"PuttingfromInside5",2008
42,42,"Patrick Sheehan",124,96.71,1488,1439,"PuttingfromInside5",2008
43,43,"Gavin Coles",54,96.68,633,612,"PuttingfromInside5",2008
44,44,"Paul Casey",55,96.67,511,494,"PuttingfromInside5",2008
45,45,"Doug LaBelle II",65,96.66,719,695,"PuttingfromInside5",2008
46,46,"Craig Kanada",65,96.65,777,751,"PuttingfromInside5",2008
47,47,"Michael Allen",91,96.64,1132,1094,"PuttingfromInside5",2008
47,47,"Todd Hamilton",92,96.64,1043,1008,"PuttingfromInside5",2008
47,47,"JB Holmes",86,96.64,982,949,"PuttingfromInside5",2008
47,47,"Jerry Kelly",89,96.64,1070,1034,"PuttingfromInside5",2008
51,51,"Freddie Jacobson",78,96.63,889,859,"PuttingfromInside5",2008
51,51,"Shigeki Maruyama",50,96.63,594,574,"PuttingfromInside5",2008
53,53,"Tim Wilkinson",95,96.58,1139,1100,"PuttingfromInside5",2008
54,54,"Hunter Mahan",87,96.57,1020,985,"PuttingfromInside5",2008
54,54,"Joe Ogilvie",100,96.57,1223,1181,"PuttingfromInside5",2008
56,56,"Stuart Appleby",87,96.56,931,899,"PuttingfromInside5",2008
56,56,"Glen Day",64,96.56,814,786,"PuttingfromInside5",2008
58,58,"KJ Choi",74,96.53,808,780,"PuttingfromInside5",2008
58,58,"Vijay Singh",82,96.53,923,891,"PuttingfromInside5",2008
60,60,"Zach Johnson",85,96.52,1007,972,"PuttingfromInside5",2008
61,61,"Richard Johnson",60,96.51,687,663,"PuttingfromInside5",2008
61,61,"Bob Sowards",61,96.51,745,719,"PuttingfromInside5",2008
63,63,"Cliff Kresge",84,96.5,1056,1019,"PuttingfromInside5",2008
64,64,"Brad Elder",67,96.49,770,743,"PuttingfromInside5",2008
65,65,"Mark Wilson",107,96.48,1449,1398,"PuttingfromInside5",2008
66,66,"Justin Bolli",87,96.47,1078,1040,"PuttingfromInside5",2008
66,66,"Dudley Hart",74,96.47,936,903,"PuttingfromInside5",2008
68,68,"Jesper Parnevik",88,96.46,1046,1009,"PuttingfromInside5",2008
69,69,"Steve Marino",119,96.44,1489,1436,"PuttingfromInside5",2008
69,69,"Brett Quigley",80,96.44,1040,1003,"PuttingfromInside5",2008
71,71,"Lucas Glover",91,96.43,1205,1162,"PuttingfromInside5",2008
71,71,"John Mallinger",95,96.43,1175,1133,"PuttingfromInside5",2008
73,73,"Jim Furyk",95,96.42,1089,1050,"PuttingfromInside5",2008
73,73,"YE Yang",89,96.42,1145,1104,"PuttingfromInside5",2008
75,75,"Sean OHair",81,96.41,974,939,"PuttingfromInside5",2008
75,75,"Nick Watney",96,96.41,1197,1154,"PuttingfromInside5",2008
75,75,"Charlie Wi",97,96.41,1282,1236,"PuttingfromInside5",2008
78,78,"Retief Goosen",59,96.38,608,586,"PuttingfromInside5",2008
