"LatePar3ScoringAverage_RANKTHISWEEK_2012","LatePar3ScoringAverage_RANKLASTWEEK_2012","LatePar3ScoringAverage_PLAYERNAME_2012","LatePar3ScoringAverage_ROUNDS_2012","LatePar3ScoringAverage_AVG_2012","LatePar3ScoringAverage_TOTALSTROKES_2012","LatePar3ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Rory McIlroy",60,2.91,407,140,"LatePar3ScoringAverage",2012
2,2,"John Huh",99,2.98,614,206,"LatePar3ScoringAverage",2012
2,2,"Geoff Ogilvy",73,2.98,385,129,"LatePar3ScoringAverage",2012
4,4,"James Driscoll",83,2.99,482,161,"LatePar3ScoringAverage",2012
4,4,"Jason Dufner",83,2.99,609,204,"LatePar3ScoringAverage",2012
4,4,"Rickie Fowler",84,2.99,433,145,"LatePar3ScoringAverage",2012
4,4,"Tom Gillis",75,2.99,425,142,"LatePar3ScoringAverage",2012
4,4,"Padraig Harrington",67,2.99,464,155,"LatePar3ScoringAverage",2012
9,9,"Matt Jones",53,3,342,114,"LatePar3ScoringAverage",2012
9,9,"Troy Matteson",100,3,558,186,"LatePar3ScoringAverage",2012
9,9,"Seung Yul Noh",105,3,602,201,"LatePar3ScoringAverage",2012
9,9,"Adam Scott",59,3,372,124,"LatePar3ScoringAverage",2012
13,13,"Keegan Bradley",90,3.01,544,181,"LatePar3ScoringAverage",2012
13,13,"Brendon de Jonge",115,3.01,701,233,"LatePar3ScoringAverage",2012
13,13,"Chris Kirk",93,3.01,550,183,"LatePar3ScoringAverage",2012
13,13,"Martin Laird",77,3.01,491,163,"LatePar3ScoringAverage",2012
13,13,"Richard Lee",71,3.01,316,105,"LatePar3ScoringAverage",2012
13,13,"Ryan Palmer",81,3.01,542,180,"LatePar3ScoringAverage",2012
13,13,"Rod Pampling",88,3.01,352,117,"LatePar3ScoringAverage",2012
13,13,"Kevin Streelman",89,3.01,590,196,"LatePar3ScoringAverage",2012
21,21,"Brian Gay",91,3.02,501,166,"LatePar3ScoringAverage",2012
21,21,"Brandt Jobe",57,3.02,254,84,"LatePar3ScoringAverage",2012
21,21,"Phil Mickelson",79,3.02,526,174,"LatePar3ScoringAverage",2012
21,21,"Dicky Pride",62,3.02,362,120,"LatePar3ScoringAverage",2012
21,21,"John Rollins",81,3.02,513,170,"LatePar3ScoringAverage",2012
21,21,"Chris Stroud",86,3.02,543,180,"LatePar3ScoringAverage",2012
27,27,"Charlie Beljan",61,3.03,357,118,"LatePar3ScoringAverage",2012
27,27,"Jim Furyk",85,3.03,593,196,"LatePar3ScoringAverage",2012
27,27,"Matt Kuchar",86,3.03,572,189,"LatePar3ScoringAverage",2012
27,27,"Danny Lee",74,3.03,427,141,"LatePar3ScoringAverage",2012
27,27,"Steve Stricker",73,3.03,522,172,"LatePar3ScoringAverage",2012
27,27,"Roland Thatcher",55,3.03,315,104,"LatePar3ScoringAverage",2012
27,27,"Bo Van Pelt",84,3.03,615,203,"LatePar3ScoringAverage",2012
34,34,"Robert Allenby",76,3.04,429,141,"LatePar3ScoringAverage",2012
34,34,"John Daly",50,3.04,283,93,"LatePar3ScoringAverage",2012
34,34,"Matt Every",80,3.04,541,178,"LatePar3ScoringAverage",2012
34,34,"Harrison Frazar",56,3.04,362,119,"LatePar3ScoringAverage",2012
34,34,"David Hearn",95,3.04,489,161,"LatePar3ScoringAverage",2012
34,34,"Freddie Jacobson",61,3.04,377,124,"LatePar3ScoringAverage",2012
34,34,"John Mallinger",74,3.04,465,153,"LatePar3ScoringAverage",2012
34,34,"Rocco Mediate",70,3.04,392,129,"LatePar3ScoringAverage",2012
34,34,"Bryce Molder",83,3.04,450,148,"LatePar3ScoringAverage",2012
34,34,"Alexandre Rocha",62,3.04,319,105,"LatePar3ScoringAverage",2012
34,34,"Webb Simpson",77,3.04,556,183,"LatePar3ScoringAverage",2012
34,34,"Brandt Snedeker",81,3.04,559,184,"LatePar3ScoringAverage",2012
34,34,"Michael Thompson",80,3.04,484,159,"LatePar3ScoringAverage",2012
34,34,"Camilo Villegas",79,3.04,444,146,"LatePar3ScoringAverage",2012
48,48,"Ricky Barnes",92,3.05,482,158,"LatePar3ScoringAverage",2012
48,48,"Roberto Castro",92,3.05,454,149,"LatePar3ScoringAverage",2012
48,48,"Gavin Coles",72,3.05,378,124,"LatePar3ScoringAverage",2012
48,48,"Ben Curtis",62,3.05,439,144,"LatePar3ScoringAverage",2012
48,48,"Luke Donald",63,3.05,412,135,"LatePar3ScoringAverage",2012
48,48,"Nathan Green",73,3.05,418,137,"LatePar3ScoringAverage",2012
48,48,"Charles Howell III",98,3.05,638,209,"LatePar3ScoringAverage",2012
48,48,"Jerry Kelly",84,3.05,460,151,"LatePar3ScoringAverage",2012
48,48,"Troy Kelly",68,3.05,406,133,"LatePar3ScoringAverage",2012
48,48,"Jeff Maggert",83,3.05,479,157,"LatePar3ScoringAverage",2012
48,48,"Ryan Moore",89,3.05,641,210,"LatePar3ScoringAverage",2012
48,48,"Justin Rose",69,3.05,469,154,"LatePar3ScoringAverage",2012
48,48,"Steve Wheatcroft",56,3.05,332,109,"LatePar3ScoringAverage",2012
61,61,"Gary Christian",91,3.06,505,165,"LatePar3ScoringAverage",2012
61,61,"Will Claxton",99,3.06,636,208,"LatePar3ScoringAverage",2012
61,61,"Jason Day",57,3.06,337,110,"LatePar3ScoringAverage",2012
61,61,"Chris DiMarco",83,3.06,490,160,"LatePar3ScoringAverage",2012
61,61,"Tim Herron",88,3.06,495,162,"LatePar3ScoringAverage",2012
61,61,"Zach Johnson",95,3.06,608,199,"LatePar3ScoringAverage",2012
61,61,"Colt Knost",79,3.06,431,141,"LatePar3ScoringAverage",2012
61,61,"George McNeill",85,3.06,431,141,"LatePar3ScoringAverage",2012
61,61,"Jeff Overton",101,3.06,612,200,"LatePar3ScoringAverage",2012
61,61,"Scott Piercy",95,3.06,606,198,"LatePar3ScoringAverage",2012
61,61,"Andres Romero",68,3.06,385,126,"LatePar3ScoringAverage",2012
61,61,"Rory Sabbatini",84,3.06,478,156,"LatePar3ScoringAverage",2012
61,61,"Charl Schwartzel",56,3.06,346,113,"LatePar3ScoringAverage",2012
61,61,"Heath Slocum",93,3.06,468,153,"LatePar3ScoringAverage",2012
61,61,"Kevin Stadler",85,3.06,514,168,"LatePar3ScoringAverage",2012
61,61,"Johnson Wagner",88,3.06,551,180,"LatePar3ScoringAverage",2012
61,61,"Jimmy Walker",101,3.06,648,212,"LatePar3ScoringAverage",2012
78,78,"Blake Adams",107,3.07,621,202,"LatePar3ScoringAverage",2012
78,78,"Sangmoon Bae",81,3.07,455,148,"LatePar3ScoringAverage",2012
78,78,"Greg Chalmers",88,3.07,535,174,"LatePar3ScoringAverage",2012
78,78,"Ben Crane",73,3.07,439,143,"LatePar3ScoringAverage",2012
78,78,"Brian Davis",91,3.07,587,191,"LatePar3ScoringAverage",2012
78,78,"Ernie Els",80,3.07,476,155,"LatePar3ScoringAverage",2012
78,78,"JJ Henry",93,3.07,460,150,"LatePar3ScoringAverage",2012
78,78,"Trevor Immelman",76,3.07,442,144,"LatePar3ScoringAverage",2012
78,78,"Billy Mayfair",90,3.07,558,182,"LatePar3ScoringAverage",2012
78,78,"John Senden",81,3.07,531,173,"LatePar3ScoringAverage",2012
88,88,"Cameron Beckman",81,3.08,413,134,"LatePar3ScoringAverage",2012
88,88,"Bud Cauley",99,3.08,603,196,"LatePar3ScoringAverage",2012
88,88,"Chris Couch",61,3.08,317,103,"LatePar3ScoringAverage",2012
88,88,"Graham DeLaet",79,3.08,471,153,"LatePar3ScoringAverage",2012
88,88,"Harris English",98,3.08,573,186,"LatePar3ScoringAverage",2012
88,88,"Sergio Garcia",57,3.08,404,131,"LatePar3ScoringAverage",2012
88,88,"Brian Harman",101,3.08,527,171,"LatePar3ScoringAverage",2012
88,88,"JB Holmes",90,3.08,517,168,"LatePar3ScoringAverage",2012
88,88,"Robert Karlsson",54,3.08,234,76,"LatePar3ScoringAverage",2012
88,88,"JJ Killeen",101,3.08,576,187,"LatePar3ScoringAverage",2012
88,88,"Kevin Kisner",69,3.08,400,130,"LatePar3ScoringAverage",2012
88,88,"Jason Kokrak",79,3.08,449,146,"LatePar3ScoringAverage",2012
88,88,"Davis Love III",64,3.08,394,128,"LatePar3ScoringAverage",2012
88,88,"Sean OHair",84,3.08,468,152,"LatePar3ScoringAverage",2012
88,88,"DA Points",88,3.08,536,174,"LatePar3ScoringAverage",2012
88,88,"Vaughn Taylor",81,3.08,484,157,"LatePar3ScoringAverage",2012
