"ProximitytoHolefromRough_RANKTHISWEEK_2016","ProximitytoHolefromRough_RANKLASTWEEK_2016","ProximitytoHolefromRough_PLAYERNAME_2016","ProximitytoHolefromRough_ROUNDS_2016","ProximitytoHolefromRough_AVGDTP_2016","ProximitytoHolefromRough_TOTALDISTANCEFEET_2016","ProximitytoHolefromRough_OFSHOTS_2016","ProximitytoHolefromRough_SCRAMBLINGRANK_2016","stat_name","year"
1,2,"Luke List",51,NA,508.5,93,48,"ProximitytoHolefromRough",2016
2,1,"Bill Haas",42,NA,401.667,68,29,"ProximitytoHolefromRough",2016
3,3,"Ryan Moore",40,NA,335.917,56,124,"ProximitytoHolefromRough",2016
4,6,"Billy Hurley III",22,NA,280.167,46,60,"ProximitytoHolefromRough",2016
5,5,"Padraig Harrington",38,NA,535.667,87,49,"ProximitytoHolefromRough",2016
5,8,"Ian Poulter",37,NA,418.083,68,36,"ProximitytoHolefromRough",2016
5,7,"Jordan Spieth",34,NA,395.083,64,51,"ProximitytoHolefromRough",2016
8,3,"Tom Hoge",47,NA,637.5,99,41,"ProximitytoHolefromRough",2016
9,11,"Brian Gay",22,NA,342.833,53,47,"ProximitytoHolefromRough",2016
9,11,"Andres Romero",22,NA,284.583,44,35,"ProximitytoHolefromRough",2016
11,15,"Billy Horschel",45,NA,510.5,78,172,"ProximitytoHolefromRough",2016
11,15,"Bryce Molder",50,NA,625.917,95,11,"ProximitytoHolefromRough",2016
11,15,"Chez Reavie",56,NA,732.75,111,5,"ProximitytoHolefromRough",2016
14,19,"Derek Ernst",36,NA,328.5,49,63,"ProximitytoHolefromRough",2016
15,11,"Rickie Fowler",42,NA,540.833,80,19,"ProximitytoHolefromRough",2016
15,11,"Sung Kang",51,NA,582.667,86,74,"ProximitytoHolefromRough",2016
15,8,"Brian Stuard",24,NA,276.833,41,4,"ProximitytoHolefromRough",2016
15,8,"Tim Wilkinson",40,NA,385.667,57,1,"ProximitytoHolefromRough",2016
19,24,"Jerry Kelly",44,NA,462.75,68,2,"ProximitytoHolefromRough",2016
19,22,"Si Woo Kim",63,NA,948.167,138,30,"ProximitytoHolefromRough",2016
