"FirstTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2013","FirstTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2013","FirstTeeEarlyPar4ScoringAverage_PLAYERNAME_2013","FirstTeeEarlyPar4ScoringAverage_ROUNDS_2013","FirstTeeEarlyPar4ScoringAverage_AVG_2013","FirstTeeEarlyPar4ScoringAverage_TOTALSTROKES_2013","FirstTeeEarlyPar4ScoringAverage_TOTALHOLES_2013","stat_name","year"
1,1,"Adam Scott",61,3.94,390,99,"FirstTeeEarlyPar4ScoringAverage",2013
1,1,"Steve Stricker",51,3.94,122,31,"FirstTeeEarlyPar4ScoringAverage",2013
3,3,"DH Lee",65,3.96,942,238,"FirstTeeEarlyPar4ScoringAverage",2013
4,4,"Matt Every",89,3.97,751,189,"FirstTeeEarlyPar4ScoringAverage",2013
4,4,"Jason Kokrak",78,3.97,639,161,"FirstTeeEarlyPar4ScoringAverage",2013
4,4,"Brandt Snedeker",79,3.97,727,183,"FirstTeeEarlyPar4ScoringAverage",2013
4,4,"DJ Trahan",48,3.97,457,115,"FirstTeeEarlyPar4ScoringAverage",2013
4,4,"Jimmy Walker",84,3.97,1199,302,"FirstTeeEarlyPar4ScoringAverage",2013
4,4,"Bubba Watson",76,3.97,596,150,"FirstTeeEarlyPar4ScoringAverage",2013
10,10,"Brendon de Jonge",110,3.98,1612,405,"FirstTeeEarlyPar4ScoringAverage",2013
10,10,"Morgan Hoffmann",64,3.98,920,231,"FirstTeeEarlyPar4ScoringAverage",2013
10,10,"Jerry Kelly",75,3.98,1123,282,"FirstTeeEarlyPar4ScoringAverage",2013
10,10,"Charlie Wi",75,3.98,812,204,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Erik Compton",74,3.99,813,204,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Zach Johnson",84,3.99,802,201,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Dicky Pride",71,3.99,902,226,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Robert Streb",75,3.99,1109,278,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Daniel Summerhays",83,3.99,953,239,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Cameron Tringale",80,3.99,1226,307,"FirstTeeEarlyPar4ScoringAverage",2013
14,14,"Gary Woodland",94,3.99,1340,336,"FirstTeeEarlyPar4ScoringAverage",2013
21,21,"Angel Cabrera",73,4,949,237,"FirstTeeEarlyPar4ScoringAverage",2013
21,21,"Chris Kirk",89,4,1481,370,"FirstTeeEarlyPar4ScoringAverage",2013
21,21,"Troy Matteson",68,4,828,207,"FirstTeeEarlyPar4ScoringAverage",2013
21,21,"Jordan Spieth",82,4,772,193,"FirstTeeEarlyPar4ScoringAverage",2013
21,21,"Camilo Villegas",79,4,963,241,"FirstTeeEarlyPar4ScoringAverage",2013
26,26,"Roberto Castro",97,4.01,1387,346,"FirstTeeEarlyPar4ScoringAverage",2013
26,26,"Brian Davis",91,4.01,1332,332,"FirstTeeEarlyPar4ScoringAverage",2013
26,26,"Rickie Fowler",75,4.01,698,174,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"David Hearn",88,4.02,1406,350,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"Billy Horschel",96,4.02,913,227,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"Charles Howell III",87,4.02,1060,264,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"Freddie Jacobson",63,4.02,1159,288,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"Ryan Moore",72,4.02,1129,281,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"Andres Romero",63,4.02,672,167,"FirstTeeEarlyPar4ScoringAverage",2013
29,29,"Lee Westwood",70,4.02,857,213,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Stuart Appleby",88,4.03,750,186,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Jason Day",86,4.03,939,233,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Jason Dufner",78,4.03,1168,290,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Ken Duke",87,4.03,1557,386,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Bob Estes",66,4.03,940,233,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Tim Herron",45,4.03,653,162,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Ryo Ishikawa",72,4.03,979,243,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Matt Jones",83,4.03,1198,297,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Matt Kuchar",93,4.03,782,194,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Rory McIlroy",56,4.03,472,117,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"George McNeill",68,4.03,846,210,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"John Merrick",79,4.03,1407,349,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Cameron Percy",68,4.03,1279,317,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Darron Stiles",51,4.03,746,185,"FirstTeeEarlyPar4ScoringAverage",2013
36,36,"Nick Watney",88,4.03,1157,287,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Ricky Barnes",74,4.04,1033,256,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Jonas Blixt",76,4.04,1047,259,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Kevin Chappell",80,4.04,1294,320,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Luke Donald",60,4.04,646,160,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"James Driscoll",76,4.04,711,176,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Harris English",95,4.04,1099,272,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Jim Furyk",80,4.04,787,195,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Sergio Garcia",65,4.04,594,147,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Tom Gillis",69,4.04,763,189,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Brian Harman",89,4.04,1080,267,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Justin Leonard",86,4.04,1263,313,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Henrik Norlander",70,4.04,1001,248,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Ryan Palmer",79,4.04,1172,290,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Chez Reavie",72,4.04,1128,279,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Webb Simpson",92,4.04,888,220,"FirstTeeEarlyPar4ScoringAverage",2013
51,51,"Vaughn Taylor",50,4.04,679,168,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Graham DeLaet",94,4.05,1250,309,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Bill Haas",85,4.05,839,207,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Russell Henley",80,4.05,1293,319,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"William McGirt",75,4.05,1438,355,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Bryce Molder",82,4.05,1381,341,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Greg Owen",73,4.05,1065,263,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Ted Potter Jr",65,4.05,815,201,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Ian Poulter",59,4.05,555,137,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Rory Sabbatini",86,4.05,1137,281,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Charl Schwartzel",69,4.05,794,196,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Vijay Singh",61,4.05,900,222,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Kevin Stadler",83,4.05,1475,364,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Henrik Stenson",65,4.05,737,182,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"Chris Stroud",88,4.05,1250,309,"FirstTeeEarlyPar4ScoringAverage",2013
67,67,"David Toms",49,4.05,494,122,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Robert Allenby",58,4.06,860,212,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Stephen Ames",49,4.06,715,176,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Chad Campbell",78,4.06,1190,293,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"KJ Choi",85,4.06,1567,386,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Martin Flores",83,4.06,1238,305,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Luke Guthrie",82,4.06,743,183,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Brandt Jobe",62,4.06,836,206,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Ben Kohles",75,4.06,954,235,"FirstTeeEarlyPar4ScoringAverage",2013
82,82,"Aaron Watkins",46,4.06,536,132,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Aaron Baddeley",68,4.07,927,228,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Charlie Beljan",62,4.07,949,233,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Jason Bohn",70,4.07,1053,259,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Fabian Gomez",65,4.07,687,169,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"James Hahn",78,4.07,826,203,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Dustin Johnson",71,4.07,769,189,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Doug LaBelle II",72,4.07,1018,250,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"David Lynn",70,4.07,1002,246,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Phil Mickelson",78,4.07,615,151,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Jin Park",52,4.07,749,184,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"Tag Ridings",69,4.07,786,193,"FirstTeeEarlyPar4ScoringAverage",2013
91,91,"John Senden",79,4.07,1312,322,"FirstTeeEarlyPar4ScoringAverage",2013
