"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2006","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2006","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2006","AverageApproachDistanceBogeyorWorse_ROUNDS_2006","AverageApproachDistanceBogeyorWorse_AVGYARDS_2006","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2006","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2006","stat_name","year"
1,1,"Justin Leonard",83,147.9,1011936,190,"AverageApproachDistanceBogeyorWorse",2006
1,1,"Rod Pampling",89,147.9,979493,184,"AverageApproachDistanceBogeyorWorse",2006
3,3,"Kris Cox",83,149.8,1186509,220,"AverageApproachDistanceBogeyorWorse",2006
4,4,"Luke Donald",66,150.6,542002,100,"AverageApproachDistanceBogeyorWorse",2006
4,4,"Robert Garrigus",85,150.6,1376674,254,"AverageApproachDistanceBogeyorWorse",2006
6,6,"David Howell",52,151.8,513702,94,"AverageApproachDistanceBogeyorWorse",2006
6,6,"Kenny Perry",73,151.8,918364,168,"AverageApproachDistanceBogeyorWorse",2006
8,8,"Padraig Harrington",54,151.9,481318,88,"AverageApproachDistanceBogeyorWorse",2006
9,9,"Sean OHair",100,152.3,1354138,247,"AverageApproachDistanceBogeyorWorse",2006
10,10,"Kevin Sutherland",100,152.4,1262171,230,"AverageApproachDistanceBogeyorWorse",2006
11,11,"Michael Allen",84,152.5,1191238,217,"AverageApproachDistanceBogeyorWorse",2006
12,12,"Harrison Frazar",95,152.6,1269232,231,"AverageApproachDistanceBogeyorWorse",2006
13,13,"Hidemichi Tanaka",74,152.7,1357898,247,"AverageApproachDistanceBogeyorWorse",2006
14,14,"Steve Stricker",64,152.8,555513,101,"AverageApproachDistanceBogeyorWorse",2006
15,15,"Chad Campbell",91,152.9,1073236,195,"AverageApproachDistanceBogeyorWorse",2006
15,15,"Greg Chalmers",71,152.9,1150113,209,"AverageApproachDistanceBogeyorWorse",2006
17,17,"Scott Gutschewski",53,153.1,815723,148,"AverageApproachDistanceBogeyorWorse",2006
18,18,"JB Holmes",81,153.2,1218856,221,"AverageApproachDistanceBogeyorWorse",2006
19,19,"Brett Wetterich",82,153.3,1219439,221,"AverageApproachDistanceBogeyorWorse",2006
20,20,"Heath Slocum",96,153.4,1347438,244,"AverageApproachDistanceBogeyorWorse",2006
21,21,"Paul Stankowski",70,153.5,1077250,195,"AverageApproachDistanceBogeyorWorse",2006
22,22,"David Toms",76,153.7,985219,178,"AverageApproachDistanceBogeyorWorse",2006
23,23,"John Daly",51,153.9,847476,153,"AverageApproachDistanceBogeyorWorse",2006
24,24,"Stewart Cink",93,154,1092187,197,"AverageApproachDistanceBogeyorWorse",2006
25,25,"Todd Hamilton",72,154.2,1310381,236,"AverageApproachDistanceBogeyorWorse",2006
26,26,"Arjun Atwal",97,154.3,1516765,273,"AverageApproachDistanceBogeyorWorse",2006
26,26,"Trevor Immelman",86,154.3,966811,174,"AverageApproachDistanceBogeyorWorse",2006
26,26,"Charles Warren",93,154.3,1238483,223,"AverageApproachDistanceBogeyorWorse",2006
29,29,"Ryan Palmer",101,154.4,1467392,264,"AverageApproachDistanceBogeyorWorse",2006
30,30,"Bubba Watson",83,154.7,1141594,205,"AverageApproachDistanceBogeyorWorse",2006
31,31,"Retief Goosen",68,154.8,730260,131,"AverageApproachDistanceBogeyorWorse",2006
32,32,"Ryan Moore",68,154.9,992664,178,"AverageApproachDistanceBogeyorWorse",2006
33,33,"James Driscoll",80,155,1612126,289,"AverageApproachDistanceBogeyorWorse",2006
33,33,"JP Hayes",55,155,892726,160,"AverageApproachDistanceBogeyorWorse",2006
33,33,"Jeff Overton",95,155,1434379,257,"AverageApproachDistanceBogeyorWorse",2006
33,33,"Jimmy Walker",60,155,1065536,191,"AverageApproachDistanceBogeyorWorse",2006
37,37,"Jeff Gove",91,155.2,1151156,206,"AverageApproachDistanceBogeyorWorse",2006
37,37,"Len Mattiace",59,155.2,1084186,194,"AverageApproachDistanceBogeyorWorse",2006
37,37,"Rory Sabbatini",84,155.2,1061326,190,"AverageApproachDistanceBogeyorWorse",2006
37,37,"Vaughn Taylor",88,155.2,1374789,246,"AverageApproachDistanceBogeyorWorse",2006
37,37,"Bo Van Pelt",102,155.2,1452873,260,"AverageApproachDistanceBogeyorWorse",2006
42,42,"Danny Ellis",68,155.3,989545,177,"AverageApproachDistanceBogeyorWorse",2006
42,42,"Tom Lehman",70,155.3,822041,147,"AverageApproachDistanceBogeyorWorse",2006
42,42,"Kirk Triplett",58,155.3,821848,147,"AverageApproachDistanceBogeyorWorse",2006
45,45,"Hunter Mahan",98,155.4,1482427,265,"AverageApproachDistanceBogeyorWorse",2006
