"TotalDriving_RANKTHISWEEK_2007","TotalDriving_RANKLASTWEEK_2007","TotalDriving_PLAYERNAME_2007","TotalDriving_EVENTS_2007","TotalDriving_TOTAL_2007","TotalDriving_DISTANCERANK_2007","TotalDriving_ACCURACYRANK_2007","stat_name","year"
1,1,"Charles Warren",29,59,9,50,"TotalDriving",2007
2,2,"Mathew Goggin",30,70,26,44,"TotalDriving",2007
3,3,"Hunter Mahan",27,73,36,37,"TotalDriving",2007
4,4,"Jay Williamson",14,84,72,12,"TotalDriving",2007
5,5,"Kenny Perry",24,104,22,82,"TotalDriving",2007
6,6,"Cameron Beckman",29,109,69,40,"TotalDriving",2007
7,7,"Jason Gore",27,110,8,102,"TotalDriving",2007
8,8,"Sean OHair",28,113,34,79,"TotalDriving",2007
9,9,"John Senden",27,115,55,60,"TotalDriving",2007
10,10,"DJ Trahan",30,116,48,68,"TotalDriving",2007
11,11,"Boo Weekley",29,118,37,81,"TotalDriving",2007
12,12,"Bill Haas",30,120,11,109,"TotalDriving",2007
13,13,"Briny Baird",31,121,66,55,"TotalDriving",2007
14,14,"Jeff Overton",19,122,24,98,"TotalDriving",2007
15,15,"Matt Hendrix",24,129,15,114,"TotalDriving",2007
16,16,"Alex Cejka",25,130,94,36,"TotalDriving",2007
16,16,"Greg Owen",29,130,40,90,"TotalDriving",2007
18,18,"Peter Lonard",27,131,80,51,"TotalDriving",2007
19,19,"Jeff Brehaut",21,133,76,57,"TotalDriving",2007
20,20,"Lucas Glover",29,135,46,89,"TotalDriving",2007
20,20,"Billy Mayfair",30,135,117,18,"TotalDriving",2007
22,22,"Daisuke Maruyama",28,140,98,42,"TotalDriving",2007
22,22,"Chris Stroud",24,140,87,53,"TotalDriving",2007
24,24,"Ted Purdy",33,142,57,85,"TotalDriving",2007
25,25,"Kent Jones",30,143,111,32,"TotalDriving",2007
26,26,"Ken Duke",31,144,103,41,"TotalDriving",2007
26,26,"Joe Durant",28,144,139,5,"TotalDriving",2007
26,26,"Jim Rutledge",23,144,99,45,"TotalDriving",2007
29,29,"Michael Allen",22,146,61,85,"TotalDriving",2007
29,29,"Anthony Kim",26,146,12,134,"TotalDriving",2007
31,31,"Nick Watney",26,147,17,130,"TotalDriving",2007
32,32,"Jeff Gove",30,148,84,64,"TotalDriving",2007
32,32,"JJ Henry",26,148,54,94,"TotalDriving",2007
34,34,"Bubba Dickerson",19,149,25,124,"TotalDriving",2007
35,35,"Tommy Armour III",24,150,126,24,"TotalDriving",2007
35,35,"Rich Beem",29,150,79,71,"TotalDriving",2007
37,37,"Robert Allenby",28,154,22,132,"TotalDriving",2007
38,38,"David Branshaw",30,155,93,62,"TotalDriving",2007
39,39,"Steve Allan",18,156,12,144,"TotalDriving",2007
40,40,"Ryan Armour",32,157,135,22,"TotalDriving",2007
41,41,"John Merrick",29,158,33,125,"TotalDriving",2007
42,42,"Mark Calcavecchia",28,159,86,73,"TotalDriving",2007
43,43,"John Rollins",29,162,85,77,"TotalDriving",2007
43,43,"Jaco Van Zyl",21,162,131,31,"TotalDriving",2007
45,45,"Tiger Woods",16,164,12,152,"TotalDriving",2007
46,46,"Steve Marino",31,165,29,136,"TotalDriving",2007
47,47,"Pat Perez",27,166,37,129,"TotalDriving",2007
48,48,"Darron Stiles",24,167,134,33,"TotalDriving",2007
49,49,"Bo Van Pelt",30,168,50,118,"TotalDriving",2007
50,50,"Steve Lowery",22,169,67,102,"TotalDriving",2007
50,50,"Camilo Villegas",24,169,27,142,"TotalDriving",2007
52,52,"Mathias Gronberg",31,170,16,154,"TotalDriving",2007
53,53,"Tom Byrum",20,171,156,15,"TotalDriving",2007
53,53,"JB Holmes",24,171,3,168,"TotalDriving",2007
55,55,"Justin Leonard",29,173,148,25,"TotalDriving",2007
56,56,"Jim Furyk",23,174,171,3,"TotalDriving",2007
56,56,"Ryan Moore",28,174,82,92,"TotalDriving",2007
58,58,"Craig Barlow",16,176,45,131,"TotalDriving",2007
58,58,"Steve Wheatcroft",25,176,122,54,"TotalDriving",2007
58,58,"Charlie Wi",27,176,124,52,"TotalDriving",2007
61,61,"Zach Johnson",23,177,169,8,"TotalDriving",2007
61,61,"George McNeill",30,177,28,149,"TotalDriving",2007
61,61,"Shaun Micheel",29,177,138,39,"TotalDriving",2007
61,61,"Brett Wetterich",28,177,7,170,"TotalDriving",2007
61,61,"Mark Wilson",25,177,131,46,"TotalDriving",2007
66,66,"Steve Elkington",25,178,164,14,"TotalDriving",2007
66,66,"Adam Scott",19,178,18,160,"TotalDriving",2007
66,66,"Heath Slocum",28,178,172,6,"TotalDriving",2007
69,69,"Bart Bryant",25,179,160,19,"TotalDriving",2007
70,70,"Michael Boyd",21,180,176,4,"TotalDriving",2007
70,70,"Joey Sindelar",25,180,111,69,"TotalDriving",2007
72,72,"Tag Ridings",18,181,6,175,"TotalDriving",2007
72,72,"Jason Schultz",22,181,43,138,"TotalDriving",2007
72,72,"Duffy Waldorf",23,181,107,74,"TotalDriving",2007
75,75,"Chris Tidland",21,182,62,120,"TotalDriving",2007
76,76,"Jason Bohn",17,183,111,72,"TotalDriving",2007
77,77,"Glen Day",27,184,164,20,"TotalDriving",2007
77,77,"Chris Riley",17,184,167,17,"TotalDriving",2007
79,79,"Brian Davis",28,185,172,13,"TotalDriving",2007
79,79,"Troy Matteson",26,185,37,148,"TotalDriving",2007
81,81,"Robert Gamez",30,186,159,27,"TotalDriving",2007
81,81,"Tom Johnson",27,186,103,83,"TotalDriving",2007
83,83,"Paul Stankowski",18,188,43,145,"TotalDriving",2007
83,83,"Scott Verplank",23,188,172,16,"TotalDriving",2007
83,83,"Mike Weir",23,188,92,96,"TotalDriving",2007
86,86,"John Mallinger",29,189,163,26,"TotalDriving",2007
86,86,"Bubba Watson",26,189,1,188,"TotalDriving",2007
88,88,"Scott Gutschewski",22,190,5,185,"TotalDriving",2007
89,89,"Will Ma Kenzie",30,191,74,117,"TotalDriving",2007
89,89,"Justin Rose",16,191,96,95,"TotalDriving",2007
91,91,"Jose Coceres",17,192,191,1,"TotalDriving",2007
92,92,"Trevor Immelman",21,193,118,75,"TotalDriving",2007
93,93,"Fred Funk",22,195,193,2,"TotalDriving",2007
93,93,"JP Hayes",28,195,69,126,"TotalDriving",2007
93,93,"Charley Hoffman",30,195,19,176,"TotalDriving",2007
93,93,"Tripp Isenhour",32,195,111,84,"TotalDriving",2007
97,97,"Jerry Kelly",28,196,162,34,"TotalDriving",2007
98,98,"Craig Bowden",25,197,190,7,"TotalDriving",2007
98,98,"Robert Garrigus",28,197,4,193,"TotalDriving",2007
98,98,"Michael Sim",17,197,78,119,"TotalDriving",2007
101,101,"John Daly",24,198,2,196,"TotalDriving",2007
101,101,"Doug LaBelle II",33,198,187,11,"TotalDriving",2007
101,101,"Jarrod Lyle",24,198,65,133,"TotalDriving",2007
104,104,"Mark Brooks",18,199,189,10,"TotalDriving",2007
104,104,"Harrison Frazar",32,199,9,190,"TotalDriving",2007
106,106,"Michael Putnam",29,200,53,147,"TotalDriving",2007
107,107,"Stephen Ames",23,201,154,47,"TotalDriving",2007
108,108,"Chris Couch",30,202,20,182,"TotalDriving",2007
108,108,"Kyle Reifers",27,202,41,161,"TotalDriving",2007
108,108,"Kirk Triplett",25,202,181,21,"TotalDriving",2007
111,111,"Brian Gay",32,203,194,9,"TotalDriving",2007
111,111,"Davis Love III",21,203,34,169,"TotalDriving",2007
111,111,"Kevin Stadler",31,203,62,141,"TotalDriving",2007
114,114,"Jeff Maggert",26,205,142,63,"TotalDriving",2007
114,114,"Tom Pernice Jr",31,205,156,49,"TotalDriving",2007
116,116,"Tim Clark",19,206,178,28,"TotalDriving",2007
117,117,"Steve Flesch",31,207,107,100,"TotalDriving",2007
