"BestRoundsin60sStreak_RANKTHISWEEK_2011","BestRoundsin60sStreak_RANKLASTWEEK_2011","BestRoundsin60sStreak_PLAYERNAME_2011","BestRoundsin60sStreak__2011","BestRoundsin60sStreak_CAREERBESTSTREAK_2011","BestRoundsin60sStreak_BESTYTDSTREAK_2011","BestRoundsin60sStreak_CURRENTSTREAK_2011","stat_name","year"
1,1,"Bob Estes",NA,17,2,NA,"BestRoundsin60sStreak",2011
2,2,"Charles Howell III",NA,16,9,NA,"BestRoundsin60sStreak",2011
3,3,"Chris DiMarco",NA,14,3,NA,"BestRoundsin60sStreak",2011
3,3,"Scott Hoch",NA,14,NA,NA,"BestRoundsin60sStreak",2011
3,3,"Tiger Woods",NA,14,3,NA,"BestRoundsin60sStreak",2011
6,6,"Brendon de Jonge",NA,13,4,NA,"BestRoundsin60sStreak",2011
6,6,"Harrison Frazar",NA,13,4,NA,"BestRoundsin60sStreak",2011
6,6,"Davis Love III",NA,13,4,NA,"BestRoundsin60sStreak",2011
9,9,"Briny Baird",NA,12,12,NA,"BestRoundsin60sStreak",2011
9,9,"Joe Durant",NA,12,4,NA,"BestRoundsin60sStreak",2011
9,9,"Shigeki Maruyama",NA,12,2,NA,"BestRoundsin60sStreak",2011
9,9,"Mark OMeara",NA,12,1,NA,"BestRoundsin60sStreak",2011
9,9,"Tim Petrovic",NA,12,7,NA,"BestRoundsin60sStreak",2011
9,9,"Chris Riley",NA,12,4,NA,"BestRoundsin60sStreak",2011
9,9,"Kevin Sutherland",NA,12,4,NA,"BestRoundsin60sStreak",2011
9,9,"David Toms",NA,12,8,NA,"BestRoundsin60sStreak",2011
17,17,"Brian Bateman",NA,11,1,NA,"BestRoundsin60sStreak",2011
17,17,"Jonathan Byrd",NA,11,7,NA,"BestRoundsin60sStreak",2011
17,17,"Ben Crane",NA,11,4,NA,"BestRoundsin60sStreak",2011
17,17,"David Edwards",NA,11,NA,NA,"BestRoundsin60sStreak",2011
17,17,"Jim Furyk",NA,11,7,NA,"BestRoundsin60sStreak",2011
17,17,"JP Hayes",NA,11,3,NA,"BestRoundsin60sStreak",2011
17,17,"Jerry Kelly",NA,11,11,NA,"BestRoundsin60sStreak",2011
17,17,"Bernhard Langer",NA,11,NA,NA,"BestRoundsin60sStreak",2011
17,17,"Bruce Lietzke",NA,11,NA,NA,"BestRoundsin60sStreak",2011
17,17,"Mark McCumber",NA,11,NA,NA,"BestRoundsin60sStreak",2011
17,17,"Jerry Pate",NA,11,NA,NA,"BestRoundsin60sStreak",2011
17,17,"Kenny Perry",NA,11,2,NA,"BestRoundsin60sStreak",2011
