"AverageDistanceofPuttsmade_RANKTHISWEEK_2016","AverageDistanceofPuttsmade_RANKLASTWEEK_2016","AverageDistanceofPuttsmade_PLAYERNAME_2016","AverageDistanceofPuttsmade_ROUNDS_2016","AverageDistanceofPuttsmade_AVG_2016","AverageDistanceofPuttsmade_TOTALDISTINCHES_2016","AverageDistanceofPuttsmade_TOTALROUNDS_2016","AverageDistanceofPuttsmade_AVGDIST_2016","AverageDistanceofPuttsmade_BESTROUND_2016","stat_name","year"
1,1,"Matthew Fitzpatrick",23,NA,12452,12,NA,NA,"AverageDistanceofPuttsmade",2016
2,2,"Jason Day",36,NA,22122,22,NA,NA,"AverageDistanceofPuttsmade",2016
3,9,"Rory McIlroy",37,NA,21965,22,NA,NA,"AverageDistanceofPuttsmade",2016
4,6,"Ben Martin",48,NA,39833,40,NA,NA,"AverageDistanceofPuttsmade",2016
5,4,"Steve Stricker",25,NA,20856,21,NA,NA,"AverageDistanceofPuttsmade",2016
6,5,"Jamie Donaldson",28,NA,20752,21,NA,NA,"AverageDistanceofPuttsmade",2016
7,3,"Brian Stuard",24,NA,17530,18,NA,NA,"AverageDistanceofPuttsmade",2016
8,10,"Charley Hoffman",49,NA,34873,36,NA,NA,"AverageDistanceofPuttsmade",2016
9,11,"Zach Johnson",42,NA,31947,33,NA,NA,"AverageDistanceofPuttsmade",2016
10,11,"Patton Kizzire",57,NA,42529,44,NA,NA,"AverageDistanceofPuttsmade",2016
10,7,"Ryan Moore",40,NA,26101,27,NA,NA,"AverageDistanceofPuttsmade",2016
12,14,"Phil Mickelson",37,NA,25941,27,NA,NA,"AverageDistanceofPuttsmade",2016
13,13,"Russell Henley",42,NA,35326,37,NA,NA,"AverageDistanceofPuttsmade",2016
14,14,"Brooks Koepka",39,NA,26671,28,NA,NA,"AverageDistanceofPuttsmade",2016
14,7,"Jhonattan Vegas",49,NA,34310,36,NA,NA,"AverageDistanceofPuttsmade",2016
16,19,"Michael Kim",62,NA,48556,51,NA,NA,"AverageDistanceofPuttsmade",2016
17,16,"Bernd Wiesberger",23,NA,11407,12,NA,NA,"AverageDistanceofPuttsmade",2016
18,16,"Brendon Todd",43,NA,32148,34,NA,NA,"AverageDistanceofPuttsmade",2016
19,18,"Adam Hadwin",53,NA,44334,47,NA,NA,"AverageDistanceofPuttsmade",2016
19,27,"JB Holmes",39,NA,26403,28,NA,NA,"AverageDistanceofPuttsmade",2016
21,20,"Morgan Hoffmann",43,NA,32940,35,NA,NA,"AverageDistanceofPuttsmade",2016
22,44,"Andrew Loupe",50,NA,38542,41,NA,NA,"AverageDistanceofPuttsmade",2016
23,21,"Jordan Spieth",34,NA,18757,20,NA,NA,"AverageDistanceofPuttsmade",2016
24,23,"Marc Leishman",41,NA,23272,25,NA,NA,"AverageDistanceofPuttsmade",2016
25,24,"Dustin Johnson",37,NA,18597,20,NA,NA,"AverageDistanceofPuttsmade",2016
25,40,"George McNeill",33,NA,26036,28,NA,NA,"AverageDistanceofPuttsmade",2016
27,30,"Brian Harman",60,NA,43610,47,NA,NA,"AverageDistanceofPuttsmade",2016
27,22,"Sean OHair",45,NA,37133,40,NA,NA,"AverageDistanceofPuttsmade",2016
29,24,"Kevin Kisner",49,NA,30493,33,NA,NA,"AverageDistanceofPuttsmade",2016
29,27,"Andy Sullivan",25,NA,14781,16,NA,NA,"AverageDistanceofPuttsmade",2016
31,74,"Ollie Schniederjans",23,NA,17515,19,NA,NA,"AverageDistanceofPuttsmade",2016
31,43,"Adam Scott",39,NA,22127,24,NA,NA,"AverageDistanceofPuttsmade",2016
33,66,"Jonas Blixt",46,NA,33932,37,NA,NA,"AverageDistanceofPuttsmade",2016
34,31,"Derek Fathauer",58,NA,39403,43,NA,NA,"AverageDistanceofPuttsmade",2016
35,34,"Robert Allenby",35,NA,22857,25,NA,NA,"AverageDistanceofPuttsmade",2016
35,39,"Hudson Swafford",52,NA,35639,39,NA,NA,"AverageDistanceofPuttsmade",2016
37,36,"Sam Saunders",40,NA,23726,26,NA,NA,"AverageDistanceofPuttsmade",2016
38,53,"Ernie Els",34,NA,25502,28,NA,NA,"AverageDistanceofPuttsmade",2016
38,37,"Hiroshi Iwata",51,NA,30974,34,NA,NA,"AverageDistanceofPuttsmade",2016
40,31,"Ben Crane",48,NA,33671,37,NA,NA,"AverageDistanceofPuttsmade",2016
41,53,"Charles Howell III",63,NA,45473,50,NA,NA,"AverageDistanceofPuttsmade",2016
42,31,"Colt Knost",56,NA,38152,42,NA,NA,"AverageDistanceofPuttsmade",2016
42,26,"Scott Pinckney",53,NA,35402,39,NA,NA,"AverageDistanceofPuttsmade",2016
44,57,"DH Lee",35,NA,21743,24,NA,NA,"AverageDistanceofPuttsmade",2016
44,79,"Steve Marino",40,NA,24475,27,NA,NA,"AverageDistanceofPuttsmade",2016
44,50,"William McGirt",54,NA,43489,48,NA,NA,"AverageDistanceofPuttsmade",2016
44,47,"Rory Sabbatini",40,NA,22644,25,NA,NA,"AverageDistanceofPuttsmade",2016
48,42,"Zac Blair",56,NA,37972,42,NA,NA,"AverageDistanceofPuttsmade",2016
48,41,"Peter Malnati",53,NA,37975,42,NA,NA,"AverageDistanceofPuttsmade",2016
48,56,"Chris Stroud",52,NA,37059,41,NA,NA,"AverageDistanceofPuttsmade",2016
51,50,"Brian Gay",22,NA,16256,18,NA,NA,"AverageDistanceofPuttsmade",2016
52,49,"Shane Lowry",35,NA,18011,20,NA,NA,"AverageDistanceofPuttsmade",2016
53,34,"Kelly Kraft",35,NA,18006,20,NA,NA,"AverageDistanceofPuttsmade",2016
53,110,"Tim Wilkinson",40,NA,23401,26,NA,NA,"AverageDistanceofPuttsmade",2016
55,47,"Kyle Reifers",63,NA,43167,48,NA,NA,"AverageDistanceofPuttsmade",2016
56,96,"Chesson Hadley",51,NA,34108,38,NA,NA,"AverageDistanceofPuttsmade",2016
57,38,"Rob Oppenheim",37,NA,25109,28,NA,NA,"AverageDistanceofPuttsmade",2016
58,65,"David Hearn",55,NA,37613,42,NA,NA,"AverageDistanceofPuttsmade",2016
