"AverageApproachShotDistance_RANKTHISWEEK_2011","AverageApproachShotDistance_RANKLASTWEEK_2011","AverageApproachShotDistance_PLAYERNAME_2011","AverageApproachShotDistance_ROUNDS_2011","AverageApproachShotDistance_AVG_2011","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2011","AverageApproachShotDistance_TOTALHOLES_2011","stat_name","year"
1,1,"Alex Prugh",82,157.7,7194454,1267,"AverageApproachShotDistance",2011
2,2,"Paul Goydos",81,159.5,7624644,1328,"AverageApproachShotDistance",2011
2,2,"Scott Stallings",84,159.5,7109120,1238,"AverageApproachShotDistance",2011
4,4,"Brian Gay",90,159.8,7634981,1327,"AverageApproachShotDistance",2011
5,5,"David Hearn",88,160,7847366,1362,"AverageApproachShotDistance",2011
6,6,"Andres Gonzales",60,160.5,4744968,821,"AverageApproachShotDistance",2011
7,7,"Harrison Frazar",58,160.6,4329575,749,"AverageApproachShotDistance",2011
8,8,"Joe Ogilvie",75,160.7,6324477,1093,"AverageApproachShotDistance",2011
9,9,"Michael Bradley",74,161,6122436,1056,"AverageApproachShotDistance",2011
9,9,"David Duval",67,161,6029124,1040,"AverageApproachShotDistance",2011
9,9,"Chris Riley",76,161,7065116,1219,"AverageApproachShotDistance",2011
12,12,"Justin Hicks",60,161.1,4540879,783,"AverageApproachShotDistance",2011
12,12,"Martin Piller",63,161.1,5393509,930,"AverageApproachShotDistance",2011
14,14,"Heath Slocum",89,161.2,7682678,1324,"AverageApproachShotDistance",2011
15,15,"JB Holmes",57,161.3,4912997,846,"AverageApproachShotDistance",2011
16,16,"Stephen Ames",69,161.4,6234413,1073,"AverageApproachShotDistance",2011
16,16,"Shane Bertsch",62,161.4,5413971,932,"AverageApproachShotDistance",2011
18,18,"Lee Janzen",62,161.5,5221323,898,"AverageApproachShotDistance",2011
19,19,"Jim Herman",69,161.7,5943805,1021,"AverageApproachShotDistance",2011
20,20,"Justin Leonard",82,161.8,7717717,1325,"AverageApproachShotDistance",2011
21,21,"Cameron Beckman",71,161.9,6685139,1147,"AverageApproachShotDistance",2011
21,21,"Bio Kim",71,161.9,6075010,1042,"AverageApproachShotDistance",2011
21,21,"Rocco Mediate",53,161.9,4994775,857,"AverageApproachShotDistance",2011
21,21,"Jim Renner",65,161.9,5513310,946,"AverageApproachShotDistance",2011
25,25,"JP Hayes",56,162,5003615,858,"AverageApproachShotDistance",2011
26,26,"Chris DiMarco",93,162.1,8582003,1471,"AverageApproachShotDistance",2011
27,27,"Will Strickler",51,162.2,4489302,769,"AverageApproachShotDistance",2011
28,28,"Kevin Kisner",70,162.3,5965575,1021,"AverageApproachShotDistance",2011
28,28,"Nate Smith",66,162.3,5538642,948,"AverageApproachShotDistance",2011
30,30,"Steve Elkington",50,162.4,4401156,753,"AverageApproachShotDistance",2011
30,30,"Tim Herron",85,162.4,8063836,1379,"AverageApproachShotDistance",2011
30,30,"Nick OHern",89,162.4,7965059,1362,"AverageApproachShotDistance",2011
33,33,"Steven Bowditch",86,162.5,8145000,1392,"AverageApproachShotDistance",2011
33,33,"Vaughn Taylor",89,162.5,8679819,1484,"AverageApproachShotDistance",2011
35,35,"Keegan Bradley",91,162.6,8049015,1375,"AverageApproachShotDistance",2011
35,35,"Colt Knost",80,162.6,7008052,1197,"AverageApproachShotDistance",2011
