"Percentageofpotentialmoneywon_RANKTHISWEEK_2013","Percentageofpotentialmoneywon_RANKLASTWEEK_2013","Percentageofpotentialmoneywon_PLAYERNAME_2013","Percentageofpotentialmoneywon_EVENTS_2013","Percentageofpotentialmoneywon_Pct_2013","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2013","Percentageofpotentialmoneywon_POTENTIALMONEY_2013","stat_name","year"
1,1,"Tiger Woods",16,38.62,8553438,22147826,"Percentageofpotentialmoneywon",2013
2,2,"Henrik Stenson",18,27.01,6388229,23653826,"Percentageofpotentialmoneywon",2013
3,3,"Steve Stricker",13,24.75,4440531,17939000,"Percentageofpotentialmoneywon",2013
4,4,"Adam Scott",16,22.04,4892610,22201826,"Percentageofpotentialmoneywon",2013
5,5,"Phil Mickelson",21,20.05,5495793,27415826,"Percentageofpotentialmoneywon",2013
6,6,"Matt Kuchar",23,18.9,5616808,29713826,"Percentageofpotentialmoneywon",2013
7,7,"Brandt Snedeker",23,18.45,5318087,28819826,"Percentageofpotentialmoneywon",2013
8,8,"Justin Rose",17,17.77,4146148,23335826,"Percentageofpotentialmoneywon",2013
9,9,"Jordan Spieth",23,14.26,3879819,27205826,"Percentageofpotentialmoneywon",2013
10,10,"Zach Johnson",24,13.42,4044508,30145826,"Percentageofpotentialmoneywon",2013
11,11,"Jason Day",21,13.06,3625029,27763826,"Percentageofpotentialmoneywon",2013
12,12,"Keegan Bradley",25,11.35,3636812,32035826,"Percentageofpotentialmoneywon",2013
13,13,"Miguel Angel Jimenez",3,11.2,491547,4387826,"Percentageofpotentialmoneywon",2013
14,14,"Jim Furyk",22,11.12,3204779,28807826,"Percentageofpotentialmoneywon",2013
15,15,"Shane Bertsch",1,11.11,112000,1008000,"Percentageofpotentialmoneywon",2013
15,15,"Danny Lee",1,11.11,112000,1008000,"Percentageofpotentialmoneywon",2013
17,17,"Billy Horschel",26,11.01,3501703,31801826,"Percentageofpotentialmoneywon",2013
18,18,"Jason Dufner",22,10.85,3132267,28867826,"Percentageofpotentialmoneywon",2013
19,19,"Bill Haas",25,10.81,3475562,32143826,"Percentageofpotentialmoneywon",2013
20,20,"Dustin Johnson",22,10.33,2963213,28687826,"Percentageofpotentialmoneywon",2013
21,21,"Kevin Streelman",25,10.13,3088284,30487826,"Percentageofpotentialmoneywon",2013
22,22,"Graeme McDowell",16,10.01,2174595,21733826,"Percentageofpotentialmoneywon",2013
23,23,"Jonathan Randolph",1,10,54000,540000,"Percentageofpotentialmoneywon",2013
24,24,"Franklin Corpening",1,9.72,112000,1152000,"Percentageofpotentialmoneywon",2013
25,25,"Sergio Garcia",17,9.71,2251138,23191826,"Percentageofpotentialmoneywon",2013
26,26,"Hunter Mahan",25,9.5,3036163,31975826,"Percentageofpotentialmoneywon",2013
27,27,"Webb Simpson",25,9.27,2957581,31909826,"Percentageofpotentialmoneywon",2013
28,28,"Graham DeLaet",26,9.2,2834900,30823826,"Percentageofpotentialmoneywon",2013
29,29,"Charl Schwartzel",19,8.81,2256722,25603826,"Percentageofpotentialmoneywon",2013
