"Front9Round1ScoringAverage_RANKTHISWEEK_2013","Front9Round1ScoringAverage_RANKLASTWEEK_2013","Front9Round1ScoringAverage_PLAYERNAME_2013","Front9Round1ScoringAverage__2013","Front9Round1ScoringAverage_AVG_2013","Front9Round1ScoringAverage_TOTALSTROKES_2013","Front9Round1ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Sergio Garcia",NA,34,544,16,"Front9Round1ScoringAverage",2013
2,2,"Chris Kirk",NA,34.04,817,24,"Front9Round1ScoringAverage",2013
3,3,"Brad Fritsch",NA,34.13,785,23,"Front9Round1ScoringAverage",2013
4,4,"Tiger Woods",NA,34.4,516,15,"Front9Round1ScoringAverage",2013
5,5,"Matt Jones",NA,34.42,826,24,"Front9Round1ScoringAverage",2013
6,6,"Justin Rose",NA,34.44,551,16,"Front9Round1ScoringAverage",2013
7,7,"Jimmy Walker",NA,34.46,827,24,"Front9Round1ScoringAverage",2013
8,8,"Zach Johnson",NA,34.48,793,23,"Front9Round1ScoringAverage",2013
9,9,"Henrik Stenson",NA,34.65,589,17,"Front9Round1ScoringAverage",2013
10,10,"Bob Estes",NA,34.67,624,18,"Front9Round1ScoringAverage",2013
10,10,"Jeff Overton",NA,34.67,832,24,"Front9Round1ScoringAverage",2013
12,12,"Rory Sabbatini",NA,34.68,867,25,"Front9Round1ScoringAverage",2013
13,13,"Jordan Spieth",NA,34.7,798,23,"Front9Round1ScoringAverage",2013
14,14,"Keegan Bradley",NA,34.71,833,24,"Front9Round1ScoringAverage",2013
14,14,"Brian Gay",NA,34.71,833,24,"Front9Round1ScoringAverage",2013
16,16,"DJ Trahan",NA,34.73,521,15,"Front9Round1ScoringAverage",2013
17,17,"Charley Hoffman",NA,34.74,799,23,"Front9Round1ScoringAverage",2013
18,18,"Roberto Castro",NA,34.79,1009,29,"Front9Round1ScoringAverage",2013
19,19,"Graham DeLaet",NA,34.81,905,26,"Front9Round1ScoringAverage",2013
20,20,"Justin Leonard",NA,34.83,836,24,"Front9Round1ScoringAverage",2013
20,20,"Brandt Snedeker",NA,34.83,801,23,"Front9Round1ScoringAverage",2013
22,22,"Matt Kuchar",NA,34.86,767,22,"Front9Round1ScoringAverage",2013
23,23,"Nicholas Thompson",NA,34.9,1012,29,"Front9Round1ScoringAverage",2013
24,24,"James Hahn",NA,34.92,873,25,"Front9Round1ScoringAverage",2013
24,24,"Kevin Stadler",NA,34.92,838,24,"Front9Round1ScoringAverage",2013
24,24,"Gary Woodland",NA,34.92,873,25,"Front9Round1ScoringAverage",2013
27,27,"Charl Schwartzel",NA,34.94,629,18,"Front9Round1ScoringAverage",2013
28,28,"Harris English",NA,35,910,26,"Front9Round1ScoringAverage",2013
28,28,"Jerry Kelly",NA,35,770,22,"Front9Round1ScoringAverage",2013
28,28,"Dicky Pride",NA,35,770,22,"Front9Round1ScoringAverage",2013
31,31,"Jonas Blixt",NA,35.04,841,24,"Front9Round1ScoringAverage",2013
31,31,"Charles Howell III",NA,35.04,876,25,"Front9Round1ScoringAverage",2013
31,31,"Daniel Summerhays",NA,35.04,911,26,"Front9Round1ScoringAverage",2013
34,34,"Jason Day",NA,35.05,701,20,"Front9Round1ScoringAverage",2013
34,34,"Phil Mickelson",NA,35.05,736,21,"Front9Round1ScoringAverage",2013
34,34,"Chez Reavie",NA,35.05,771,22,"Front9Round1ScoringAverage",2013
37,37,"Luke Donald",NA,35.06,561,16,"Front9Round1ScoringAverage",2013
38,38,"Peter Hanson",NA,35.08,456,13,"Front9Round1ScoringAverage",2013
38,38,"David Hearn",NA,35.08,912,26,"Front9Round1ScoringAverage",2013
40,40,"Jason Bohn",NA,35.09,807,23,"Front9Round1ScoringAverage",2013
40,40,"John Merrick",NA,35.09,807,23,"Front9Round1ScoringAverage",2013
40,40,"Bryce Molder",NA,35.09,807,23,"Front9Round1ScoringAverage",2013
43,43,"Brian Davis",NA,35.11,983,28,"Front9Round1ScoringAverage",2013
