"Puttingfrom510_RANKTHISWEEK_2011","Puttingfrom510_RANKLASTWEEK_2011","Puttingfrom510_PLAYERNAME_2011","Puttingfrom510_ROUNDS_2011","Puttingfrom510_Pct_2011","Puttingfrom510_ATTEMPTS_2011","Puttingfrom510_PUTTSMADE_2011","stat_name","year"
1,1,"Luke Donald",73,66.38,235,156,"Puttingfrom510",2011
2,2,"Bryce Molder",82,65.69,274,180,"Puttingfrom510",2011
3,3,"Steve Stricker",70,64.83,236,153,"Puttingfrom510",2011
4,4,"Nate Smith",66,64.76,227,147,"Puttingfrom510",2011
5,5,"Zach Johnson",79,63.81,257,164,"Puttingfrom510",2011
6,6,"Steve Flesch",88,63.76,367,234,"Puttingfrom510",2011
7,7,"Nick Watney",80,63.53,266,169,"Puttingfrom510",2011
8,8,"Jerry Kelly",85,63.12,263,166,"Puttingfrom510",2011
9,9,"Freddie Jacobson",92,62.98,262,165,"Puttingfrom510",2011
10,10,"Geoff Ogilvy",69,62.6,254,159,"Puttingfrom510",2011
11,11,"Aaron Baddeley",77,61.73,243,150,"Puttingfrom510",2011
12,12,"Ian Poulter",52,61.31,168,103,"Puttingfrom510",2011
13,13,"John Senden",94,61.2,299,183,"Puttingfrom510",2011
14,14,"Kevin Streelman",90,61.09,293,179,"Puttingfrom510",2011
15,15,"Blake Adams",116,60.98,451,275,"Puttingfrom510",2011
16,16,"Ryan Moore",79,60.56,251,152,"Puttingfrom510",2011
17,17,"Ben Martin",74,60.55,289,175,"Puttingfrom510",2011
18,18,"Andres Romero",77,60.33,300,181,"Puttingfrom510",2011
19,19,"Charlie Wi",83,60.25,317,191,"Puttingfrom510",2011
20,20,"Jason Day",76,60.24,254,153,"Puttingfrom510",2011
21,21,"Tommy Gainey",104,60.2,392,236,"Puttingfrom510",2011
22,22,"Greg Chalmers",88,60.18,334,201,"Puttingfrom510",2011
23,23,"Angel Cabrera",50,60,160,96,"Puttingfrom510",2011
23,23,"Ben Curtis",66,60,260,156,"Puttingfrom510",2011
23,23,"DA Points",89,60,320,192,"Puttingfrom510",2011
26,26,"Adam Scott",60,59.81,209,125,"Puttingfrom510",2011
27,27,"Justin Rose",79,59.78,271,162,"Puttingfrom510",2011
28,28,"YE Yang",63,59.64,166,99,"Puttingfrom510",2011
29,29,"Andres Gonzales",60,59.63,218,130,"Puttingfrom510",2011
30,30,"Troy Matteson",91,59.59,339,202,"Puttingfrom510",2011
31,31,"Dean Wilson",62,59.58,240,143,"Puttingfrom510",2011
32,32,"Johnson Wagner",81,59.57,282,168,"Puttingfrom510",2011
33,33,"Tim Herron",85,59.55,309,184,"Puttingfrom510",2011
34,34,"Mark Wilson",89,59.5,279,166,"Puttingfrom510",2011
35,35,"Billy Horschel",75,59.41,239,142,"Puttingfrom510",2011
36,36,"Steven Bowditch",86,59.18,343,203,"Puttingfrom510",2011
37,37,"Brian Gay",90,59.12,296,175,"Puttingfrom510",2011
38,38,"Anthony Kim",72,59.03,288,170,"Puttingfrom510",2011
39,39,"Charles Howell III",108,58.99,356,210,"Puttingfrom510",2011
40,40,"Tim Petrovic",88,58.9,309,182,"Puttingfrom510",2011
41,41,"Brendan Steele",89,58.88,304,179,"Puttingfrom510",2011
42,42,"Hunter Mahan",92,58.86,316,186,"Puttingfrom510",2011
43,43,"Jason Bohn",74,58.76,291,171,"Puttingfrom510",2011
44,44,"Scott Piercy",78,58.63,278,163,"Puttingfrom510",2011
45,45,"Retief Goosen",50,58.55,152,89,"Puttingfrom510",2011
