"EarlyLowestRound_RANKTHISWEEK_2008","EarlyLowestRound_RANKLASTWEEK_2008","EarlyLowestRound_PLAYERNAME_2008","EarlyLowestRound__2008","EarlyLowestRound_LOWRND_2008","stat_name","year"
1,1,"Steve Elkington",NA,61,"EarlyLowestRound",2008
1,1,"Carl Pettersson",NA,61,"EarlyLowestRound",2008
3,3,"Chad Campbell",NA,62,"EarlyLowestRound",2008
3,3,"Jim Furyk",NA,62,"EarlyLowestRound",2008
3,3,"Tim Herron",NA,62,"EarlyLowestRound",2008
3,3,"Zach Johnson",NA,62,"EarlyLowestRound",2008
3,3,"Hunter Mahan",NA,62,"EarlyLowestRound",2008
3,3,"Jim McGovern",NA,62,"EarlyLowestRound",2008
3,3,"Parker McLachlin",NA,62,"EarlyLowestRound",2008
3,3,"Kevin Streelman",NA,62,"EarlyLowestRound",2008
3,3,"DJ Trahan",NA,62,"EarlyLowestRound",2008
3,3,"Boo Weekley",NA,62,"EarlyLowestRound",2008
3,3,"Tim Wilkinson",NA,62,"EarlyLowestRound",2008
3,3,"Jay Williamson",NA,62,"EarlyLowestRound",2008
15,15,"Steve Allan",NA,63,"EarlyLowestRound",2008
15,15,"Michael Allen",NA,63,"EarlyLowestRound",2008
15,15,"Rich Beem",NA,63,"EarlyLowestRound",2008
15,15,"Ben Crane",NA,63,"EarlyLowestRound",2008
15,15,"Jason Dufner",NA,63,"EarlyLowestRound",2008
15,15,"Brad Elder",NA,63,"EarlyLowestRound",2008
15,15,"Nick Flanagan",NA,63,"EarlyLowestRound",2008
15,15,"Bob Heintz",NA,63,"EarlyLowestRound",2008
15,15,"Charley Hoffman",NA,63,"EarlyLowestRound",2008
15,15,"John Huston",NA,63,"EarlyLowestRound",2008
15,15,"Matt Kuchar",NA,63,"EarlyLowestRound",2008
15,15,"Martin Laird",NA,63,"EarlyLowestRound",2008
15,15,"Michael Letzig",NA,63,"EarlyLowestRound",2008
15,15,"Peter Lonard",NA,63,"EarlyLowestRound",2008
15,15,"Scott McCarron",NA,63,"EarlyLowestRound",2008
15,15,"George McNeill",NA,63,"EarlyLowestRound",2008
15,15,"Sean OHair",NA,63,"EarlyLowestRound",2008
15,15,"Pat Perez",NA,63,"EarlyLowestRound",2008
15,15,"Tom Pernice Jr",NA,63,"EarlyLowestRound",2008
15,15,"Adam Scott",NA,63,"EarlyLowestRound",2008
15,15,"Michael Sim",NA,63,"EarlyLowestRound",2008
15,15,"Vijay Singh",NA,63,"EarlyLowestRound",2008
15,15,"Bob Sowards",NA,63,"EarlyLowestRound",2008
15,15,"Steve Stricker",NA,63,"EarlyLowestRound",2008
15,15,"Esteban Toledo",NA,63,"EarlyLowestRound",2008
15,15,"Johnson Wagner",NA,63,"EarlyLowestRound",2008
15,15,"Mike Weir",NA,63,"EarlyLowestRound",2008
15,15,"Dean Wilson",NA,63,"EarlyLowestRound",2008
43,43,"Robert Allenby",NA,64,"EarlyLowestRound",2008
43,43,"Jason Allred",NA,64,"EarlyLowestRound",2008
43,43,"Eric Axley",NA,64,"EarlyLowestRound",2008
43,43,"Aaron Baddeley",NA,64,"EarlyLowestRound",2008
43,43,"Briny Baird",NA,64,"EarlyLowestRound",2008
43,43,"Cameron Beckman",NA,64,"EarlyLowestRound",2008
43,43,"Shane Bertsch",NA,64,"EarlyLowestRound",2008
43,43,"KJ Choi",NA,64,"EarlyLowestRound",2008
43,43,"Tim Clark",NA,64,"EarlyLowestRound",2008
43,43,"Brian Davis",NA,64,"EarlyLowestRound",2008
43,43,"Chris DiMarco",NA,64,"EarlyLowestRound",2008
43,43,"Luke Donald",NA,64,"EarlyLowestRound",2008
43,43,"Ken Duke",NA,64,"EarlyLowestRound",2008
43,43,"Joe Durant",NA,64,"EarlyLowestRound",2008
43,43,"Bob Estes",NA,64,"EarlyLowestRound",2008
43,43,"Philip Francis",NA,64,"EarlyLowestRound",2008
43,43,"Fred Funk",NA,64,"EarlyLowestRound",2008
43,43,"Mathew Goggin",NA,64,"EarlyLowestRound",2008
43,43,"Todd Hamilton",NA,64,"EarlyLowestRound",2008
43,43,"JJ Henry",NA,64,"EarlyLowestRound",2008
43,43,"JB Holmes",NA,64,"EarlyLowestRound",2008
43,43,"Trevor Immelman",NA,64,"EarlyLowestRound",2008
43,43,"Richard Johnson",NA,64,"EarlyLowestRound",2008
43,43,"Matt Jones",NA,64,"EarlyLowestRound",2008
43,43,"Cliff Kresge",NA,64,"EarlyLowestRound",2008
43,43,"Doug LaBelle II",NA,64,"EarlyLowestRound",2008
43,43,"Justin Leonard",NA,64,"EarlyLowestRound",2008
43,43,"Davis Love III",NA,64,"EarlyLowestRound",2008
43,43,"Steve Lowery",NA,64,"EarlyLowestRound",2008
43,43,"David Lutterus",NA,64,"EarlyLowestRound",2008
43,43,"Will Ma Kenzie",NA,64,"EarlyLowestRound",2008
43,43,"Jeff Maggert",NA,64,"EarlyLowestRound",2008
43,43,"John Mallinger",NA,64,"EarlyLowestRound",2008
43,43,"John Merrick",NA,64,"EarlyLowestRound",2008
43,43,"Jon Mills",NA,64,"EarlyLowestRound",2008
43,43,"Ryan Moore",NA,64,"EarlyLowestRound",2008
43,43,"Kevin Na",NA,64,"EarlyLowestRound",2008
43,43,"Arron Oberholser",NA,64,"EarlyLowestRound",2008
43,43,"Joe Ogilvie",NA,64,"EarlyLowestRound",2008
43,43,"Geoff Ogilvy",NA,64,"EarlyLowestRound",2008
43,43,"Deane Pappas",NA,64,"EarlyLowestRound",2008
43,43,"Brenden Pappas",NA,64,"EarlyLowestRound",2008
43,43,"Corey Pavin",NA,64,"EarlyLowestRound",2008
43,43,"Kenny Perry",NA,64,"EarlyLowestRound",2008
43,43,"Chez Reavie",NA,64,"EarlyLowestRound",2008
43,43,"Tag Ridings",NA,64,"EarlyLowestRound",2008
43,43,"John Rollins",NA,64,"EarlyLowestRound",2008
43,43,"Patrick Sheehan",NA,64,"EarlyLowestRound",2008
43,43,"Paul Stankowski",NA,64,"EarlyLowestRound",2008
43,43,"Scott Sterling",NA,64,"EarlyLowestRound",2008
43,43,"Chris Stroud",NA,64,"EarlyLowestRound",2008
43,43,"Vaughn Taylor",NA,64,"EarlyLowestRound",2008
43,43,"David Toms",NA,64,"EarlyLowestRound",2008
43,43,"Marc Turnesa",NA,64,"EarlyLowestRound",2008
43,43,"Bob Tway",NA,64,"EarlyLowestRound",2008
43,43,"Omar Uresti",NA,64,"EarlyLowestRound",2008
43,43,"Bo Van Pelt",NA,64,"EarlyLowestRound",2008
43,43,"Scott Verplank",NA,64,"EarlyLowestRound",2008
43,43,"Garrett Willis",NA,64,"EarlyLowestRound",2008
43,43,"YE Yang",NA,64,"EarlyLowestRound",2008
103,103,"Stephen Ames",NA,65,"EarlyLowestRound",2008
103,103,"Brian Bateman",NA,65,"EarlyLowestRound",2008
103,103,"Bart Bryant",NA,65,"EarlyLowestRound",2008
103,103,"Alejandro Canizares",NA,65,"EarlyLowestRound",2008
103,103,"Alex Cejka",NA,65,"EarlyLowestRound",2008
103,103,"Daniel Chopra",NA,65,"EarlyLowestRound",2008
103,103,"Chad Collins",NA,65,"EarlyLowestRound",2008
103,103,"Fred Couples",NA,65,"EarlyLowestRound",2008
103,103,"Ben Curtis",NA,65,"EarlyLowestRound",2008
103,103,"Robert Damron",NA,65,"EarlyLowestRound",2008
103,103,"Jason Day",NA,65,"EarlyLowestRound",2008
103,103,"Todd Demsey",NA,65,"EarlyLowestRound",2008
103,103,"James Driscoll",NA,65,"EarlyLowestRound",2008
103,103,"Harrison Frazar",NA,65,"EarlyLowestRound",2008
103,103,"Robert Garrigus",NA,65,"EarlyLowestRound",2008
103,103,"Lucas Glover",NA,65,"EarlyLowestRound",2008
103,103,"Jason Gore",NA,65,"EarlyLowestRound",2008
103,103,"Bill Haas",NA,65,"EarlyLowestRound",2008
103,103,"Hidemasa Hoshino",NA,65,"EarlyLowestRound",2008
103,103,"Freddie Jacobson",NA,65,"EarlyLowestRound",2008
