"GIRPuttingInside5_RANKTHISWEEK_2007","GIRPuttingInside5_RANKLASTWEEK_2007","GIRPuttingInside5_PLAYERNAME_2007","GIRPuttingInside5_ROUNDS_2007","GIRPuttingInside5_Pct_2007","GIRPuttingInside5_ATTEMPTS_2007","GIRPuttingInside5_PUTTSMADE_2007","stat_name","year"
1,1,"Steve Stricker",81,97.3,37,36,"GIRPuttingInside5",2007
2,2,"Eric Axley",107,96.88,32,31,"GIRPuttingInside5",2007
3,3,"JJ Henry",86,96.77,31,30,"GIRPuttingInside5",2007
4,4,"Duffy Waldorf",69,94.12,34,32,"GIRPuttingInside5",2007
5,5,"Rory Sabbatini",81,93.94,33,31,"GIRPuttingInside5",2007
6,6,"Jeff Brehaut",59,93.75,16,15,"GIRPuttingInside5",2007
7,7,"Steve Wheatcroft",73,93.1,29,27,"GIRPuttingInside5",2007
8,8,"Bubba Dickerson",51,92.86,28,26,"GIRPuttingInside5",2007
9,9,"Carl Pettersson",111,92.45,53,49,"GIRPuttingInside5",2007
10,10,"Jose Maria Olazabal",52,92.31,13,12,"GIRPuttingInside5",2007
11,11,"KJ Choi",87,91.89,37,34,"GIRPuttingInside5",2007
12,12,"Scott Gutschewski",67,90.91,22,20,"GIRPuttingInside5",2007
12,12,"Charles Howell III",89,90.91,33,30,"GIRPuttingInside5",2007
12,12,"Nick OHern",72,90.91,33,30,"GIRPuttingInside5",2007
15,15,"Phil Mickelson",73,90.7,43,39,"GIRPuttingInside5",2007
16,16,"Mark Brooks",53,90,20,18,"GIRPuttingInside5",2007
17,17,"George McNeill",95,89.8,49,44,"GIRPuttingInside5",2007
18,18,"Michael Boyd",61,89.66,29,26,"GIRPuttingInside5",2007
19,19,"Sergio Garcia",68,89.47,38,34,"GIRPuttingInside5",2007
20,20,"Jesper Parnevik",88,89.36,47,42,"GIRPuttingInside5",2007
21,21,"Kyle Reifers",71,89.29,28,25,"GIRPuttingInside5",2007
22,22,"Zach Johnson",76,89.19,37,33,"GIRPuttingInside5",2007
22,22,"Hunter Mahan",91,89.19,37,33,"GIRPuttingInside5",2007
24,24,"Bob Tway",103,89.13,46,41,"GIRPuttingInside5",2007
25,25,"Bob Estes",88,88.89,45,40,"GIRPuttingInside5",2007
26,26,"Ryan Armour",107,88.68,53,47,"GIRPuttingInside5",2007
27,27,"Jaco Van Zyl",51,88.46,26,23,"GIRPuttingInside5",2007
28,28,"Brian Gay",107,88.33,60,53,"GIRPuttingInside5",2007
29,29,"Brian Bateman",55,88,25,22,"GIRPuttingInside5",2007
29,29,"Tim Clark",66,88,25,22,"GIRPuttingInside5",2007
29,29,"Rocco Mediate",72,88,25,22,"GIRPuttingInside5",2007
32,32,"Steve Lowery",74,87.88,33,29,"GIRPuttingInside5",2007
32,32,"Chris Stroud",66,87.88,33,29,"GIRPuttingInside5",2007
34,34,"Nick Watney",87,87.8,41,36,"GIRPuttingInside5",2007
35,35,"Tim Petrovic",106,87.72,57,50,"GIRPuttingInside5",2007
36,36,"Tag Ridings",52,87.5,16,14,"GIRPuttingInside5",2007
36,36,"Jim Rutledge",59,87.5,16,14,"GIRPuttingInside5",2007
36,36,"Charlie Wi",90,87.5,32,28,"GIRPuttingInside5",2007
39,39,"Jerry Kelly",101,87.23,47,41,"GIRPuttingInside5",2007
40,40,"Boo Weekley",101,87.18,39,34,"GIRPuttingInside5",2007
41,41,"Jose Coceres",50,86.96,23,20,"GIRPuttingInside5",2007
42,42,"Billy Andrade",88,86.84,38,33,"GIRPuttingInside5",2007
43,43,"Aaron Baddeley",83,86.67,45,39,"GIRPuttingInside5",2007
43,43,"Chris Tidland",59,86.67,15,13,"GIRPuttingInside5",2007
43,43,"Jay Williamson",50,86.67,30,26,"GIRPuttingInside5",2007
46,46,"Vijay Singh",102,86.44,59,51,"GIRPuttingInside5",2007
47,47,"Steve Marino",106,86.27,51,44,"GIRPuttingInside5",2007
47,47,"Kevin Na",84,86.27,51,44,"GIRPuttingInside5",2007
49,49,"Todd Hamilton",76,86.21,29,25,"GIRPuttingInside5",2007
50,50,"Craig Lile",77,86.11,36,31,"GIRPuttingInside5",2007
51,51,"Frank Lickliter II",95,86.05,43,37,"GIRPuttingInside5",2007
52,52,"Brendon de Jonge",76,85.71,42,36,"GIRPuttingInside5",2007
52,52,"Anders Hansen",55,85.71,14,12,"GIRPuttingInside5",2007
52,52,"Davis Love III",66,85.71,28,24,"GIRPuttingInside5",2007
52,52,"Jeff Sluman",60,85.71,21,18,"GIRPuttingInside5",2007
56,56,"Brian Davis",101,85.45,55,47,"GIRPuttingInside5",2007
57,57,"Rich Beem",89,85.37,41,35,"GIRPuttingInside5",2007
58,58,"Ben Curtis",80,85.29,34,29,"GIRPuttingInside5",2007
58,58,"Brett Quigley",79,85.29,34,29,"GIRPuttingInside5",2007
60,60,"Adam Scott",69,85.19,27,23,"GIRPuttingInside5",2007
60,60,"Vaughn Taylor",91,85.19,54,46,"GIRPuttingInside5",2007
62,62,"JP Hayes",89,85.11,47,40,"GIRPuttingInside5",2007
63,63,"Jarrod Lyle",77,85,40,34,"GIRPuttingInside5",2007
64,64,"Jason Gore",86,84.91,53,45,"GIRPuttingInside5",2007
64,64,"Nathan Green",103,84.91,53,45,"GIRPuttingInside5",2007
66,66,"Michael Putnam",96,84.78,46,39,"GIRPuttingInside5",2007
67,67,"Joe Durant",88,84.62,39,33,"GIRPuttingInside5",2007
67,67,"Retief Goosen",50,84.62,13,11,"GIRPuttingInside5",2007
69,69,"Dicky Pride",71,84.38,32,27,"GIRPuttingInside5",2007
70,70,"John Mallinger",96,84.31,51,43,"GIRPuttingInside5",2007
71,71,"Luke Donald",69,83.87,31,26,"GIRPuttingInside5",2007
72,72,"Shigeki Maruyama",84,83.78,37,31,"GIRPuttingInside5",2007
73,73,"Brandt Snedeker",105,83.72,43,36,"GIRPuttingInside5",2007
74,74,"Bill Haas",93,83.33,42,35,"GIRPuttingInside5",2007
74,74,"Craig Kanada",109,83.33,48,40,"GIRPuttingInside5",2007
74,74,"Pat Perez",84,83.33,42,35,"GIRPuttingInside5",2007
74,74,"Bubba Watson",80,83.33,36,30,"GIRPuttingInside5",2007
