"Par3ScoringAverage_RANKTHISWEEK_2010","Par3ScoringAverage_RANKLASTWEEK_2010","Par3ScoringAverage_PLAYERNAME_2010","Par3ScoringAverage_ROUNDS_2010","Par3ScoringAverage_AVG_2010","Par3ScoringAverage_TOTALSTROKES_2010","Par3ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Paul Stankowski",62,2.94,736,250,"Par3ScoringAverage",2010
2,2,"Pat Perez",90,2.96,1074,363,"Par3ScoringAverage",2010
2,2,"Aron Price",70,2.96,835,282,"Par3ScoringAverage",2010
4,4,"David Duval",71,2.97,860,290,"Par3ScoringAverage",2010
4,4,"Michael Sim",64,2.97,743,250,"Par3ScoringAverage",2010
4,4,"David Toms",86,2.97,1026,346,"Par3ScoringAverage",2010
7,7,"Chad Campbell",95,2.98,1134,381,"Par3ScoringAverage",2010
7,7,"Spencer Levin",110,2.98,1340,449,"Par3ScoringAverage",2010
7,7,"Shaun Micheel",70,2.98,834,280,"Par3ScoringAverage",2010
7,7,"Jeff Overton",89,2.98,1050,352,"Par3ScoringAverage",2010
11,11,"Chad Collins",87,2.99,1058,354,"Par3ScoringAverage",2010
11,11,"Ryuji Imada",90,2.99,1092,365,"Par3ScoringAverage",2010
11,11,"Steve Stricker",73,2.99,837,280,"Par3ScoringAverage",2010
11,11,"Chris Tidland",77,2.99,924,309,"Par3ScoringAverage",2010
11,11,"Dean Wilson",54,2.99,658,220,"Par3ScoringAverage",2010
16,16,"Chris DiMarco",88,3,1089,363,"Par3ScoringAverage",2010
16,16,"Luke Donald",71,3,818,273,"Par3ScoringAverage",2010
16,16,"Tom Gillis",97,3,1184,395,"Par3ScoringAverage",2010
16,16,"Freddie Jacobson",83,3,1002,334,"Par3ScoringAverage",2010
16,16,"Zach Johnson",93,3,1065,355,"Par3ScoringAverage",2010
16,16,"Michael Letzig",84,3,1029,343,"Par3ScoringAverage",2010
16,16,"Heath Slocum",97,3,1144,381,"Par3ScoringAverage",2010
23,23,"Michael Bradley",77,3.01,926,308,"Par3ScoringAverage",2010
23,23,"Tim Clark",88,3.01,1034,343,"Par3ScoringAverage",2010
23,23,"Jason Day",82,3.01,977,325,"Par3ScoringAverage",2010
23,23,"Rickie Fowler",98,3.01,1174,390,"Par3ScoringAverage",2010
23,23,"John Mallinger",78,3.01,951,316,"Par3ScoringAverage",2010
23,23,"Kevin Na",94,3.01,1127,374,"Par3ScoringAverage",2010
23,23,"Mark Wilson",87,3.01,1055,351,"Par3ScoringAverage",2010
30,30,"Briny Baird",87,3.02,1071,355,"Par3ScoringAverage",2010
30,30,"Jason Bohn",84,3.02,1037,343,"Par3ScoringAverage",2010
30,30,"Greg Chalmers",93,3.02,1158,383,"Par3ScoringAverage",2010
30,30,"KJ Choi",82,3.02,993,329,"Par3ScoringAverage",2010
30,30,"Brendon de Jonge",114,3.02,1412,467,"Par3ScoringAverage",2010
30,30,"Steve Elkington",74,3.02,928,307,"Par3ScoringAverage",2010
30,30,"Jim Furyk",76,3.02,898,297,"Par3ScoringAverage",2010
30,30,"JP Hayes",79,3.02,977,323,"Par3ScoringAverage",2010
30,30,"Matt Kuchar",97,3.02,1130,374,"Par3ScoringAverage",2010
30,30,"Derek Lamely",81,3.02,999,331,"Par3ScoringAverage",2010
30,30,"Marc Leishman",87,3.02,1030,341,"Par3ScoringAverage",2010
30,30,"John Senden",103,3.02,1242,411,"Par3ScoringAverage",2010
42,42,"Woody Austin",93,3.03,1150,380,"Par3ScoringAverage",2010
42,42,"Paul Casey",64,3.03,673,222,"Par3ScoringAverage",2010
42,42,"Nathan Green",86,3.03,1055,348,"Par3ScoringAverage",2010
42,42,"Bill Haas",87,3.03,1067,352,"Par3ScoringAverage",2010
42,42,"Charles Howell III",103,3.03,1279,422,"Par3ScoringAverage",2010
42,42,"Lee Janzen",77,3.03,957,316,"Par3ScoringAverage",2010
42,42,"Matt Jones",89,3.03,1105,365,"Par3ScoringAverage",2010
42,42,"Jerry Kelly",99,3.03,1195,394,"Par3ScoringAverage",2010
42,42,"Bill Lunde",79,3.03,985,325,"Par3ScoringAverage",2010
42,42,"Troy Merritt",86,3.03,1063,351,"Par3ScoringAverage",2010
42,42,"Sean OHair",84,3.03,973,321,"Par3ScoringAverage",2010
42,42,"Tom Pernice Jr",74,3.03,883,291,"Par3ScoringAverage",2010
42,42,"Jeff Quinney",91,3.03,1136,375,"Par3ScoringAverage",2010
42,42,"Chris Riley",73,3.03,901,297,"Par3ScoringAverage",2010
42,42,"Justin Rose",78,3.03,947,313,"Par3ScoringAverage",2010
42,42,"Brandt Snedeker",89,3.03,1107,365,"Par3ScoringAverage",2010
42,42,"Garrett Willis",82,3.03,1011,334,"Par3ScoringAverage",2010
