"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2008","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2008","BirdieorBetterPercentageRightRough_PLAYERNAME_2008","BirdieorBetterPercentageRightRough_ROUNDS_2008","BirdieorBetterPercentageRightRough_Pct_2008","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2008","BirdieorBetterPercentageRightRough_TOTALHOLES_2008","stat_name","year"
1,1,"Kevin Stadler",90,22.76,28,123,"BirdieorBetterPercentageRightRough",2008
2,2,"Ben Crane",86,20.33,25,123,"BirdieorBetterPercentageRightRough",2008
3,3,"JB Holmes",86,19.61,30,153,"BirdieorBetterPercentageRightRough",2008
4,4,"KJ Choi",74,19.19,19,99,"BirdieorBetterPercentageRightRough",2008
5,5,"Jeff Overton",103,19.11,43,225,"BirdieorBetterPercentageRightRough",2008
6,6,"Anthony Kim",81,19.08,25,131,"BirdieorBetterPercentageRightRough",2008
7,7,"Nathan Green",95,18.93,32,169,"BirdieorBetterPercentageRightRough",2008
8,8,"Pat Perez",93,18.75,24,128,"BirdieorBetterPercentageRightRough",2008
9,9,"Daniel Chopra",84,18.38,34,185,"BirdieorBetterPercentageRightRough",2008
10,10,"Ron Whittaker",54,18.18,10,55,"BirdieorBetterPercentageRightRough",2008
11,11,"Zach Johnson",85,18.1,19,105,"BirdieorBetterPercentageRightRough",2008
12,12,"Ryan Palmer",69,18.09,17,94,"BirdieorBetterPercentageRightRough",2008
13,13,"Aaron Baddeley",76,17.99,25,139,"BirdieorBetterPercentageRightRough",2008
14,14,"Alejandro Canizares",52,17.5,14,80,"BirdieorBetterPercentageRightRough",2008
15,15,"Nick Watney",96,17.41,35,201,"BirdieorBetterPercentageRightRough",2008
16,16,"Mark Calcavecchia",67,17.39,16,92,"BirdieorBetterPercentageRightRough",2008
17,17,"Marc Turnesa",87,17.36,25,144,"BirdieorBetterPercentageRightRough",2008
18,18,"Cameron Beckman",87,17.27,19,110,"BirdieorBetterPercentageRightRough",2008
19,19,"Robert Garrigus",90,17.26,34,197,"BirdieorBetterPercentageRightRough",2008
20,20,"Nick Flanagan",89,17.24,25,145,"BirdieorBetterPercentageRightRough",2008
21,21,"Chad Collins",72,17.16,23,134,"BirdieorBetterPercentageRightRough",2008
22,22,"Robert Allenby",108,17.12,25,146,"BirdieorBetterPercentageRightRough",2008
23,23,"Parker McLachlin",88,17.07,35,205,"BirdieorBetterPercentageRightRough",2008
24,24,"Mathew Goggin",91,17.05,22,129,"BirdieorBetterPercentageRightRough",2008
25,25,"John Huston",56,17.02,16,94,"BirdieorBetterPercentageRightRough",2008
26,26,"Brandt Snedeker",85,17.01,25,147,"BirdieorBetterPercentageRightRough",2008
27,27,"Camilo Villegas",79,16.96,19,112,"BirdieorBetterPercentageRightRough",2008
28,28,"Greg Kraft",63,16.88,13,77,"BirdieorBetterPercentageRightRough",2008
29,29,"Kenneth Ferrie",72,16.87,14,83,"BirdieorBetterPercentageRightRough",2008
30,30,"Steve Allan",58,16.81,20,119,"BirdieorBetterPercentageRightRough",2008
30,30,"Brandt Jobe",52,16.81,19,113,"BirdieorBetterPercentageRightRough",2008
32,32,"DJ Trahan",94,16.78,24,143,"BirdieorBetterPercentageRightRough",2008
33,33,"Dustin Johnson",92,16.67,30,180,"BirdieorBetterPercentageRightRough",2008
