"FedExCupBonusMoney_RANKTHISWEEK_2008","FedExCupBonusMoney_RANKLASTWEEK_2008","FedExCupBonusMoney_PLAYERNAME_2008","FedExCupBonusMoney_EVENTS_2008","FedExCupBonusMoney_MONEY_2008","stat_name","year"
1,1,"Vijay Singh",4,1e+07,"FedExCupBonusMoney",2008
2,2,"Camilo Villegas",4,3e+06,"FedExCupBonusMoney",2008
3,3,"Sergio Garcia",4,2e+06,"FedExCupBonusMoney",2008
4,4,"Anthony Kim",4,1500000,"FedExCupBonusMoney",2008
5,5,"Jim Furyk",4,1e+06,"FedExCupBonusMoney",2008
6,6,"Mike Weir",4,8e+05,"FedExCupBonusMoney",2008
7,7,"Phil Mickelson",4,7e+05,"FedExCupBonusMoney",2008
8,8,"Justin Leonard",4,6e+05,"FedExCupBonusMoney",2008
9,9,"Ben Curtis",4,550000,"FedExCupBonusMoney",2008
10,10,"KJ Choi",4,5e+05,"FedExCupBonusMoney",2008
11,11,"Kevin Sutherland",4,3e+05,"FedExCupBonusMoney",2008
12,12,"Dudley Hart",4,290000,"FedExCupBonusMoney",2008
13,13,"Ernie Els",4,280000,"FedExCupBonusMoney",2008
14,14,"Steve Stricker",4,270000,"FedExCupBonusMoney",2008
15,15,"Kenny Perry",4,250000,"FedExCupBonusMoney",2008
16,16,"Trevor Immelman",4,245000,"FedExCupBonusMoney",2008
17,17,"Stuart Appleby",4,240000,"FedExCupBonusMoney",2008
18,18,"Hunter Mahan",4,235000,"FedExCupBonusMoney",2008
19,19,"Robert Allenby",4,230000,"FedExCupBonusMoney",2008
20,20,"Stewart Cink",4,225000,"FedExCupBonusMoney",2008
21,21,"Carl Pettersson",4,220000,"FedExCupBonusMoney",2008
22,22,"Ken Duke",4,215000,"FedExCupBonusMoney",2008
23,23,"Billy Mayfair",4,210000,"FedExCupBonusMoney",2008
24,24,"DJ Trahan",4,205000,"FedExCupBonusMoney",2008
25,25,"Ryuji Imada",4,2e+05,"FedExCupBonusMoney",2008
26,26,"Tim Clark",4,195000,"FedExCupBonusMoney",2008
27,27,"Briny Baird",4,190000,"FedExCupBonusMoney",2008
28,28,"Andres Romero",4,185000,"FedExCupBonusMoney",2008
29,29,"Chad Campbell",4,180000,"FedExCupBonusMoney",2008
30,30,"Bubba Watson",4,175000,"FedExCupBonusMoney",2008
31,31,"Stephen Ames",3,165000,"FedExCupBonusMoney",2008
32,32,"Geoff Ogilvy",3,155000,"FedExCupBonusMoney",2008
33,33,"Boo Weekley",3,150000,"FedExCupBonusMoney",2008
34,34,"Brandt Snedeker",3,145000,"FedExCupBonusMoney",2008
35,35,"Kevin Streelman",3,142000,"FedExCupBonusMoney",2008
36,36,"Steve Marino",3,140000,"FedExCupBonusMoney",2008
37,37,"John Senden",3,138000,"FedExCupBonusMoney",2008
38,38,"JB Holmes",3,137000,"FedExCupBonusMoney",2008
39,39,"Dean Wilson",3,136000,"FedExCupBonusMoney",2008
40,40,"John Merrick",3,135000,"FedExCupBonusMoney",2008
41,41,"Nicholas Thompson",3,134000,"FedExCupBonusMoney",2008
42,42,"Charlie Wi",3,133000,"FedExCupBonusMoney",2008
43,43,"Aaron Baddeley",3,132000,"FedExCupBonusMoney",2008
44,44,"Freddie Jacobson",3,131000,"FedExCupBonusMoney",2008
45,45,"Mark Wilson",3,130000,"FedExCupBonusMoney",2008
46,46,"Brian Gay",3,129000,"FedExCupBonusMoney",2008
47,47,"Adam Scott",3,128000,"FedExCupBonusMoney",2008
48,48,"Scott Verplank",3,127000,"FedExCupBonusMoney",2008
49,49,"Lucas Glover",3,126000,"FedExCupBonusMoney",2008
