"FirstTeeLateRound3ScoringAverage_RANKTHISWEEK_2016","FirstTeeLateRound3ScoringAverage_RANKLASTWEEK_2016","FirstTeeLateRound3ScoringAverage_PLAYERNAME_2016","FirstTeeLateRound3ScoringAverage__2016","FirstTeeLateRound3ScoringAverage_AVG_2016","FirstTeeLateRound3ScoringAverage_TOTALSTROKES_2016","FirstTeeLateRound3ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Jason Bohn",NA,67,134,2,"FirstTeeLateRound3ScoringAverage",2016
1,1,"Matt Jones",NA,67,67,1,"FirstTeeLateRound3ScoringAverage",2016
3,4,"Graeme McDowell",NA,67.33,202,3,"FirstTeeLateRound3ScoringAverage",2016
4,5,"Ryan Moore",NA,67.5,135,2,"FirstTeeLateRound3ScoringAverage",2016
4,5,"Scott Stallings",NA,67.5,135,2,"FirstTeeLateRound3ScoringAverage",2016
6,7,"Kevin Kisner",NA,67.75,271,4,"FirstTeeLateRound3ScoringAverage",2016
7,8,"Byeong Hun An",NA,68,68,1,"FirstTeeLateRound3ScoringAverage",2016
8,12,"Patrick Reed",NA,68.2,341,5,"FirstTeeLateRound3ScoringAverage",2016
9,13,"Will Wilcox",NA,68.33,205,3,"FirstTeeLateRound3ScoringAverage",2016
10,16,"Alex Cejka",NA,68.5,274,4,"FirstTeeLateRound3ScoringAverage",2016
10,16,"Brice Garnett",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2016
10,16,"Adam Hadwin",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2016
10,16,"Justin Leonard",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2016
10,16,"David Toms",NA,68.5,137,2,"FirstTeeLateRound3ScoringAverage",2016
15,22,"Bill Haas",NA,68.75,275,4,"FirstTeeLateRound3ScoringAverage",2016
16,8,"Adam Scott",NA,68.8,344,5,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Blayne Barber",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Steven Bowditch",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Miguel Angel Carballo",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Matthew Fitzpatrick",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,35,"James Hahn",NA,69,276,4,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Jim Herman",NA,69,276,4,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Tom Hoge",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Steve Marino",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Greg Owen",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Shawn Stefani",NA,69,69,1,"FirstTeeLateRound3ScoringAverage",2016
17,23,"Nick Taylor",NA,69,138,2,"FirstTeeLateRound3ScoringAverage",2016
