"OnePuttPercentageRound2_RANKTHISWEEK_2011","OnePuttPercentageRound2_RANKLASTWEEK_2011","OnePuttPercentageRound2_PLAYERNAME_2011","OnePuttPercentageRound2__2011","OnePuttPercentageRound2_Pct_2011","OnePuttPercentageRound2_OF1PUTTS_2011","OnePuttPercentageRound2_OFHOLES_2011","stat_name","year"
1,1,"Steve Stricker",NA,46.91,152,324,"OnePuttPercentageRound2",2011
2,2,"Jason Day",NA,45.28,163,360,"OnePuttPercentageRound2",2011
3,3,"Brandt Snedeker",NA,44.89,202,450,"OnePuttPercentageRound2",2011
4,4,"Steven Bowditch",NA,44.64,225,504,"OnePuttPercentageRound2",2011
5,5,"Steve Marino",NA,44.2,183,414,"OnePuttPercentageRound2",2011
6,6,"Robert Karlsson",NA,44.12,135,306,"OnePuttPercentageRound2",2011
7,7,"Rickie Fowler",NA,43.72,181,414,"OnePuttPercentageRound2",2011
8,8,"Scott McCarron",NA,42.68,169,396,"OnePuttPercentageRound2",2011
8,8,"Roland Thatcher",NA,42.68,169,396,"OnePuttPercentageRound2",2011
10,10,"Stuart Appleby",NA,42.59,161,378,"OnePuttPercentageRound2",2011
11,11,"Kevin Na",NA,42.31,198,468,"OnePuttPercentageRound2",2011
12,12,"Pat Perez",NA,42.17,167,396,"OnePuttPercentageRound2",2011
13,13,"JB Holmes",NA,42.06,106,252,"OnePuttPercentageRound2",2011
14,14,"Matt Kuchar",NA,41.79,173,414,"OnePuttPercentageRound2",2011
15,15,"Charlie Wi",NA,41.78,188,450,"OnePuttPercentageRound2",2011
16,16,"Charl Schwartzel",NA,41.67,105,252,"OnePuttPercentageRound2",2011
17,17,"Dean Wilson",NA,41.39,149,360,"OnePuttPercentageRound2",2011
18,18,"Tim Herron",NA,41.27,208,504,"OnePuttPercentageRound2",2011
19,19,"Geoff Ogilvy",NA,41.23,141,342,"OnePuttPercentageRound2",2011
20,20,"Jimmy Walker",NA,41.2,178,432,"OnePuttPercentageRound2",2011
21,21,"Zach Johnson",NA,41.16,163,396,"OnePuttPercentageRound2",2011
22,22,"Kevin Streelman",NA,41.03,192,468,"OnePuttPercentageRound2",2011
23,23,"Arjun Atwal",NA,41,214,522,"OnePuttPercentageRound2",2011
24,24,"Greg Chalmers",NA,40.95,199,486,"OnePuttPercentageRound2",2011
25,25,"Aaron Baddeley",NA,40.91,162,396,"OnePuttPercentageRound2",2011
25,25,"Lucas Glover",NA,40.91,162,396,"OnePuttPercentageRound2",2011
27,27,"Freddie Jacobson",NA,40.89,184,450,"OnePuttPercentageRound2",2011
28,28,"Adam Scott",NA,40.85,125,306,"OnePuttPercentageRound2",2011
29,29,"Mark Wilson",NA,40.67,183,450,"OnePuttPercentageRound2",2011
30,30,"YE Yang",NA,40.52,124,306,"OnePuttPercentageRound2",2011
31,31,"Michael Connell",NA,40.38,189,468,"OnePuttPercentageRound2",2011
32,32,"Bio Kim",NA,40.22,181,450,"OnePuttPercentageRound2",2011
33,33,"Blake Adams",NA,40.2,246,612,"OnePuttPercentageRound2",2011
34,34,"Ian Poulter",NA,40,108,270,"OnePuttPercentageRound2",2011
35,35,"Bryce Molder",NA,39.96,187,468,"OnePuttPercentageRound2",2011
36,36,"Sergio Garcia",NA,39.93,115,288,"OnePuttPercentageRound2",2011
37,37,"Steve Elkington",NA,39.87,122,306,"OnePuttPercentageRound2",2011
38,38,"David Mathis",NA,39.78,179,450,"OnePuttPercentageRound2",2011
39,39,"Nate Smith",NA,39.58,171,432,"OnePuttPercentageRound2",2011
40,40,"Padraig Harrington",NA,39.54,121,306,"OnePuttPercentageRound2",2011
41,41,"Bill Lunde",NA,39.53,185,468,"OnePuttPercentageRound2",2011
41,41,"Webb Simpson",NA,39.53,185,468,"OnePuttPercentageRound2",2011
43,43,"Nathan Green",NA,39.32,184,468,"OnePuttPercentageRound2",2011
44,44,"Chez Reavie",NA,39.3,191,486,"OnePuttPercentageRound2",2011
45,45,"Cameron Tringale",NA,39.24,226,576,"OnePuttPercentageRound2",2011
46,46,"Ryan Moore",NA,39.17,141,360,"OnePuttPercentageRound2",2011
47,47,"Ryuji Imada",NA,39.09,197,504,"OnePuttPercentageRound2",2011
47,47,"Tim Petrovic",NA,39.09,190,486,"OnePuttPercentageRound2",2011
49,49,"Hunter Haas",NA,39.07,211,540,"OnePuttPercentageRound2",2011
50,50,"Alex Cejka",NA,38.89,119,306,"OnePuttPercentageRound2",2011
50,50,"KJ Choi",NA,38.89,147,378,"OnePuttPercentageRound2",2011
50,50,"Camilo Villegas",NA,38.89,154,396,"OnePuttPercentageRound2",2011
53,53,"Tommy Gainey",NA,38.73,237,612,"OnePuttPercentageRound2",2011
54,54,"Keegan Bradley",NA,38.69,195,504,"OnePuttPercentageRound2",2011
55,55,"Marc Leishman",NA,38.68,188,486,"OnePuttPercentageRound2",2011
56,56,"Bill Haas",NA,38.67,174,450,"OnePuttPercentageRound2",2011
57,57,"Scott Piercy",NA,38.65,160,414,"OnePuttPercentageRound2",2011
58,58,"Luke Donald",NA,38.58,125,324,"OnePuttPercentageRound2",2011
59,59,"Chris Kirk",NA,38.48,187,486,"OnePuttPercentageRound2",2011
59,59,"Vaughn Taylor",NA,38.48,187,486,"OnePuttPercentageRound2",2011
61,61,"Steve Flesch",NA,38.46,180,468,"OnePuttPercentageRound2",2011
62,62,"Ben Curtis",NA,38.41,159,414,"OnePuttPercentageRound2",2011
63,63,"Ben Crane",NA,38.38,152,396,"OnePuttPercentageRound2",2011
63,63,"Davis Love III",NA,38.38,152,396,"OnePuttPercentageRound2",2011
65,65,"Brendon de Jonge",NA,38.33,207,540,"OnePuttPercentageRound2",2011
66,66,"DA Points",NA,38.25,179,468,"OnePuttPercentageRound2",2011
67,67,"Michael Thompson",NA,38.22,172,450,"OnePuttPercentageRound2",2011
68,68,"Anthony Kim",NA,38.19,165,432,"OnePuttPercentageRound2",2011
69,69,"Ryan Palmer",NA,38.16,158,414,"OnePuttPercentageRound2",2011
70,70,"Martin Laird",NA,38.13,151,396,"OnePuttPercentageRound2",2011
71,71,"Sung Kang",NA,38.1,144,378,"OnePuttPercentageRound2",2011
72,72,"Michael Putnam",NA,38.06,137,360,"OnePuttPercentageRound2",2011
73,73,"Justin Leonard",NA,38.03,178,468,"OnePuttPercentageRound2",2011
74,74,"Johnson Wagner",NA,38,171,450,"OnePuttPercentageRound2",2011
75,75,"Paul Goydos",NA,37.96,164,432,"OnePuttPercentageRound2",2011
76,76,"Ricky Barnes",NA,37.92,157,414,"OnePuttPercentageRound2",2011
76,76,"Troy Merritt",NA,37.92,157,414,"OnePuttPercentageRound2",2011
76,76,"Sean OHair",NA,37.92,157,414,"OnePuttPercentageRound2",2011
76,76,"Garrett Willis",NA,37.92,157,414,"OnePuttPercentageRound2",2011
80,80,"Nick Watney",NA,37.83,143,378,"OnePuttPercentageRound2",2011
81,81,"Brian Gay",NA,37.82,177,468,"OnePuttPercentageRound2",2011
82,82,"Billy Horschel",NA,37.78,170,450,"OnePuttPercentageRound2",2011
82,82,"Jeff Overton",NA,37.78,170,450,"OnePuttPercentageRound2",2011
82,82,"Bubba Watson",NA,37.78,136,360,"OnePuttPercentageRound2",2011
85,85,"JP Hayes",NA,37.72,129,342,"OnePuttPercentageRound2",2011
86,86,"William McGirt",NA,37.67,217,576,"OnePuttPercentageRound2",2011
87,87,"Kevin Stadler",NA,37.65,183,486,"OnePuttPercentageRound2",2011
87,87,"Chris Stroud",NA,37.65,183,486,"OnePuttPercentageRound2",2011
89,89,"Bo Van Pelt",NA,37.61,176,468,"OnePuttPercentageRound2",2011
90,90,"Zack Miller",NA,37.59,203,540,"OnePuttPercentageRound2",2011
91,91,"Matt Jones",NA,37.56,169,450,"OnePuttPercentageRound2",2011
92,92,"David Duval",NA,37.5,162,432,"OnePuttPercentageRound2",2011
93,93,"Cameron Beckman",NA,37.44,155,414,"OnePuttPercentageRound2",2011
93,93,"DJ Brigman",NA,37.44,155,414,"OnePuttPercentageRound2",2011
95,95,"Graeme McDowell",NA,37.41,101,270,"OnePuttPercentageRound2",2011
96,96,"Andres Romero",NA,37.37,148,396,"OnePuttPercentageRound2",2011
97,97,"Jarrod Lyle",NA,37.36,195,522,"OnePuttPercentageRound2",2011
98,98,"Jonathan Byrd",NA,37.33,168,450,"OnePuttPercentageRound2",2011
98,98,"Ben Martin",NA,37.33,168,450,"OnePuttPercentageRound2",2011
98,98,"Vijay Singh",NA,37.33,168,450,"OnePuttPercentageRound2",2011
101,101,"Andres Gonzales",NA,37.3,141,378,"OnePuttPercentageRound2",2011
102,102,"Hunter Mahan",NA,37.27,161,432,"OnePuttPercentageRound2",2011
103,103,"Matt Bettencourt",NA,37.24,181,486,"OnePuttPercentageRound2",2011
103,103,"Carl Pettersson",NA,37.24,181,486,"OnePuttPercentageRound2",2011
105,105,"Retief Goosen",NA,37.18,87,234,"OnePuttPercentageRound2",2011
106,106,"Chris Couch",NA,37.13,127,342,"OnePuttPercentageRound2",2011
107,107,"Robert Garrigus",NA,37.11,167,450,"OnePuttPercentageRound2",2011
108,108,"Daniel Summerhays",NA,36.97,193,522,"OnePuttPercentageRound2",2011
109,109,"Shane Bertsch",NA,36.94,133,360,"OnePuttPercentageRound2",2011
110,110,"Brandt Jobe",NA,36.9,186,504,"OnePuttPercentageRound2",2011
111,111,"Jim Furyk",NA,36.89,166,450,"OnePuttPercentageRound2",2011
112,112,"Brian Davis",NA,36.85,199,540,"OnePuttPercentageRound2",2011
113,113,"Stewart Cink",NA,36.77,139,378,"OnePuttPercentageRound2",2011
114,114,"Charles Howell III",NA,36.67,198,540,"OnePuttPercentageRound2",2011
115,115,"David Toms",NA,36.62,145,396,"OnePuttPercentageRound2",2011
116,116,"Chad Campbell",NA,36.59,191,522,"OnePuttPercentageRound2",2011
116,116,"Billy Mayfair",NA,36.59,191,522,"OnePuttPercentageRound2",2011
118,118,"James Driscoll",NA,36.57,158,432,"OnePuttPercentageRound2",2011
118,118,"Trevor Immelman",NA,36.57,158,432,"OnePuttPercentageRound2",2011
120,120,"Jerry Kelly",NA,36.44,164,450,"OnePuttPercentageRound2",2011
121,121,"Woody Austin",NA,36.42,118,324,"OnePuttPercentageRound2",2011
122,122,"Rich Beem",NA,36.39,131,360,"OnePuttPercentageRound2",2011
123,123,"Robert Allenby",NA,36.34,157,432,"OnePuttPercentageRound2",2011
123,123,"Kevin Kisner",NA,36.34,157,432,"OnePuttPercentageRound2",2011
125,125,"Harrison Frazar",NA,36.26,124,342,"OnePuttPercentageRound2",2011
126,126,"Rod Pampling",NA,36.24,137,378,"OnePuttPercentageRound2",2011
127,127,"Gary Woodland",NA,36,162,450,"OnePuttPercentageRound2",2011
128,128,"John Senden",NA,35.9,168,468,"OnePuttPercentageRound2",2011
129,129,"Joe Ogilvie",NA,35.88,155,432,"OnePuttPercentageRound2",2011
