"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2010","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2010","BirdieorBetterPercentageRightRough_PLAYERNAME_2010","BirdieorBetterPercentageRightRough_ROUNDS_2010","BirdieorBetterPercentageRightRough_Pct_2010","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2010","BirdieorBetterPercentageRightRough_TOTALHOLES_2010","stat_name","year"
1,1,"Andrew McLardy",52,25.71,18,70,"BirdieorBetterPercentageRightRough",2010
2,2,"Brett Wetterich",54,25.45,28,110,"BirdieorBetterPercentageRightRough",2010
3,3,"Justin Rose",78,25,30,120,"BirdieorBetterPercentageRightRough",2010
4,4,"Bubba Watson",77,24.11,34,141,"BirdieorBetterPercentageRightRough",2010
5,5,"Woody Austin",93,23.02,32,139,"BirdieorBetterPercentageRightRough",2010
6,6,"Angel Cabrera",64,22.06,30,136,"BirdieorBetterPercentageRightRough",2010
7,7,"John Daly",63,21.74,25,115,"BirdieorBetterPercentageRightRough",2010
8,8,"YE Yang",72,21.7,23,106,"BirdieorBetterPercentageRightRough",2010
9,9,"Steve Stricker",73,21.43,21,98,"BirdieorBetterPercentageRightRough",2010
10,10,"Billy Mayfair",78,21.36,22,103,"BirdieorBetterPercentageRightRough",2010
11,11,"Ernie Els",72,21.21,28,132,"BirdieorBetterPercentageRightRough",2010
12,12,"Retief Goosen",75,20.99,17,81,"BirdieorBetterPercentageRightRough",2010
13,13,"Robert Allenby",76,20.79,21,101,"BirdieorBetterPercentageRightRough",2010
14,14,"Michael Sim",64,20.65,19,92,"BirdieorBetterPercentageRightRough",2010
15,15,"George McNeill",79,20.63,39,189,"BirdieorBetterPercentageRightRough",2010
16,16,"Scott Piercy",88,20.39,42,206,"BirdieorBetterPercentageRightRough",2010
17,17,"Jeff Overton",89,20.37,33,162,"BirdieorBetterPercentageRightRough",2010
18,18,"Rory Sabbatini",79,20.13,30,149,"BirdieorBetterPercentageRightRough",2010
19,19,"Jimmy Walker",82,20.1,40,199,"BirdieorBetterPercentageRightRough",2010
20,20,"Justin Leonard",89,19.8,20,101,"BirdieorBetterPercentageRightRough",2010
21,21,"David Duval",71,19.77,17,86,"BirdieorBetterPercentageRightRough",2010
22,22,"Ben Crane",85,19.47,22,113,"BirdieorBetterPercentageRightRough",2010
23,23,"Chad Campbell",95,19.38,25,129,"BirdieorBetterPercentageRightRough",2010
24,24,"Padraig Harrington",57,19.35,18,93,"BirdieorBetterPercentageRightRough",2010
25,25,"Bill Haas",87,19.17,23,120,"BirdieorBetterPercentageRightRough",2010
26,26,"Sean OHair",84,19.08,25,131,"BirdieorBetterPercentageRightRough",2010
