"BirdieorBetterConversionPercentage_RANKTHISWEEK_2015","BirdieorBetterConversionPercentage_RANKLASTWEEK_2015","BirdieorBetterConversionPercentage_PLAYERNAME_2015","BirdieorBetterConversionPercentage_ROUNDS_2015","BirdieorBetterConversionPercentage_Pct_2015","BirdieorBetterConversionPercentage_BIRDIES_2015","BirdieorBetterConversionPercentage_GREENSHIT_2015","stat_name","year"
1,1,"Jason Day",75,36.76,336,914,"BirdieorBetterConversionPercentage",2015
2,2,"Jordan Spieth",91,35.51,380,1070,"BirdieorBetterConversionPercentage",2015
3,3,"Dustin Johnson",75,34.72,300,864,"BirdieorBetterConversionPercentage",2015
4,4,"JB Holmes",89,34.64,335,967,"BirdieorBetterConversionPercentage",2015
5,5,"Bubba Watson",71,34.38,286,832,"BirdieorBetterConversionPercentage",2015
6,6,"Phil Mickelson",70,34.33,265,772,"BirdieorBetterConversionPercentage",2015
7,7,"Justin Rose",69,34.25,287,838,"BirdieorBetterConversionPercentage",2015
8,8,"Justin Thomas",106,33.61,441,1312,"BirdieorBetterConversionPercentage",2015
9,9,"Matt Jones",89,33.57,328,977,"BirdieorBetterConversionPercentage",2015
10,10,"Jimmy Walker",89,33.43,341,1020,"BirdieorBetterConversionPercentage",2015
11,11,"Tony Finau",106,33.26,429,1290,"BirdieorBetterConversionPercentage",2015
12,12,"Chesson Hadley",101,32.64,377,1155,"BirdieorBetterConversionPercentage",2015
13,13,"Charley Hoffman",97,32.62,365,1119,"BirdieorBetterConversionPercentage",2015
14,14,"Rickie Fowler",76,32.54,273,839,"BirdieorBetterConversionPercentage",2015
15,15,"Steve Wheatcroft",87,32.43,312,962,"BirdieorBetterConversionPercentage",2015
16,16,"Hideki Matsuyama",95,32.41,362,1117,"BirdieorBetterConversionPercentage",2015
17,17,"Patrick Reed",103,32.34,369,1141,"BirdieorBetterConversionPercentage",2015
18,18,"Matt Kuchar",97,32.2,361,1121,"BirdieorBetterConversionPercentage",2015
19,19,"Danny Lee",120,32.16,455,1415,"BirdieorBetterConversionPercentage",2015
20,20,"Kevin Na",98,32.12,354,1102,"BirdieorBetterConversionPercentage",2015
21,21,"Morgan Hoffmann",85,32.08,298,929,"BirdieorBetterConversionPercentage",2015
22,22,"Brendan Steele",88,32.04,331,1033,"BirdieorBetterConversionPercentage",2015
23,23,"Patrick Rodgers",57,32.03,204,637,"BirdieorBetterConversionPercentage",2015
24,24,"Ryan Moore",81,31.76,290,913,"BirdieorBetterConversionPercentage",2015
25,25,"Tom Hoge",83,31.63,297,939,"BirdieorBetterConversionPercentage",2015
26,26,"Hudson Swafford",97,31.62,369,1167,"BirdieorBetterConversionPercentage",2015
27,27,"Aaron Baddeley",76,31.52,261,828,"BirdieorBetterConversionPercentage",2015
28,28,"Jerry Kelly",79,31.45,295,938,"BirdieorBetterConversionPercentage",2015
29,29,"Brooks Koepka",84,31.42,317,1009,"BirdieorBetterConversionPercentage",2015
30,30,"Andrew Putnam",68,31.4,216,688,"BirdieorBetterConversionPercentage",2015
31,31,"Keegan Bradley",87,31.34,319,1018,"BirdieorBetterConversionPercentage",2015
32,32,"Steven Bowditch",103,31.31,367,1172,"BirdieorBetterConversionPercentage",2015
33,33,"Russell Henley",87,31.29,317,1013,"BirdieorBetterConversionPercentage",2015
34,34,"Chris Kirk",76,31.28,264,844,"BirdieorBetterConversionPercentage",2015
35,35,"Carlos Ortiz",100,31.25,360,1152,"BirdieorBetterConversionPercentage",2015
36,36,"Kevin Chappell",86,31.21,318,1019,"BirdieorBetterConversionPercentage",2015
37,37,"Daniel Summerhays",101,31.18,371,1190,"BirdieorBetterConversionPercentage",2015
38,38,"Pat Perez",96,31.14,364,1169,"BirdieorBetterConversionPercentage",2015
38,38,"Carl Pettersson",106,31.14,374,1201,"BirdieorBetterConversionPercentage",2015
38,38,"Brandt Snedeker",98,31.14,345,1108,"BirdieorBetterConversionPercentage",2015
41,41,"Jason Bohn",95,31.09,365,1174,"BirdieorBetterConversionPercentage",2015
42,42,"Sergio Garcia",59,31.08,211,679,"BirdieorBetterConversionPercentage",2015
43,43,"Zach Johnson",90,31.06,333,1072,"BirdieorBetterConversionPercentage",2015
44,44,"Robert Streb",110,30.99,423,1365,"BirdieorBetterConversionPercentage",2015
45,45,"Sangmoon Bae",98,30.98,343,1107,"BirdieorBetterConversionPercentage",2015
45,45,"Shawn Stefani",94,30.98,360,1162,"BirdieorBetterConversionPercentage",2015
47,47,"Camilo Villegas",83,30.96,291,940,"BirdieorBetterConversionPercentage",2015
48,48,"Nick Taylor",91,30.93,326,1054,"BirdieorBetterConversionPercentage",2015
49,49,"Scott Piercy",90,30.9,334,1081,"BirdieorBetterConversionPercentage",2015
50,50,"Jason Gore",76,30.89,270,874,"BirdieorBetterConversionPercentage",2015
51,51,"Luke Guthrie",84,30.81,289,938,"BirdieorBetterConversionPercentage",2015
52,52,"Ryo Ishikawa",90,30.78,322,1046,"BirdieorBetterConversionPercentage",2015
53,53,"Rory Sabbatini",81,30.74,304,989,"BirdieorBetterConversionPercentage",2015
54,54,"Seung Yul Noh",65,30.73,236,768,"BirdieorBetterConversionPercentage",2015
54,54,"Henrik Stenson",63,30.73,244,794,"BirdieorBetterConversionPercentage",2015
56,56,"Brendon Todd",96,30.71,336,1094,"BirdieorBetterConversionPercentage",2015
57,57,"Billy Horschel",99,30.69,360,1173,"BirdieorBetterConversionPercentage",2015
58,58,"Jonas Blixt",78,30.66,252,822,"BirdieorBetterConversionPercentage",2015
58,58,"Louis Oosthuizen",68,30.66,233,760,"BirdieorBetterConversionPercentage",2015
60,60,"Sean OHair",86,30.65,304,992,"BirdieorBetterConversionPercentage",2015
61,61,"Ian Poulter",68,30.6,231,755,"BirdieorBetterConversionPercentage",2015
62,62,"Chris Stroud",84,30.54,303,992,"BirdieorBetterConversionPercentage",2015
63,63,"Ryan Palmer",80,30.48,278,912,"BirdieorBetterConversionPercentage",2015
64,64,"Greg Chalmers",58,30.47,188,617,"BirdieorBetterConversionPercentage",2015
65,65,"Erik Compton",86,30.46,297,975,"BirdieorBetterConversionPercentage",2015
66,66,"David Lingmerth",90,30.45,320,1051,"BirdieorBetterConversionPercentage",2015
67,67,"Blayne Barber",76,30.43,269,884,"BirdieorBetterConversionPercentage",2015
68,68,"Lee Westwood",56,30.42,188,618,"BirdieorBetterConversionPercentage",2015
69,69,"Ricky Barnes",82,30.41,257,845,"BirdieorBetterConversionPercentage",2015
