"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2008","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2008","GoingfortheGreenHitGreenPct_PLAYERNAME_2008","GoingfortheGreenHitGreenPct_ROUNDS_2008","GoingfortheGreenHitGreenPct_Pct_2008","GoingfortheGreenHitGreenPct_SUCCESSES_2008","GoingfortheGreenHitGreenPct_ATTEMPTS_2008","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2008","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2008","stat_name","year"
1,1,"Paul Casey",55,37.5,24,64,-20,NA,"GoingfortheGreenHitGreenPct",2008
2,2,"Scott Sterling",89,36.36,32,88,-34,NA,"GoingfortheGreenHitGreenPct",2008
3,3,"Fred Couples",60,33.91,39,115,-38,NA,"GoingfortheGreenHitGreenPct",2008
4,4,"Gavin Coles",54,32.35,11,34,-10,NA,"GoingfortheGreenHitGreenPct",2008
5,5,"Brandt Jobe",52,31.4,27,86,-28,NA,"GoingfortheGreenHitGreenPct",2008
6,6,"Doug LaBelle II",65,31.37,16,51,-15,NA,"GoingfortheGreenHitGreenPct",2008
7,7,"Boo Weekley",86,30.71,39,127,-39,NA,"GoingfortheGreenHitGreenPct",2008
8,8,"Rory Sabbatini",77,30.58,37,121,-37,NA,"GoingfortheGreenHitGreenPct",2008
9,9,"Joe Durant",92,30.28,43,142,-44,NA,"GoingfortheGreenHitGreenPct",2008
10,10,"Jim Furyk",95,29.63,32,108,-32,NA,"GoingfortheGreenHitGreenPct",2008
11,11,"Camilo Villegas",79,29.46,38,129,-40,NA,"GoingfortheGreenHitGreenPct",2008
12,12,"Tom Scherrer",56,28.99,20,69,-17,NA,"GoingfortheGreenHitGreenPct",2008
13,13,"Chad Campbell",94,28.57,38,133,-48,NA,"GoingfortheGreenHitGreenPct",2008
14,14,"Sean OHair",81,28.46,35,123,-40,NA,"GoingfortheGreenHitGreenPct",2008
15,15,"Ron Whittaker",54,28.21,11,39,-14,NA,"GoingfortheGreenHitGreenPct",2008
16,16,"Steve Stricker",75,27.5,22,80,-20,NA,"GoingfortheGreenHitGreenPct",2008
17,17,"Martin Laird",98,27.46,53,193,-57,NA,"GoingfortheGreenHitGreenPct",2008
18,18,"Davis Love III",78,27.41,37,135,-38,NA,"GoingfortheGreenHitGreenPct",2008
19,19,"Jason Gore",94,27.27,48,176,-45,NA,"GoingfortheGreenHitGreenPct",2008
20,20,"Michael Allen",91,26.92,35,130,-39,NA,"GoingfortheGreenHitGreenPct",2008
20,20,"Lee Janzen",89,26.92,28,104,-24,NA,"GoingfortheGreenHitGreenPct",2008
22,22,"JB Holmes",86,26.82,48,179,-52,NA,"GoingfortheGreenHitGreenPct",2008
23,23,"Richard Johnson",60,26.79,15,56,-15,NA,"GoingfortheGreenHitGreenPct",2008
24,24,"Vijay Singh",82,26.39,38,144,-35,NA,"GoingfortheGreenHitGreenPct",2008
25,25,"Jeff Gove",50,26.23,16,61,-16,NA,"GoingfortheGreenHitGreenPct",2008
26,26,"Bubba Watson",97,26.17,56,214,-59,NA,"GoingfortheGreenHitGreenPct",2008
27,27,"Michael Letzig",88,26.14,40,153,-39,NA,"GoingfortheGreenHitGreenPct",2008
28,28,"Geoff Ogilvy",65,26.03,19,73,-19,NA,"GoingfortheGreenHitGreenPct",2008
29,29,"John Huston",56,26,26,100,-27,NA,"GoingfortheGreenHitGreenPct",2008
30,30,"Steve Marino",119,25.91,50,193,-45,NA,"GoingfortheGreenHitGreenPct",2008
31,31,"Pat Perez",93,25.71,45,175,-48,NA,"GoingfortheGreenHitGreenPct",2008
32,32,"Kenny Perry",97,25.57,45,176,-42,NA,"GoingfortheGreenHitGreenPct",2008
33,33,"Bo Van Pelt",101,25.56,46,180,-49,NA,"GoingfortheGreenHitGreenPct",2008
34,34,"Troy Matteson",94,25.52,49,192,-46,NA,"GoingfortheGreenHitGreenPct",2008
35,35,"Lucas Glover",91,25.47,41,161,-42,NA,"GoingfortheGreenHitGreenPct",2008
36,36,"Nick Flanagan",89,25,42,168,-40,NA,"GoingfortheGreenHitGreenPct",2008
37,37,"George McNeill",97,24.86,45,181,-41,NA,"GoingfortheGreenHitGreenPct",2008
38,38,"Charley Hoffman",94,24.75,49,198,-51,NA,"GoingfortheGreenHitGreenPct",2008
