"ProximitytoHolefromRough_RANKTHISWEEK_2008","ProximitytoHolefromRough_RANKLASTWEEK_2008","ProximitytoHolefromRough_PLAYERNAME_2008","ProximitytoHolefromRough_ROUNDS_2008","ProximitytoHolefromRough_AVGDTP_2008","ProximitytoHolefromRough_TOTALDISTANCEFEET_2008","ProximitytoHolefromRough_OFSHOTS_2008","ProximitytoHolefromRough_SCRAMBLINGRANK_2008","stat_name","year"
1,1,"Retief Goosen",59,NA,725.75,121,76,"ProximitytoHolefromRough",2008
2,2,"Trevor Immelman",70,NA,831.25,130,181,"ProximitytoHolefromRough",2008
3,3,"Justin Leonard",101,NA,1218.25,187,34,"ProximitytoHolefromRough",2008
3,3,"Ian Poulter",51,NA,720.75,111,120,"ProximitytoHolefromRough",2008
3,3,"Vijay Singh",82,NA,1090.667,168,51,"ProximitytoHolefromRough",2008
3,3,"Steve Stricker",75,NA,1058.5,162,12,"ProximitytoHolefromRough",2008
7,7,"Brian Gay",102,NA,1260.083,192,1,"ProximitytoHolefromRough",2008
8,8,"Padraig Harrington",52,NA,709,106,21,"ProximitytoHolefromRough",2008
9,9,"KJ Choi",74,NA,922.833,132,95,"ProximitytoHolefromRough",2008
9,9,"Marco Dawson",64,NA,1053.25,150,144,"ProximitytoHolefromRough",2008
9,9,"Paul Goydos",78,NA,1202.833,172,74,"ProximitytoHolefromRough",2008
12,12,"Fred Couples",60,NA,1065.5,151,71,"ProximitytoHolefromRough",2008
12,12,"Jim Furyk",95,NA,1385.917,195,29,"ProximitytoHolefromRough",2008
12,12,"Lee Janzen",89,NA,1331.167,187,91,"ProximitytoHolefromRough",2008
12,12,"Tim Wilkinson",95,NA,1481.75,210,28,"ProximitytoHolefromRough",2008
16,16,"Tommy Armour III",77,NA,1139.167,159,132,"ProximitytoHolefromRough",2008
16,16,"Shane Bertsch",96,NA,1604.583,224,18,"ProximitytoHolefromRough",2008
16,16,"Bart Bryant",81,NA,1182.25,165,47,"ProximitytoHolefromRough",2008
16,16,"Ernie Els",51,NA,706.917,99,112,"ProximitytoHolefromRough",2008
16,16,"Phil Mickelson",80,NA,1322.167,184,26,"ProximitytoHolefromRough",2008
16,16,"Brenden Pappas",66,NA,1091.833,152,50,"ProximitytoHolefromRough",2008
16,16,"Chris Riley",51,NA,785,109,2,"ProximitytoHolefromRough",2008
23,23,"Matt Kuchar",88,NA,1259,173,14,"ProximitytoHolefromRough",2008
23,23,"Doug LaBelle II",65,NA,886.5,122,68,"ProximitytoHolefromRough",2008
23,23,"Brett Rumford",72,NA,1397.417,193,151,"ProximitytoHolefromRough",2008
23,23,"Mike Weir",88,NA,1182.25,163,7,"ProximitytoHolefromRough",2008
27,27,"Stephen Ames",83,NA,1259.417,171,57,"ProximitytoHolefromRough",2008
27,27,"Eric Axley",113,NA,1968,267,40,"ProximitytoHolefromRough",2008
27,27,"Briny Baird",113,NA,1599.25,217,5,"ProximitytoHolefromRough",2008
27,27,"Cliff Kresge",84,NA,1438.667,197,166,"ProximitytoHolefromRough",2008
27,27,"Andres Romero",69,NA,1317.167,179,85,"ProximitytoHolefromRough",2008
27,27,"Brandt Snedeker",85,NA,1277.333,175,100,"ProximitytoHolefromRough",2008
33,33,"Woody Austin",109,NA,1752.25,236,147,"ProximitytoHolefromRough",2008
33,33,"Tim Clark",90,NA,1375.417,185,65,"ProximitytoHolefromRough",2008
33,33,"Gavin Coles",54,NA,735.917,99,9,"ProximitytoHolefromRough",2008
33,33,"Kevin Na",97,NA,1654.833,224,13,"ProximitytoHolefromRough",2008
33,33,"Camilo Villegas",79,NA,1282.167,173,171,"ProximitytoHolefromRough",2008
33,33,"Dean Wilson",109,NA,1629.75,219,97,"ProximitytoHolefromRough",2008
39,39,"Jonathan Byrd",88,NA,1441.833,193,72,"ProximitytoHolefromRough",2008
39,39,"Steve Flesch",95,NA,1590.75,212,44,"ProximitytoHolefromRough",2008
39,39,"Sergio Garcia",72,NA,1326.083,177,89,"ProximitytoHolefromRough",2008
39,39,"Jerry Kelly",89,NA,1300.583,174,83,"ProximitytoHolefromRough",2008
39,39,"Anthony Kim",81,NA,1283.75,172,45,"ProximitytoHolefromRough",2008
39,39,"Peter Lonard",92,NA,1481,197,107,"ProximitytoHolefromRough",2008
39,39,"Tim Petrovic",97,NA,1707.25,228,53,"ProximitytoHolefromRough",2008
39,39,"Carl Pettersson",110,NA,2045.25,274,49,"ProximitytoHolefromRough",2008
39,39,"Patrick Sheehan",124,NA,2341.833,311,39,"ProximitytoHolefromRough",2008
39,39,"Bob Tway",70,NA,999.417,133,27,"ProximitytoHolefromRough",2008
39,39,"Nick Watney",96,NA,1678.667,224,101,"ProximitytoHolefromRough",2008
50,50,"Zach Johnson",85,NA,1361.25,179,103,"ProximitytoHolefromRough",2008
50,50,"Michael Letzig",88,NA,1590.083,210,108,"ProximitytoHolefromRough",2008
50,50,"Geoff Ogilvy",65,NA,1060,140,38,"ProximitytoHolefromRough",2008
50,50,"Scott Verplank",82,NA,1224.167,161,83,"ProximitytoHolefromRough",2008
50,50,"YE Yang",89,NA,1586.167,209,137,"ProximitytoHolefromRough",2008
55,55,"Ken Duke",116,NA,2192.167,286,82,"ProximitytoHolefromRough",2008
55,55,"Cody Freeman",66,NA,1206.167,157,177,"ProximitytoHolefromRough",2008
55,55,"JB Holmes",86,NA,1709.167,222,152,"ProximitytoHolefromRough",2008
55,55,"Freddie Jacobson",78,NA,1292.5,169,81,"ProximitytoHolefromRough",2008
55,55,"Kent Jones",68,NA,1000.083,130,105,"ProximitytoHolefromRough",2008
55,55,"Craig Kanada",65,NA,1004.75,131,24,"ProximitytoHolefromRough",2008
55,55,"Jon Mills",95,NA,1384.167,180,154,"ProximitytoHolefromRough",2008
55,55,"Adam Scott",51,NA,826.167,108,173,"ProximitytoHolefromRough",2008
63,63,"Todd Demsey",80,NA,1373.167,178,65,"ProximitytoHolefromRough",2008
63,63,"Charley Hoffman",94,NA,1903.75,245,93,"ProximitytoHolefromRough",2008
63,63,"David Lutterus",59,NA,971.917,126,184,"ProximitytoHolefromRough",2008
63,63,"Nick OHern",82,NA,1344.917,174,22,"ProximitytoHolefromRough",2008
63,63,"John Senden",93,NA,1477.167,190,156,"ProximitytoHolefromRough",2008
68,68,"Stuart Appleby",87,NA,1561.333,199,30,"ProximitytoHolefromRough",2008
68,68,"Mark Calcavecchia",67,NA,1090.083,139,161,"ProximitytoHolefromRough",2008
68,68,"Ben Curtis",80,NA,1271.333,163,46,"ProximitytoHolefromRough",2008
68,68,"Jeff Gove",50,NA,639.583,82,80,"ProximitytoHolefromRough",2008
68,68,"Nathan Green",95,NA,2091,267,32,"ProximitytoHolefromRough",2008
68,68,"Tim Herron",97,NA,1865.417,238,10,"ProximitytoHolefromRough",2008
68,68,"Scott Sterling",89,NA,1188.583,151,19,"ProximitytoHolefromRough",2008
