"FedExCupStandings_RANKTHISWEEK_2013","FedExCupStandings_RANKLASTWEEK_2013","FedExCupStandings_PLAYERNAME_2013","FedExCupStandings_EVENTS_2013","FedExCupStandings_POINTS_2013","FedExCupStandings_OFWINS_2013","FedExCupStandings_OFTOP10S_2013","FedExCupStandings_POINTSBEHINDLEAD_2013","FedExCupStandings_RESETPOINTS_2013","stat_name","year"
1,1,"Henrik Stenson",18,4750,2,8,NA,2250,"FedExCupStandings",2013
2,2,"Tiger Woods",16,2743,5,8,2007,2500,"FedExCupStandings",2013
3,3,"Steve Stricker",13,2650,NA,8,2100,1400,"FedExCupStandings",2013
4,4,"Adam Scott",16,2278,2,6,2472,2000,"FedExCupStandings",2013
5,5,"Zach Johnson",24,2238,1,8,2512,1800,"FedExCupStandings",2013
6,6,"Matt Kuchar",23,1823,2,8,2927,1600,"FedExCupStandings",2013
7,7,"Jordan Spieth",23,1690,1,9,3060,440,"FedExCupStandings",2013
8,8,"Graham DeLaet",26,1415,NA,7,3335,1200,"FedExCupStandings",2013
9,9,"Phil Mickelson",21,1313,2,7,3437,1000,"FedExCupStandings",2013
10,10,"Justin Rose",17,1300,1,7,3450,800,"FedExCupStandings",2013
11,11,"Webb Simpson",25,1050,NA,5,3700,300,"FedExCupStandings",2013
12,12,"Brandt Snedeker",23,853,2,9,3897,600,"FedExCupStandings",2013
13,13,"Dustin Johnson",22,760,1,6,3990,210,"FedExCupStandings",2013
14,14,"Jim Furyk",22,758,NA,7,3992,480,"FedExCupStandings",2013
15,15,"Nick Watney",26,738,NA,4,4012,460,"FedExCupStandings",2013
16,16,"Billy Horschel",26,728,1,8,4022,290,"FedExCupStandings",2013
17,17,"Jason Day",21,698,NA,7,4052,420,"FedExCupStandings",2013
18,18,"Keegan Bradley",25,693,NA,7,4057,380,"FedExCupStandings",2013
19,19,"Jason Dufner",22,685,1,5,4065,310,"FedExCupStandings",2013
20,20,"Hunter Mahan",25,653,NA,5,4097,400,"FedExCupStandings",2013
21,21,"Roberto Castro",29,645,NA,4,4105,270,"FedExCupStandings",2013
22,22,"Sergio Garcia",17,635,NA,6,4115,260,"FedExCupStandings",2013
23,23,"Gary Woodland",26,603,1,2,4147,360,"FedExCupStandings",2013
24,24,"Bill Haas",25,573,1,9,4177,340,"FedExCupStandings",2013
25,25,"Kevin Streelman",25,553,1,5,4197,320,"FedExCupStandings",2013
26,26,"Brendon de Jonge",30,503,NA,4,4247,240,"FedExCupStandings",2013
27,27,"Charl Schwartzel",19,490,NA,5,4260,280,"FedExCupStandings",2013
28,28,"Luke Donald",17,483,NA,5,4267,220,"FedExCupStandings",2013
29,29,"Boo Weekley",27,455,1,4,4295,250,"FedExCupStandings",2013
30,30,"DA Points",28,453,1,3,4297,230,"FedExCupStandings",2013
31,31,"Harris English",26,1442,1,4,5287,NA,"FedExCupStandings",2013
32,32,"Matt Jones",24,1419,NA,5,5310,NA,"FedExCupStandings",2013
33,33,"Kevin Stadler",25,1412,NA,3,5317,NA,"FedExCupStandings",2013
34,34,"Chris Kirk",24,1399,NA,3,5330,NA,"FedExCupStandings",2013
35,35,"Charles Howell III",26,1398,NA,5,5331,NA,"FedExCupStandings",2013
36,36,"Jimmy Walker",24,1388,NA,5,5341,NA,"FedExCupStandings",2013
37,37,"Bubba Watson",21,1365,NA,3,5364,NA,"FedExCupStandings",2013
38,38,"Rickie Fowler",22,1334,NA,5,5395,NA,"FedExCupStandings",2013
39,39,"John Merrick",23,1331,1,2,5398,NA,"FedExCupStandings",2013
40,40,"Daniel Summerhays",26,1307,NA,4,5422,NA,"FedExCupStandings",2013
41,41,"Lee Westwood",19,1291,NA,6,5438,NA,"FedExCupStandings",2013
42,42,"John Huh",28,1279,NA,2,5450,NA,"FedExCupStandings",2013
43,43,"Chris Stroud",26,1245,NA,4,5484,NA,"FedExCupStandings",2013
44,44,"Russell Henley",24,1238,1,3,5491,NA,"FedExCupStandings",2013
45,45,"Kevin Chappell",24,1237,NA,3,5492,NA,"FedExCupStandings",2013
46,46,"Rory Sabbatini",27,1230,NA,5,5499,NA,"FedExCupStandings",2013
47,47,"Brian Davis",28,1224,NA,4,5505,NA,"FedExCupStandings",2013
48,48,"David Lynn",22,1204,NA,2,5525,NA,"FedExCupStandings",2013
49,49,"Scott Piercy",24,1193,NA,4,5536,NA,"FedExCupStandings",2013
50,50,"Rory McIlroy",16,1190,NA,5,5539,NA,"FedExCupStandings",2013
51,51,"Ryan Moore",22,1185,NA,3,5544,NA,"FedExCupStandings",2013
52,52,"Jonas Blixt",24,1135,1,2,5594,NA,"FedExCupStandings",2013
53,53,"Ian Poulter",16,1133,NA,4,5596,NA,"FedExCupStandings",2013
54,54,"Patrick Reed",26,1125,1,5,5604,NA,"FedExCupStandings",2013
55,55,"Graeme McDowell",16,1116,1,4,5613,NA,"FedExCupStandings",2013
56,56,"David Hearn",26,1105,NA,2,5624,NA,"FedExCupStandings",2013
57,57,"Brian Gay",24,1099,1,1,5630,NA,"FedExCupStandings",2013
58,58,"Matt Every",28,1097,NA,4,5632,NA,"FedExCupStandings",2013
59,59,"Marc Leishman",23,1071,NA,4,5658,NA,"FedExCupStandings",2013
60,60,"Nicholas Thompson",29,1043,NA,2,5686,NA,"FedExCupStandings",2013
61,61,"Charley Hoffman",23,1016,NA,5,5713,NA,"FedExCupStandings",2013
62,62,"Jason Kokrak",25,1013,NA,4,5716,NA,"FedExCupStandings",2013
63,63,"Scott Stallings",27,991,NA,4,5738,NA,"FedExCupStandings",2013
64,64,"Bryce Molder",24,979,NA,NA,5750,NA,"FedExCupStandings",2013
65,65,"Angel Cabrera",21,956,NA,2,5773,NA,"FedExCupStandings",2013
66,66,"Michael Thompson",22,938,1,3,5791,NA,"FedExCupStandings",2013
67,67,"Ken Duke",28,930,1,2,5799,NA,"FedExCupStandings",2013
68,68,"Ernie Els",19,918,NA,1,5811,NA,"FedExCupStandings",2013
69,69,"Sangmoon Bae",26,918,1,2,5811,NA,"FedExCupStandings",2013
70,70,"Brendan Steele",26,876,NA,2,5853,NA,"FedExCupStandings",2013
71,71,"Ryan Palmer",22,823,NA,4,5906,NA,"FedExCupStandings",2013
72,72,"Freddie Jacobson",19,821,NA,3,5908,NA,"FedExCupStandings",2013
73,73,"KJ Choi",24,816,NA,2,5913,NA,"FedExCupStandings",2013
74,74,"Martin Laird",21,814,1,2,5915,NA,"FedExCupStandings",2013
75,75,"David Lingmerth",23,806,NA,3,5923,NA,"FedExCupStandings",2013
76,76,"Stewart Cink",22,783,NA,3,5946,NA,"FedExCupStandings",2013
77,77,"Kyle Stanley",24,759,NA,3,5970,NA,"FedExCupStandings",2013
78,78,"Josh Teater",24,726,NA,3,6003,NA,"FedExCupStandings",2013
79,79,"Cameron Tringale",24,726,NA,1,6003,NA,"FedExCupStandings",2013
80,80,"Tim Clark",20,703,NA,3,6026,NA,"FedExCupStandings",2013
81,81,"John Rollins",24,696,NA,2,6033,NA,"FedExCupStandings",2013
82,82,"Camilo Villegas",23,695,NA,2,6034,NA,"FedExCupStandings",2013
83,83,"Bob Estes",18,688,NA,2,6041,NA,"FedExCupStandings",2013
84,84,"Martin Kaymer",17,679,NA,3,6050,NA,"FedExCupStandings",2013
85,85,"Jerry Kelly",22,650,NA,2,6079,NA,"FedExCupStandings",2013
86,86,"Justin Leonard",24,644,NA,1,6085,NA,"FedExCupStandings",2013
87,87,"Martin Flores",25,630,NA,2,6099,NA,"FedExCupStandings",2013
88,88,"Scott Brown",21,628,1,1,6101,NA,"FedExCupStandings",2013
89,89,"Bo Van Pelt",22,612,NA,1,6117,NA,"FedExCupStandings",2013
90,90,"Luke Guthrie",27,607,NA,2,6122,NA,"FedExCupStandings",2013
91,91,"Robert Garrigus",22,601,NA,2,6128,NA,"FedExCupStandings",2013
92,92,"Brian Stuard",25,598,NA,4,6131,NA,"FedExCupStandings",2013
93,93,"Derek Ernst",21,598,1,1,6131,NA,"FedExCupStandings",2013
94,94,"Brian Harman",29,578,NA,2,6151,NA,"FedExCupStandings",2013
95,95,"Stuart Appleby",25,570,NA,1,6159,NA,"FedExCupStandings",2013
96,96,"Richard Lee",24,569,NA,2,6160,NA,"FedExCupStandings",2013
97,97,"Greg Chalmers",25,558,NA,2,6171,NA,"FedExCupStandings",2013
98,98,"Pat Perez",22,549,NA,4,6180,NA,"FedExCupStandings",2013
99,99,"Erik Compton",24,547,NA,1,6182,NA,"FedExCupStandings",2013
100,100,"William McGirt",24,533,NA,2,6196,NA,"FedExCupStandings",2013
101,101,"Aaron Baddeley",24,526,NA,2,6203,NA,"FedExCupStandings",2013
102,102,"George McNeill",21,524,NA,NA,6205,NA,"FedExCupStandings",2013
103,103,"James Driscoll",23,524,NA,2,6205,NA,"FedExCupStandings",2013
104,104,"Geoff Ogilvy",19,522,NA,1,6207,NA,"FedExCupStandings",2013
105,105,"Ted Potter Jr",22,518,NA,2,6211,NA,"FedExCupStandings",2013
106,106,"JJ Henry",26,516,NA,2,6213,NA,"FedExCupStandings",2013
107,107,"Carl Pettersson",24,516,NA,1,6213,NA,"FedExCupStandings",2013
108,108,"Jeff Overton",24,506,NA,2,6223,NA,"FedExCupStandings",2013
109,109,"John Senden",25,498,NA,NA,6231,NA,"FedExCupStandings",2013
110,110,"James Hahn",26,480,NA,2,6249,NA,"FedExCupStandings",2013
111,111,"Mark Wilson",19,476,NA,3,6253,NA,"FedExCupStandings",2013
112,112,"Charlie Beljan",24,459,NA,1,6270,NA,"FedExCupStandings",2013
113,113,"Jason Bohn",23,454,NA,2,6275,NA,"FedExCupStandings",2013
114,114,"Lucas Glover",23,454,NA,2,6275,NA,"FedExCupStandings",2013
115,115,"Jeff Maggert",21,453,NA,2,6276,NA,"FedExCupStandings",2013
116,116,"Justin Hicks",25,451,NA,1,6278,NA,"FedExCupStandings",2013
117,117,"Morgan Hoffmann",20,444,NA,3,6285,NA,"FedExCupStandings",2013
118,118,"Chez Reavie",22,439,NA,NA,6290,NA,"FedExCupStandings",2013
119,119,"DH Lee",22,432,NA,3,6297,NA,"FedExCupStandings",2013
120,120,"Andres Romero",21,430,NA,2,6299,NA,"FedExCupStandings",2013
121,121,"Johnson Wagner",24,430,NA,2,6299,NA,"FedExCupStandings",2013
122,122,"Scott Langley",27,426,NA,1,6303,NA,"FedExCupStandings",2013
123,123,"Charlie Wi",23,401,NA,1,6328,NA,"FedExCupStandings",2013
124,124,"Steven Bowditch",22,400,NA,1,6329,NA,"FedExCupStandings",2013
125,125,"Ben Crane",21,369,NA,2,6360,NA,"FedExCupStandings",2013
126,126,"Robert Streb",25,359,NA,NA,6370,NA,"FedExCupStandings",2013
127,127,"Peter Hanson",15,356,NA,1,6373,NA,"FedExCupStandings",2013
128,128,"Nicolas Colsaerts",17,353,NA,3,6376,NA,"FedExCupStandings",2013
129,129,"Brad Fritsch",24,350,NA,1,6379,NA,"FedExCupStandings",2013
130,130,"Padraig Harrington",17,345,NA,3,6384,NA,"FedExCupStandings",2013
131,131,"Bud Cauley",24,343,NA,NA,6386,NA,"FedExCupStandings",2013
132,132,"Ricky Barnes",26,342,NA,NA,6387,NA,"FedExCupStandings",2013
133,133,"Fabian Gomez",23,339,NA,1,6390,NA,"FedExCupStandings",2013
134,134,"Greg Owen",24,336,NA,NA,6393,NA,"FedExCupStandings",2013
135,135,"Shawn Stefani",21,333,NA,2,6396,NA,"FedExCupStandings",2013
136,136,"Chad Campbell",25,330,NA,1,6399,NA,"FedExCupStandings",2013
137,137,"Woody Austin",8,326,1,1,6403,NA,"FedExCupStandings",2013
138,138,"David Toms",16,326,NA,1,6403,NA,"FedExCupStandings",2013
139,139,"Jim Herman",19,325,NA,2,6404,NA,"FedExCupStandings",2013
140,140,"Tommy Gainey",28,324,NA,1,6405,NA,"FedExCupStandings",2013
141,141,"Ryo Ishikawa",23,298,NA,1,6431,NA,"FedExCupStandings",2013
142,142,"Tag Ridings",24,295,NA,1,6434,NA,"FedExCupStandings",2013
143,143,"Trevor Immelman",24,295,NA,1,6434,NA,"FedExCupStandings",2013
144,144,"Dicky Pride",23,293,NA,2,6436,NA,"FedExCupStandings",2013
145,145,"Brendon Todd",10,293,NA,NA,6436,NA,"FedExCupStandings",2013
146,146,"Vijay Singh",19,291,NA,NA,6438,NA,"FedExCupStandings",2013
147,147,"Doug LaBelle II",23,290,NA,NA,6439,NA,"FedExCupStandings",2013
148,148,"Ben Kohles",25,286,NA,1,6443,NA,"FedExCupStandings",2013
149,149,"Brandt Jobe",19,283,NA,NA,6446,NA,"FedExCupStandings",2013
150,150,"Justin Bolli",23,278,NA,2,6451,NA,"FedExCupStandings",2013
151,151,"Steve LeBrun",21,270,NA,NA,6459,NA,"FedExCupStandings",2013
152,152,"Tom Gillis",22,264,NA,NA,6465,NA,"FedExCupStandings",2013
153,153,"Ben Curtis",20,251,NA,NA,6478,NA,"FedExCupStandings",2013
