"ScoringRating_RANKTHISWEEK_2007","ScoringRating_RANKLASTWEEK_2007","ScoringRating_PLAYERNAME_2007","ScoringRating_EVENTS_2007","ScoringRating_RATING_2007","stat_name","year"
1,1,"Tiger Woods",11,9,"ScoringRating",2007
2,2,"Andy Bare",1,8.9,"ScoringRating",2007
2,2,"Andres Romero",1,8.9,"ScoringRating",2007
2,2,"Tom Watson",1,8.9,"ScoringRating",2007
5,5,"Phil Mickelson",13,8.6,"ScoringRating",2007
6,6,"KJ Choi",15,8.5,"ScoringRating",2007
6,6,"Nick Flanagan",2,8.5,"ScoringRating",2007
6,6,"Steve Stricker",15,8.5,"ScoringRating",2007
9,9,"Jonathan Byrd",12,8.4,"ScoringRating",2007
9,9,"Tim Clark",12,8.4,"ScoringRating",2007
9,9,"Ernie Els",11,8.4,"ScoringRating",2007
9,9,"Todd Fischer",2,8.4,"ScoringRating",2007
9,9,"Tadd Fujikawa",1,8.4,"ScoringRating",2007
9,9,"Sergio Garcia",14,8.4,"ScoringRating",2007
9,9,"Freddie Jacobson",15,8.4,"ScoringRating",2007
9,9,"Rory Sabbatini",15,8.4,"ScoringRating",2007
9,9,"Phil Tataurangi",2,8.4,"ScoringRating",2007
9,9,"Scott Verplank",14,8.4,"ScoringRating",2007
9,9,"Camilo Villegas",15,8.4,"ScoringRating",2007
20,20,"Thomas Bjorn",1,8.3,"ScoringRating",2007
20,20,"Russ Cochran",1,8.3,"ScoringRating",2007
20,20,"Niclas Fasth",2,8.3,"ScoringRating",2007
20,20,"Jim Furyk",16,8.3,"ScoringRating",2007
20,20,"Lucas Glover",18,8.3,"ScoringRating",2007
20,20,"Greg Kraft",5,8.3,"ScoringRating",2007
20,20,"Franklin Langham",1,8.3,"ScoringRating",2007
20,20,"Billy Mayfair",16,8.3,"ScoringRating",2007
20,20,"Sean OHair",19,8.3,"ScoringRating",2007
20,20,"Jesper Parnevik",15,8.3,"ScoringRating",2007
20,20,"Vijay Singh",21,8.3,"ScoringRating",2007
20,20,"Paul Stankowski",6,8.3,"ScoringRating",2007
20,20,"Chris Stroud",9,8.3,"ScoringRating",2007
20,20,"Bo Van Pelt",22,8.3,"ScoringRating",2007
20,20,"Bubba Watson",12,8.3,"ScoringRating",2007
35,35,"Robert Allenby",17,8.2,"ScoringRating",2007
35,35,"Arjun Atwal",6,8.2,"ScoringRating",2007
35,35,"Aaron Baddeley",16,8.2,"ScoringRating",2007
35,35,"Mark Calcavecchia",16,8.2,"ScoringRating",2007
35,35,"Alejandro Canizares",1,8.2,"ScoringRating",2007
35,35,"Alex Cejka",16,8.2,"ScoringRating",2007
35,35,"Stewart Cink",17,8.2,"ScoringRating",2007
35,35,"Luke Donald",11,8.2,"ScoringRating",2007
35,35,"Steve Elkington",16,8.2,"ScoringRating",2007
35,35,"Bob Estes",15,8.2,"ScoringRating",2007
35,35,"Harrison Frazar",10,8.2,"ScoringRating",2007
35,35,"Zach Johnson",14,8.2,"ScoringRating",2007
35,35,"Anthony Kim",18,8.2,"ScoringRating",2007
35,35,"Stephen Leaney",15,8.2,"ScoringRating",2007
35,35,"Tom Lehman",10,8.2,"ScoringRating",2007
35,35,"George McNeill",16,8.2,"ScoringRating",2007
35,35,"Arron Oberholser",13,8.2,"ScoringRating",2007
35,35,"Joe Ogilvie",18,8.2,"ScoringRating",2007
35,35,"Geoff Ogilvy",15,8.2,"ScoringRating",2007
35,35,"Jeff Overton",11,8.2,"ScoringRating",2007
35,35,"Pat Perez",13,8.2,"ScoringRating",2007
35,35,"Carl Pettersson",21,8.2,"ScoringRating",2007
35,35,"Ian Poulter",9,8.2,"ScoringRating",2007
35,35,"Adam Scott",13,8.2,"ScoringRating",2007
35,35,"Heath Slocum",21,8.2,"ScoringRating",2007
35,35,"Brandt Snedeker",20,8.2,"ScoringRating",2007
35,35,"Kyle Thompson",1,8.2,"ScoringRating",2007
35,35,"David Toms",15,8.2,"ScoringRating",2007
35,35,"Omar Uresti",1,8.2,"ScoringRating",2007
64,64,"Cameron Beckman",18,8.1,"ScoringRating",2007
64,64,"Andrew Buckle",12,8.1,"ScoringRating",2007
64,64,"Tom Byrum",5,8.1,"ScoringRating",2007
64,64,"Daniel Chopra",20,8.1,"ScoringRating",2007
64,64,"John Cook",3,8.1,"ScoringRating",2007
