"FedExCupPointsperEventLeaders_RANKTHISWEEK_2012","FedExCupPointsperEventLeaders_RANKLASTWEEK_2012","FedExCupPointsperEventLeaders_PLAYERNAME_2012","FedExCupPointsperEventLeaders_EVENTS_2012","FedExCupPointsperEventLeaders_POINTSPEREVENT_2012","FedExCupPointsperEventLeaders_TOTALPOINTS_2012","stat_name","year"
1,1,"Rory McIlroy",12,174.292,2091.5,"FedExCupPointsperEventLeaders",2012
2,2,"Tiger Woods",15,151.283,2269.242,"FedExCupPointsperEventLeaders",2012
3,3,"Bubba Watson",15,118.476,1777.143,"FedExCupPointsperEventLeaders",2012
4,4,"Jason Dufner",19,111.068,2110.3,"FedExCupPointsperEventLeaders",2012
5,5,"Zach Johnson",20,100.948,2018.96,"FedExCupPointsperEventLeaders",2012
6,6,"Luke Donald",13,99.558,1294.25,"FedExCupPointsperEventLeaders",2012
7,7,"Steve Stricker",15,97.033,1455.5,"FedExCupPointsperEventLeaders",2012
8,8,"Justin Rose",15,95.067,1426,"FedExCupPointsperEventLeaders",2012
9,9,"Hunter Mahan",19,91.503,1738.55,"FedExCupPointsperEventLeaders",2012
10,10,"Matt Kuchar",18,88.872,1599.7,"FedExCupPointsperEventLeaders",2012
11,11,"Ernie Els",17,85.102,1446.742,"FedExCupPointsperEventLeaders",2012
12,12,"Adam Scott",12,80.463,965.554,"FedExCupPointsperEventLeaders",2012
13,13,"Graeme McDowell",13,79.806,1037.479,"FedExCupPointsperEventLeaders",2012
14,14,"Keegan Bradley",21,79.519,1669.896,"FedExCupPointsperEventLeaders",2012
15,15,"Webb Simpson",18,79.133,1424.4,"FedExCupPointsperEventLeaders",2012
16,16,"Carl Pettersson",22,76.852,1690.75,"FedExCupPointsperEventLeaders",2012
17,17,"Ben Curtis",13,76.698,997.079,"FedExCupPointsperEventLeaders",2012
18,18,"Phil Mickelson",18,76.264,1372.75,"FedExCupPointsperEventLeaders",2012
19,19,"Dustin Johnson",15,73.153,1097.3,"FedExCupPointsperEventLeaders",2012
20,20,"Sergio Garcia",13,71.953,935.383,"FedExCupPointsperEventLeaders",2012
21,21,"Jim Furyk",19,67.568,1283.8,"FedExCupPointsperEventLeaders",2012
22,22,"Brandt Snedeker",18,66.358,1194.45,"FedExCupPointsperEventLeaders",2012
23,23,"Rickie Fowler",19,65.564,1245.722,"FedExCupPointsperEventLeaders",2012
24,24,"Lee Westwood",11,64.827,713.1,"FedExCupPointsperEventLeaders",2012
25,25,"Louis Oosthuizen",15,61.854,927.813,"FedExCupPointsperEventLeaders",2012
26,26,"Bill Haas",20,59.038,1180.75,"FedExCupPointsperEventLeaders",2012
27,27,"Bo Van Pelt",20,58.733,1174.667,"FedExCupPointsperEventLeaders",2012
28,28,"Ian Poulter",12,58.15,697.8,"FedExCupPointsperEventLeaders",2012
