"DrivingPct280300Measured_RANKTHISWEEK_2011","DrivingPct280300Measured_RANKLASTWEEK_2011","DrivingPct280300Measured_PLAYERNAME_2011","DrivingPct280300Measured_ROUNDS_2011","DrivingPct280300Measured_Pct_2011","DrivingPct280300Measured_TOTALDRIVESFOR280300_2011","DrivingPct280300Measured_TOTALDRVSOVERALL_2011","DrivingPct280300Measured_RELATIVETOPAR_2011","stat_name","year"
1,1,"Steve Marino",76,50,70,140,-0.2,"DrivingPct280300Measured",2011
2,2,"Luke Donald",73,49.12,56,114,-0.32,"DrivingPct280300Measured",2011
3,3,"Vijay Singh",79,48.05,74,154,-0.11,"DrivingPct280300Measured",2011
4,4,"Michael Thompson",79,47.95,70,146,-0.06,"DrivingPct280300Measured",2011
5,5,"KJ Choi",77,47.69,62,130,-0.15,"DrivingPct280300Measured",2011
6,6,"Chris Stroud",88,47.62,80,168,-0.15,"DrivingPct280300Measured",2011
7,7,"Boo Weekley",66,47.58,59,124,-0.15,"DrivingPct280300Measured",2011
8,8,"John Senden",94,46.11,83,180,-0.13,"DrivingPct280300Measured",2011
9,9,"Marc Turnesa",54,46,46,100,-0.13,"DrivingPct280300Measured",2011
10,10,"Anthony Kim",72,45.9,56,122,-0.09,"DrivingPct280300Measured",2011
11,11,"Ricky Barnes",78,45.71,64,140,0.05,"DrivingPct280300Measured",2011
12,12,"Steve Stricker",70,45.61,52,114,-0.35,"DrivingPct280300Measured",2011
13,13,"Tom Gillis",55,45.45,50,110,0.08,"DrivingPct280300Measured",2011
14,14,"Freddie Jacobson",92,45.39,69,152,0,"DrivingPct280300Measured",2011
15,15,"Troy Merritt",63,45.08,55,122,-0.09,"DrivingPct280300Measured",2011
16,16,"Carl Pettersson",95,45.05,82,182,-0.11,"DrivingPct280300Measured",2011
17,17,"Chez Reavie",92,44.89,79,176,-0.03,"DrivingPct280300Measured",2011
18,18,"Matt Kuchar",94,44.87,70,156,-0.27,"DrivingPct280300Measured",2011
19,19,"Robert Allenby",84,44.67,67,150,-0.09,"DrivingPct280300Measured",2011
20,20,"Stephen Ames",69,44.62,58,130,-0.16,"DrivingPct280300Measured",2011
21,21,"Mark Wilson",89,44.3,70,158,-0.21,"DrivingPct280300Measured",2011
22,22,"Retief Goosen",50,44.05,37,84,-0.19,"DrivingPct280300Measured",2011
23,23,"Rory Sabbatini",85,43.66,62,142,-0.24,"DrivingPct280300Measured",2011
