"Scrambling_RANKTHISWEEK_2010","Scrambling_RANKLASTWEEK_2010","Scrambling_PLAYERNAME_2010","Scrambling_ROUNDS_2010","Scrambling_Pct_2010","Scrambling_PARORBETTER_2010","Scrambling_MISSEDGIR_2010","stat_name","year"
1,1,"Dean Wilson",54,67.16,180,268,"Scrambling",2010
2,2,"Brian Gay",101,66.51,429,645,"Scrambling",2010
3,3,"Charlie Wi",95,65.56,375,572,"Scrambling",2010
4,4,"Luke Donald",71,65.41,278,425,"Scrambling",2010
5,5,"Matt Kuchar",97,64.69,339,524,"Scrambling",2010
6,6,"Chris Riley",73,64.47,254,394,"Scrambling",2010
7,7,"Charles Howell III",103,64.46,361,560,"Scrambling",2010
8,8,"Kevin Na",94,64.45,368,571,"Scrambling",2010
9,9,"Chad Collins",87,64.37,336,522,"Scrambling",2010
10,10,"Greg Chalmers",93,64.32,366,569,"Scrambling",2010
11,11,"Steve Elkington",74,64.23,246,383,"Scrambling",2010
12,12,"Retief Goosen",75,63.91,278,435,"Scrambling",2010
13,13,"Justin Rose",78,63.85,302,473,"Scrambling",2010
14,14,"Steve Stricker",73,63.75,262,411,"Scrambling",2010
15,15,"Jeev Milkha Singh",59,63.69,207,325,"Scrambling",2010
16,16,"Jim Furyk",76,63.47,278,438,"Scrambling",2010
17,17,"Freddie Jacobson",83,63.2,304,481,"Scrambling",2010
18,18,"Ryuji Imada",90,63.13,363,575,"Scrambling",2010
19,19,"Heath Slocum",97,62.87,320,509,"Scrambling",2010
20,20,"KJ Choi",82,62.67,277,442,"Scrambling",2010
20,20,"Tim Clark",88,62.67,319,509,"Scrambling",2010
22,22,"JB Holmes",100,62.48,388,621,"Scrambling",2010
23,23,"Kevin Sutherland",86,62.44,271,434,"Scrambling",2010
24,24,"Bryce Molder",84,62.4,312,500,"Scrambling",2010
25,25,"Bo Van Pelt",104,62.33,359,576,"Scrambling",2010
26,26,"Pat Perez",90,62.23,313,503,"Scrambling",2010
27,27,"Mark Wilson",87,62.16,276,444,"Scrambling",2010
28,28,"Carl Pettersson",99,62.06,368,593,"Scrambling",2010
29,29,"Chris DiMarco",88,61.87,305,493,"Scrambling",2010
30,30,"Brian Davis",101,61.85,415,671,"Scrambling",2010
31,31,"Phil Mickelson",76,61.84,295,477,"Scrambling",2010
32,32,"Sean OHair",84,61.83,290,469,"Scrambling",2010
33,33,"Kenny Perry",69,61.74,234,379,"Scrambling",2010
34,34,"Jonathan Byrd",85,61.66,283,459,"Scrambling",2010
35,35,"Michael Sim",64,61.58,242,393,"Scrambling",2010
36,36,"Graham DeLaet",88,61.56,261,424,"Scrambling",2010
37,37,"Briny Baird",87,61.49,281,457,"Scrambling",2010
38,38,"Omar Uresti",74,61.44,239,389,"Scrambling",2010
39,39,"David Toms",86,61.29,304,496,"Scrambling",2010
40,40,"Shaun Micheel",70,61.27,242,395,"Scrambling",2010
41,41,"Ernie Els",72,61.23,248,405,"Scrambling",2010
42,42,"Padraig Harrington",57,61.2,235,384,"Scrambling",2010
43,43,"Scott McCarron",90,61.19,339,554,"Scrambling",2010
43,43,"Brandt Snedeker",89,61.19,369,603,"Scrambling",2010
45,45,"Paul Casey",64,60.86,199,327,"Scrambling",2010
46,46,"Andres Romero",73,60.78,279,459,"Scrambling",2010
47,47,"Ryan Moore",80,60.76,288,474,"Scrambling",2010
48,48,"Matt Jones",89,60.61,337,556,"Scrambling",2010
