"FirstTeeLateScoringAverage_RANKTHISWEEK_2015","FirstTeeLateScoringAverage_RANKLASTWEEK_2015","FirstTeeLateScoringAverage_PLAYERNAME_2015","FirstTeeLateScoringAverage_ROUNDS_2015","FirstTeeLateScoringAverage_AVG_2015","FirstTeeLateScoringAverage_TOTALSTROKES_2015","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2015","stat_name","year"
1,1,"Bubba Watson",71,68.86,2961,43,"FirstTeeLateScoringAverage",2015
2,2,"Jordan Spieth",91,69.07,4006,58,"FirstTeeLateScoringAverage",2015
3,3,"Jason Day",75,69.31,3119,45,"FirstTeeLateScoringAverage",2015
4,4,"Boo Weekley",79,69.38,1804,26,"FirstTeeLateScoringAverage",2015
5,5,"Byron Smith",59,69.56,1113,16,"FirstTeeLateScoringAverage",2015
6,6,"Paul Casey",87,69.58,2157,31,"FirstTeeLateScoringAverage",2015
7,7,"Zach Johnson",90,69.61,3411,49,"FirstTeeLateScoringAverage",2015
8,8,"Russell Knox",96,69.62,2367,34,"FirstTeeLateScoringAverage",2015
8,8,"Justin Rose",69,69.62,2715,39,"FirstTeeLateScoringAverage",2015
10,10,"George McNeill",93,69.65,1811,26,"FirstTeeLateScoringAverage",2015
11,11,"Robert Streb",110,69.7,2997,43,"FirstTeeLateScoringAverage",2015
12,12,"Kevin Kisner",104,69.74,2650,38,"FirstTeeLateScoringAverage",2015
13,13,"Louis Oosthuizen",68,69.79,2024,29,"FirstTeeLateScoringAverage",2015
14,14,"Bryce Molder",91,69.8,1396,20,"FirstTeeLateScoringAverage",2015
14,14,"Scott Piercy",90,69.8,1745,25,"FirstTeeLateScoringAverage",2015
16,16,"Tom Hoge",83,69.83,1257,18,"FirstTeeLateScoringAverage",2015
16,16,"Chris Stroud",84,69.83,1606,23,"FirstTeeLateScoringAverage",2015
18,18,"Hideki Matsuyama",95,69.85,3213,46,"FirstTeeLateScoringAverage",2015
18,18,"Brandt Snedeker",98,69.85,2794,40,"FirstTeeLateScoringAverage",2015
20,20,"Zac Blair",108,69.91,1608,23,"FirstTeeLateScoringAverage",2015
20,20,"Jason Bohn",95,69.91,2447,35,"FirstTeeLateScoringAverage",2015
20,20,"Sergio Garcia",59,69.91,2237,32,"FirstTeeLateScoringAverage",2015
23,23,"Shawn Stefani",94,69.92,1818,26,"FirstTeeLateScoringAverage",2015
24,24,"Justin Thomas",106,69.93,3147,45,"FirstTeeLateScoringAverage",2015
25,25,"Tony Finau",106,69.94,2518,36,"FirstTeeLateScoringAverage",2015
25,25,"Will Wilcox",58,69.94,1119,16,"FirstTeeLateScoringAverage",2015
27,27,"Jon Curran",83,69.95,1539,22,"FirstTeeLateScoringAverage",2015
27,27,"Greg Owen",58,69.95,1399,20,"FirstTeeLateScoringAverage",2015
